atomic_task_id,parent_gap_id,transport_sortie_id,service_start_s,service_end_s,relay_sortie_id,relay_id,site_id,topology,provider_count,min_access_margin_db,backhaul_margin_db,min_twohop_margin_db
P0002_M006_G00,P0002_M006_G00,M006,2869.9087640268626,3287.3775140268626,Q30002_R003,R02,E52_575c4f100493de938643a13d,TRANSPORT_RELAY_G01,1,14.97253526452974,2.099203328999508,2.099203328999508
P0002_M008_G00,P0002_M008_G00,M008,2869.9087640268626,3268.9087640268626,Q30002_R003,R02,E52_575c4f100493de938643a13d,TRANSPORT_RELAY_G01,1,13.766513328191621,2.099203328999508,2.099203328999508
P0002_M017_G00,P0002_M017_G00,M017,2869.9087640268626,3725.9400140268626,Q30002_R003,R02,E52_575c4f100493de938643a13d,TRANSPORT_RELAY_G01,1,1.2735129256524829,2.099203328999508,1.2735129256524829
P0002_M013_G00,P0002_M013_G00,M013,3007.916914271772,3913.541914271772,Q30002_R004,R01,E52_da487d3b8a0906fb4529d12f,TRANSPORT_RELAY_G01,1,0.14955749359428694,15.138353346482333,0.14955749359428694
P0002_M022_G00,P0002_M022_G00,M022,3007.916914271772,3437.604414271772,Q30002_R004,R01,E52_da487d3b8a0906fb4529d12f,TRANSPORT_RELAY_G01,1,9.466834534918036,15.138353346482333,9.466834534918036
P0002_M024_G00,P0002_M024_G00,M024,3007.916914271772,3437.604414271772,Q30002_R004,R01,E52_da487d3b8a0906fb4529d12f,TRANSPORT_RELAY_G01,1,9.466834534918036,15.138353346482333,9.466834534918036
P0002_M019_G00,P0002_M019_G00,M019,804.8125000000002,1423.9687500000002,Q30002_R002,R02,E52_7ccd1e182a1b2540fd645bfb,TRANSPORT_RELAY_G01,1,17.598222271069588,2.4191590009326376,2.4191590009326376
P0002_M005_G00,P0002_M005_G00,M005,5066.579498064982,6147.423248064982,Q30002_R005,R02,E52_47db2d0d55c92154c779a4c9,TRANSPORT_RELAY_G01,1,3.0205906267075733,16.45726286038159,3.0205906267075733
P0002_M014_G00,P0002_M014_G00,M014,5066.579498064982,5466.266998064982,Q30002_R005,R02,E52_47db2d0d55c92154c779a4c9,TRANSPORT_RELAY_G01,1,11.176286595238821,16.45726286038159,11.176286595238821
P0002_M025_G00,P0002_M025_G00,M025,5066.579498064982,5697.954498064982,Q30002_R005,R02,E52_47db2d0d55c92154c779a4c9,TRANSPORT_RELAY_G01,1,6.061526749283374,16.45726286038159,6.061526749283374
P0002_M001_G00,P0002_M001_G00,M001,908.8750000000002,1611.9062500000002,Q30002_R001,R01,E52_cdef0b479e00ae29ebd83132,TRANSPORT_RELAY_G01,1,4.640389078516122,10.01648148125875,4.640389078516122
P0002_M002_G00,P0002_M002_G00,M002,908.875,1611.90625,Q30002_R001,R01,E52_cdef0b479e00ae29ebd83132,TRANSPORT_RELAY_G01,1,4.640389078516122,10.01648148125875,4.640389078516122
P0002_M007_G00,P0002_M007_G00,M007,746.3437499999998,1547.3437499999998,Q30002_R001,R01,E52_cdef0b479e00ae29ebd83132,TRANSPORT_RELAY_G01,1,7.697786272509717,10.01648148125875,7.697786272509717
P0002_M010_G00,P0002_M010_G00,M010,5417.7772176183225,5941.6834676183225,Q30002_R006,R01,E52_82c821a5773d0bfbe554f10a,TRANSPORT_RELAY_G01,1,1.9898130596061634,11.397135806608844,1.9898130596061634
P0002_M020_G00,P0002_M020_G00,M020,7450.940643402062,7476.284393402062,Q30002_R006,R01,E52_82c821a5773d0bfbe554f10a,TRANSPORT_RELAY_G01,1,8.076658413675005,11.397135806608844,8.076658413675005
P0002_M020_G01,P0002_M020_G01,M020,7483.784393402062,8103.034393402062,Q30002_R006,R01,E52_82c821a5773d0bfbe554f10a,TRANSPORT_RELAY_G01,1,8.226809702901718,11.397135806608844,8.226809702901718
P0002_M020_G02,P0002_M020_G02,M020,8110.565643402062,8135.909393402062,Q30002_R006,R01,E52_82c821a5773d0bfbe554f10a,TRANSPORT_RELAY_G01,1,8.076334561991871,11.397135806608844,8.076334561991871
P0002_M021_G00,P0002_M021_G00,M021,5417.7772176183225,6320.3709676183225,Q30002_R006,R01,E52_82c821a5773d0bfbe554f10a,TRANSPORT_RELAY_G01,1,3.9055423871373875,11.397135806608844,3.9055423871373875
P0002_M026_G00,P0002_M026_G00,M026,6536.7727077039135,7493.0227077039135,Q30002_R006,R01,E52_82c821a5773d0bfbe554f10a,TRANSPORT_RELAY_G01,1,5.523919136465679,11.397135806608844,5.523919136465679
P0002_M028_G00,P0002_M028_G00,M028,5417.7772176183225,6243.8084676183225,Q30002_R006,R01,E52_82c821a5773d0bfbe554f10a,TRANSPORT_RELAY_G01,1,0.6230836731091074,11.397135806608844,0.6230836731091074
P0002_M009_G00,P0002_M009_G00,M009,9524.610248950868,10056.797748950868,Q30002_R008,R02,E52_47db2d0d55c92154c779a4c9,TRANSPORT_RELAY_G01,1,6.061526749283374,16.45726286038159,6.061526749283374
P0002_M023_G00,P0002_M023_G00,M023,7523.155846437917,8153.280846437917,Q30002_R007,R02,E52_30110e5b3ae38ecfab28ace2,TRANSPORT_RELAY_G01,1,5.268987734543231,10.05954008012911,5.268987734543231
