sortie_id,uav_id,uav_type,battery_id,preparation_start_s,takeoff_s,service_sequence,return_s,energy_kwh,energy_margin_kwh,n_boxes,payload_kg,tag
M001,U02,A,BAT-A-06,1313.4852675969826,1673.4852675969826,S002,3317.222791810895,2.919931145918103,0.6800688540818971,2,17.0,P0002
M002,U06,B,BAT-B-02,3242.161293932906,3632.161293932906,S009,4800.603541327315,2.096210537071622,1.1037894629283782,3,25.0,P0002
M003,U08,C,BAT-C-03,5556.45193109501,6036.45193109501,S004,7857.512997688173,6.152897007997176,0.2471029920028247,6,59.0,P0002
M004,U04,A,BAT-A-04,0.0,360.0,S003,2262.6540221775354,2.981970262696194,0.618029737303806,2,17.0,P0002
M005,U04,A,BAT-A-05,5867.568703530093,6197.568703530093,S003,8070.222725707628,2.8511561660758877,0.7488438339241124,1,8.0,P0002
M006,U02,A,BAT-A-03,0.0,360.0,S006,1313.4852665969827,1.3570321467642898,2.2429678532357102,2,22.0,P0002
M007,U03,A,BAT-A-04,3306.938169379437,3666.938169379437,S015,5275.542505768932,2.4719928399045195,1.1280071600954806,2,17.0,P0002
M008,U06,B,BAT-B-04,5929.881203530093,6259.881203530093,S015,7638.169787550543,1.9174196616212544,1.2825803383787457,1,8.0,P0002
M009,U06,B,BAT-B-02,50.5,440.5,S007,1686.784389486567,1.7799883275662585,1.4200116724337417,3,25.0,P0002
M010,U05,B,BAT-B-01,0.0,360.0,S006,1207.276912821857,1.1381343643981743,2.061865635601826,2,20.0,P0002
M011,U03,A,BAT-A-01,8095.611318546706,8425.611318546706,S013,9647.722500211716,1.8712011446226167,1.7287988553773834,1,8.0,P0002
M012,U07,C,BAT-C-01,0.0,510.0,S001,1560.170391878965,2.917555936277246,3.4824440637227543,7,76.0,P0002
M013,U01,A,BAT-A-02,8032.767568546706,8362.767568546706,S014,9963.172102998862,2.1885050529683205,1.4114949470316795,1,8.0,P0002
M014,U01,A,BAT-A-01,0.0,360.0,S011,1222.0269190034332,1.1520002309226742,2.4479997690773256,2,17.0,P0002
M015,U05,B,BAT-B-03,1265.3602675969826,1655.3602675969826,S012,3188.0948235670658,2.75235444190214,0.44764555809786,3,25.0,P0002
M016,U08,C,BAT-C-01,3269.48478723569,3749.48478723569,S005,5146.679945431233,4.2221748035098585,2.177825196490142,6,59.0,P0002
M017,U07,C,BAT-C-03,1560.170392878965,2100.170392878965,S001,3186.34078475793,2.995742764547403,3.4042572354525973,8,78.0,P0002
M018,U01,A,BAT-A-05,1313.4852675969826,1673.4852675969826,S014,3303.8898020491383,2.2908913204553736,1.3091086795446265,2,17.0,P0002
M019,U04,A,BAT-A-02,2518.642338663181,2848.642338663181,S007,4186.07766133682,1.8725171200874788,1.7274828799125213,1,14.0,P0002
M020,U03,A,BAT-A-02,0.0,360.0,S006,1313.485266596983,1.3115511002735658,2.2884488997264345,2,17.0,P0002
M021,U08,C,BAT-C-02,1227.672767596982,1677.672767596982,S002,3269.48478623569,5.721185016831143,0.6788149831688575,5,56.0,P0002
M022,U02,A,BAT-A-01,4042.557272939894,4372.557272939894,S011,5204.584191943328,1.1014315214443,2.4985684785557,1,8.0,P0002
M023,U05,B,BAT-B-01,3188.0948245670656,3578.0948245670656,S008,5149.93713173411,2.9752083647603644,0.22479163523963575,3,25.0,P0002
M024,U05,B,BAT-B-03,5940.006203530093,6300.006203530093,S008,7841.8485106971375,2.763432587771086,0.43656741222891426,2,20.0,P0002
M025,U02,A,BAT-A-06,5882.068703530093,6212.068703530093,S007,7549.504026203732,1.8058740742618977,1.7941259257381024,1,6.0,P0002
M026,U07,C,BAT-C-04,3186.34078575793,3636.34078575793,S003,5556.45193009501,5.7649867062581315,0.6350132937418689,5,56.0,P0002
M027,U01,A,BAT-A-03,3306.938169379437,3636.938169379437,S002,5250.67569359335,2.7953628103931756,0.8046371896068245,1,8.0,P0002
M028,U06,B,BAT-B-04,1686.7843904865672,2076.784390486567,S010,3242.1612929329062,1.8231457316476736,1.3768542683523266,3,25.0,P0002
M029,U03,A,BAT-A-01,1694.8269867144281,2054.826986714428,S013,3306.9381683794372,1.95791228155543,1.6420877184445701,2,17.0,P0002
