uav_id,sortie_id,busy_start_s,busy_end_s
U02,M001,4293.450612930119,6472.256265934757
U03,M002,8507.16914331605,10685.974796320688
U01,M003,0.0,1250.9011452645589
U01,M004,1250.901146264559,2501.802291529118
U07,M005,1549.3827716221456,4051.493915959226
U06,M006,0.0,1555.376902446339
U06,M007,2162.475728397939,4085.210284368022
U05,M008,0.0,1510.4702802929446
U06,M009,6769.874044943115,8478.162628963564
U06,M010,4456.423189394309,6014.8654367887175
U02,M011,1310.901146264559,2501.802291529118
U01,M012,2501.802292529118,3692.703437793677
U08,M013,1709.2890216221456,3751.1010402608536
U04,M014,2003.7375252139127,3671.172847887551
U02,M015,0.0,1310.9011452645589
U05,M016,3973.7591740169546,5162.182824128556
U04,M017,0.0,2003.7375242139126
U08,M018,0.0,1561.5595259403467
U05,M019,2104.006978397938,3973.7591730169547
U07,M020,4336.985689394309,6214.1808475898515
U04,M021,4362.610689394309,6565.264711571845
U03,M022,1761.3504775325064,3488.785800206145
U05,M023,6660.768201704135,8582.416212877377
U03,M024,0.0,1727.4353226736384
U03,M025,4329.360689394309,6297.965025783804
U08,M026,4328.704439394309,6528.416523986483
U07,M027,0.0,1494.170391878965
U01,M028,4445.360689394309,6389.098213608221
