sortie_id,uav_id,uav_type,battery_id,preparation_start_s,takeoff_s,service_sequence,return_s,energy_kwh,energy_margin_kwh,n_boxes,payload_kg,tag
M001,U02,A,BAT-A-06,4293.450612930119,4653.450612930119,S004,6472.256265934757,3.086766185892672,0.5132338141073283,2,17.0,P0002
M002,U03,A,BAT-A-01,6801.032634841675,7161.032634841675,S004,8979.838287846313,3.191085884797113,0.408914115202887,2,22.0,P0002
M003,U01,A,BAT-A-01,0.0,360.0,S001,1250.9011452645589,1.2823246082352031,2.317675391764797,2,22.0,P0002
M004,U01,A,BAT-A-05,1250.901146264559,1610.901146264559,S001,2501.802291529118,1.2823246082352031,2.317675391764797,2,22.0,P0002
M005,U07,C,BAT-C-03,1549.3827716221456,2059.382771622146,S003,4051.493915959226,6.324084213938969,0.07591578606103155,7,67.0,P0002
M006,U06,B,BAT-B-02,0.0,390.0,S010,1555.376902446339,1.8231457316476736,1.3768542683523266,3,25.0,P0002
M007,U06,B,BAT-B-04,2162.475728397939,2552.475728397939,S012,4085.210284368022,2.75235444190214,0.44764555809786,3,25.0,P0002
M008,U05,B,BAT-B-01,0.0,390.0,S013,1510.4702802929446,1.8247182633032644,1.3752817366967358,3,25.0,P0002
M009,U06,B,BAT-B-04,9045.066633717133,9375.066633717133,S015,10753.355217737582,2.00951162910229,1.19048837089771,1,14.0,P0002
M010,U06,B,BAT-B-02,4456.423189394309,4846.423189394309,S009,6014.8654367887175,2.096210537071622,1.1037894629283782,3,25.0,P0002
M011,U02,A,BAT-A-06,1310.901146264559,1640.901146264559,S001,2501.802291529118,1.1780555951641682,2.421944404835832,1,6.0,P0002
M012,U01,A,BAT-A-02,2501.802292529118,2831.802292529118,S001,3692.703437793677,1.1780555951641682,2.421944404835832,1,6.0,P0002
M013,U08,C,BAT-C-04,1709.2890216221456,2159.289021622146,S002,3751.1010402608536,5.721185016831143,0.6788149831688575,5,56.0,P0002
M014,U04,A,BAT-A-04,2003.7375252139127,2333.7375252139127,S007,3671.172847887551,1.8725171200874788,1.7274828799125213,1,14.0,P0002
M015,U02,A,BAT-A-04,0.0,390.0,S001,1310.9011452645589,1.2643245572747412,2.335675442725259,3,20.0,P0002
M016,U05,B,BAT-B-01,3973.7591740169546,4363.759174016955,S011,5162.182824128556,1.0739337252089312,2.126066274791069,3,25.0,P0002
M017,U04,A,BAT-A-03,0.0,360.0,S002,2003.7375242139126,2.919931145918103,0.6800688540818971,2,17.0,P0002
M018,U08,C,BAT-C-01,0.0,480.0,S006,1561.5595259403467,2.5979763856932365,3.802023614306764,6,59.0,P0002
M019,U05,B,BAT-B-03,2104.006978397938,2494.006978397938,S014,3973.7591730169547,2.1403030047614893,1.059696995238511,3,25.0,P0002
M020,U07,C,BAT-C-02,4336.985689394309,4816.985689394309,S005,6214.1808475898515,4.2221748035098585,2.177825196490142,6,59.0,P0002
M021,U04,A,BAT-A-05,4362.610689394309,4692.610689394309,S003,6565.264711571845,2.931501036438501,0.6684989635614991,1,14.0,P0002
M022,U03,A,BAT-A-01,1761.3504775325064,2121.3504775325064,S007,3488.785800206145,1.9708885880958245,1.6291114119041756,2,22.0,P0002
M023,U05,B,BAT-B-03,6660.768201704135,7020.768201704135,S004,8582.416212877377,2.6683352998765297,0.5316647001234704,2,20.0,P0002
M024,U03,A,BAT-A-02,0.0,360.0,S007,1727.4353226736384,1.8274326219446961,1.772567378055304,2,9.0,P0002
M025,U03,A,BAT-A-03,4329.360689394309,4689.360689394309,S015,6297.965025783804,2.3923327310224494,1.2076672689775507,2,11.0,P0002
M026,U08,C,BAT-C-01,4328.704439394309,4778.704439394309,S008,6528.416523986483,5.836023632389955,0.5639763676100458,5,45.0,P0002
M027,U07,C,BAT-C-02,0.0,480.0,S001,1494.170391878965,2.995742764547403,3.4042572354525973,6,78.0,P0002
M028,U01,A,BAT-A-02,4445.360689394309,4775.360689394309,S002,6389.098213608221,2.7953628103931756,0.8046371896068245,1,8.0,P0002
