uav_id,sortie_id,busy_start_s,busy_end_s
U02,M001,0.0,2178.805653004638
U03,M002,0.0,2178.805653004638
U02,M003,2178.805654004638,3429.7067992691973
U04,M004,3429.706800269197,4680.607945533757
U08,M005,3868.8705560496946,6370.981700386775
U06,M006,2514.774882110164,4070.151784556503
U05,M007,64.56250000000045,1987.2970559700836
U06,M008,1004.3046008172194,2514.7748811101637
U05,M009,4274.9197875254,5983.20837154585
U06,M010,4106.058056049695,5664.500303444103
U03,M011,7138.5010397037495,8329.402184968309
U01,M012,5947.59989343919,7138.501038703749
U07,M013,1494.170392878965,3535.982411517673
U04,M014,4680.60794654209,6348.043269215728
U01,M015,0.0,1310.9011452645589
U05,M016,9893.601508277534,11082.025158389133
U04,M017,998.1796008172194,3001.917125031132
U08,M018,0.0,1561.5595259403467
U05,M019,2300.687974688908,4170.440169307924
U07,M020,6178.0513916418695,8055.246549837412
U02,M021,4012.2455560496946,6214.89957822723
U03,M022,2178.805654004638,3906.2409766782766
U06,M023,8462.942087089235,10384.590098262477
U01,M024,1310.901146264559,3038.3364689381974
U01,M025,3978.9955560496946,5947.59989243919
U07,M026,3978.339306049694,6178.051390641869
U07,M027,0.0,1494.170391878965
U03,M028,4094.9955560496946,6038.733080263607
