uav_id,sortie_id,busy_start_s,busy_end_s
U03,M001,1761.3504865325065,3940.1561395371446
U02,M002,3038.336487938197,5217.142140942835
U01,M003,0.0,1250.9011452645589
U01,M004,1250.9011552645588,2501.802300529118
U08,M005,1561.5595359403467,4063.670680277427
U06,M006,0.0,1555.376902446339
U06,M007,1555.376912446339,3478.111468416422
U05,M008,0.0,1510.4702802929446
U06,M009,5036.55373581083,6744.84231983128
U06,M010,3478.111478416422,5036.553725810831
U01,M011,4470.4066569186125,5661.307802183172
U02,M012,5217.142150942835,6408.043296207394
U07,M013,1494.1704018789649,3535.982420517673
U04,M014,2003.7375342139126,3671.172856887551
U02,M015,0.0,1310.9011452645589
U05,M016,3380.222494911961,4568.646145023562
U04,M017,0.0,2003.7375242139126
U08,M018,0.0,1561.5595259403467
U05,M019,1510.4702902929446,3380.222484911961
U08,M020,4063.6706902774267,5940.865848472969
U04,M021,3671.172866887551,5873.826889065087
U02,M022,1310.9011552645588,3038.3364779381973
U05,M023,4614.353796975273,6536.001808148515
U03,M024,0.0,1727.4353226736384
U01,M025,2501.8023105291177,4470.406646918613
U07,M026,3535.982430517673,5735.694515109848
U07,M027,0.0,1494.170391878965
U03,M028,3940.1561495371443,5883.893673751057
