node_id,time,x,y,z,mode,task_id,relay_id,phase_role
U03,1761.3504865325065,318686.2012849663,2545556.1393078705,127.7,prep,M001,,start
U03,2121.3504865325067,318686.2012849663,2545556.1393078705,127.7,climb,M001,,start
U03,2121.3504865325067,318686.2012849663,2545556.1393078705,127.7,prep,M001,,end
U03,2121.3504865325067,318686.2012849663,2545556.1393078705,127.7,takeoff,M001,,instant
U03,2211.5302086190954,318686.2012849663,2545556.1393078705,398.2391662597656,climb,M001,,end
U03,2211.5302086190954,318686.2012849663,2545556.1393078705,398.2391662597656,cruise,M001,,start
U03,2854.4243131975863,319528.97595366306,2553224.6970819803,398.2391662597656,cruise,M001,,end
U03,2854.4243131975863,319528.97595366306,2553224.6970819803,398.2391662597656,descent,M001,,start
U03,2922.3999797014926,319528.97595366306,2553224.6970819803,228.3,descent,M001,,end
U03,2922.3999797014926,319528.97595366306,2553224.6970819803,228.3,handover_start,M001,,start
U03,3132.3999797014926,319528.97595366306,2553224.6970819803,228.3,climb,M001,,start
U03,3132.3999797014926,319528.97595366306,2553224.6970819803,228.3,handover_end,M001,,end
U03,3189.0463684547476,319528.97595366306,2553224.6970819803,398.2391662597656,climb,M001,,end
U03,3189.0463684547476,319528.97595366306,2553224.6970819803,398.2391662597656,cruise,M001,,start
U03,3831.9404730332385,318686.2012849663,2545556.1393078705,398.2391662597656,cruise,M001,,end
U03,3831.9404730332385,318686.2012849663,2545556.1393078705,398.2391662597656,descent,M001,,start
U03,3940.1561395371446,318686.2012849663,2545556.1393078705,127.7,descent,M001,,end
U03,3940.1561395371446,318686.2012849663,2545556.1393078705,127.7,return,M001,,instant
U02,3038.336487938197,318686.2012849663,2545556.1393078705,127.7,prep,M002,,start
U02,3398.336487938197,318686.2012849663,2545556.1393078705,127.7,climb,M002,,start
U02,3398.336487938197,318686.2012849663,2545556.1393078705,127.7,prep,M002,,end
U02,3398.336487938197,318686.2012849663,2545556.1393078705,127.7,takeoff,M002,,instant
U02,3488.516210024786,318686.2012849663,2545556.1393078705,398.2391662597656,climb,M002,,end
U02,3488.516210024786,318686.2012849663,2545556.1393078705,398.2391662597656,cruise,M002,,start
U02,4131.410314603277,319528.97595366306,2553224.6970819803,398.2391662597656,cruise,M002,,end
U02,4131.410314603277,319528.97595366306,2553224.6970819803,398.2391662597656,descent,M002,,start
U02,4199.3859811071825,319528.97595366306,2553224.6970819803,228.3,descent,M002,,end
U02,4199.3859811071825,319528.97595366306,2553224.6970819803,228.3,handover_start,M002,,start
U02,4409.3859811071825,319528.97595366306,2553224.6970819803,228.3,climb,M002,,start
U02,4409.3859811071825,319528.97595366306,2553224.6970819803,228.3,handover_end,M002,,end
U02,4466.032369860438,319528.97595366306,2553224.6970819803,398.2391662597656,climb,M002,,end
U02,4466.032369860438,319528.97595366306,2553224.6970819803,398.2391662597656,cruise,M002,,start
U02,5108.926474438928,318686.2012849663,2545556.1393078705,398.2391662597656,cruise,M002,,end
U02,5108.926474438928,318686.2012849663,2545556.1393078705,398.2391662597656,descent,M002,,start
U02,5217.142140942835,318686.2012849663,2545556.1393078705,127.7,descent,M002,,end
U02,5217.142140942835,318686.2012849663,2545556.1393078705,127.7,return,M002,,instant
U01,0.0,318686.2012849663,2545556.1393078705,127.7,prep,M003,,start
U01,360.0,318686.2012849663,2545556.1393078705,127.7,climb,M003,,start
U01,360.0,318686.2012849663,2545556.1393078705,127.7,prep,M003,,end
U01,360.0,318686.2012849663,2545556.1393078705,127.7,takeoff,M003,,instant
U01,408.45220336914065,318686.2012849663,2545556.1393078705,273.0566101074219,climb,M003,,end
U01,408.45220336914065,318686.2012849663,2545556.1393078705,273.0566101074219,cruise,M003,,start
U01,662.951261922644,319988.599872737,2548318.494265952,273.0566101074219,cruise,M003,,end
U01,662.951261922644,319988.599872737,2548318.494265952,273.0566101074219,descent,M003,,start
U01,698.5739059656128,319988.599872737,2548318.494265952,184.0,descent,M003,,end
U01,698.5739059656128,319988.599872737,2548318.494265952,184.0,handover_start,M003,,start
U01,908.5739059656128,319988.599872737,2548318.494265952,184.0,climb,M003,,start
U01,908.5739059656128,319988.599872737,2548318.494265952,184.0,handover_end,M003,,end
U01,938.2594426680868,319988.599872737,2548318.494265952,273.0566101074219,climb,M003,,end
U01,938.2594426680868,319988.599872737,2548318.494265952,273.0566101074219,cruise,M003,,start
U01,1192.7585012215902,318686.2012849663,2545556.1393078705,273.0566101074219,cruise,M003,,end
U01,1192.7585012215902,318686.2012849663,2545556.1393078705,273.0566101074219,descent,M003,,start
U01,1250.901145264559,318686.2012849663,2545556.1393078705,127.7,descent,M003,,end
U01,1250.901145264559,318686.2012849663,2545556.1393078705,127.7,return,M003,,instant
U01,1250.9011552645588,318686.2012849663,2545556.1393078705,127.7,prep,M004,,start
U01,1610.9011552645588,318686.2012849663,2545556.1393078705,127.7,climb,M004,,start
U01,1610.9011552645588,318686.2012849663,2545556.1393078705,127.7,prep,M004,,end
U01,1610.9011552645588,318686.2012849663,2545556.1393078705,127.7,takeoff,M004,,instant
U01,1659.3533586336994,318686.2012849663,2545556.1393078705,273.0566101074219,climb,M004,,end
U01,1659.3533586336994,318686.2012849663,2545556.1393078705,273.0566101074219,cruise,M004,,start
U01,1913.8524171872027,319988.599872737,2548318.494265952,273.0566101074219,cruise,M004,,end
U01,1913.8524171872027,319988.599872737,2548318.494265952,273.0566101074219,descent,M004,,start
U01,1949.4750612301714,319988.599872737,2548318.494265952,184.0,descent,M004,,end
