box_id,sortie_id,service_id,delivery_time_s,expected_deadline_s,first_deadline_s,hard_deadline_s,hard_deadline_ok,normalized_delivery_time,tag
S013-MED-01,M001,S013,1082.2666280232597,3600.0,3600.0,3600.0,True,0.30062961889534995,EPS0.02_makespan
S012-MED-01,M001,S012,1621.1640307270998,7200.0,3600.0,3600.0,True,0.2251616709343194,EPS0.02_makespan
S012-WAT-01,M001,S012,1621.1640307270998,3600.0,3600.0,3600.0,True,0.4503233418686388,EPS0.02_makespan
S006-MED-01,M002,S006,935.5059666318248,3600.0,3600.0,3600.0,True,0.2598627685088402,EPS0.02_makespan
S007-MED-01,M002,S007,1543.062370968485,3600.0,3600.0,3600.0,True,0.42862843638013476,EPS0.02_makespan
S007-WAT-01,M002,S007,1543.062370968485,3600.0,3600.0,3600.0,True,0.42862843638013476,EPS0.02_makespan
S014-WAT-01,M003,S014,1242.4327639761748,3600.0,3600.0,3600.0,True,0.3451202122156041,EPS0.02_makespan
S014-MED-01,M003,S014,1242.4327639761748,7200.0,3600.0,3600.0,True,0.17256010610780206,EPS0.02_makespan
S014-FOD-01,M003,S014,1242.4327639761748,7200.0,,,True,0.17256010610780206,EPS0.02_makespan
S002-WAT-01,M004,S002,1160.2869669609559,3600.0,3600.0,3600.0,True,0.3223019352669322,EPS0.02_makespan
S002-MED-01,M004,S002,1160.2869669609559,3600.0,3600.0,3600.0,True,0.3223019352669322,EPS0.02_makespan
S006-WAT-02,M005,S006,1143.4247629701733,3600.0,,,True,0.317617989713937,EPS0.02_makespan
S006-WAT-03,M005,S006,1143.4247629701733,3600.0,,,True,0.317617989713937,EPS0.02_makespan
S006-FOD-01,M005,S006,1143.4247629701733,7200.0,,,True,0.1588089948569685,EPS0.02_makespan
S006-HYG-01,M005,S006,1143.4247629701733,10800.0,,,True,0.10587266323797902,EPS0.02_makespan
S006-WAT-01,M005,S006,1143.4247629701733,3600.0,3600.0,3600.0,True,0.317617989713937,EPS0.02_makespan
S010-WAT-01,M006,S010,1104.9663658274644,3600.0,3600.0,3600.0,True,0.3069351016187401,EPS0.02_makespan
S010-MED-01,M006,S010,1104.9663658274644,3600.0,3600.0,3600.0,True,0.3069351016187401,EPS0.02_makespan
S013-FOD-01,M007,S013,2758.1401112591393,7200.0,,,True,0.38307501545265826,EPS0.02_makespan
S013-WAT-01,M007,S013,2758.1401112591393,3600.0,3600.0,3600.0,True,0.7661500309053165,EPS0.02_makespan
S001-WAT-01,M008,S001,2787.4262888739286,3600.0,3600.0,3600.0,True,0.7742850802427579,EPS0.02_makespan
S001-MED-01,M008,S001,2787.4262888739286,3600.0,3600.0,3600.0,True,0.7742850802427579,EPS0.02_makespan
S001-MED-02,M008,S001,2787.4262888739286,3600.0,,3600.0,True,0.7742850802427579,EPS0.02_makespan
S008-WAT-01,M009,S008,1497.6960422960872,7200.0,7200.0,7200.0,True,0.2080133392077899,EPS0.02_makespan
S008-WAT-02,M009,S008,1497.6960422960872,7200.0,,,True,0.2080133392077899,EPS0.02_makespan
S008-FOD-01,M009,S008,1497.6960422960872,10800.0,,,True,0.13867555947185992,EPS0.02_makespan
S008-HYG-01,M009,S008,1497.6960422960872,14400.0,,,True,0.10400666960389494,EPS0.02_makespan
S008-MED-01,M009,S008,1497.6960422960872,7200.0,7200.0,7200.0,True,0.2080133392077899,EPS0.02_makespan
S003-WAT-01,M010,S003,4419.489437556495,7200.0,7200.0,7200.0,True,0.6138179774384022,EPS0.02_makespan
S003-MED-01,M010,S003,4419.489437556495,7200.0,7200.0,7200.0,True,0.6138179774384022,EPS0.02_makespan
S003-FOD-01,M010,S003,4419.489437556495,10800.0,,,True,0.40921198495893474,EPS0.02_makespan
S004-WAT-01,M011,S004,4446.990294182988,7200.0,7200.0,7200.0,True,0.6176375408587483,EPS0.02_makespan
S004-MED-01,M011,S004,4446.990294182988,7200.0,7200.0,7200.0,True,0.6176375408587483,EPS0.02_makespan
S015-MED-01,M012,S015,6343.070288557177,7200.0,7200.0,7200.0,True,0.8809819845218302,EPS0.02_makespan
S015-WAT-01,M012,S015,6343.070288557177,10800.0,10800.0,10800.0,True,0.5873213230145534,EPS0.02_makespan
S015-FOD-01,M012,S015,6343.070288557177,14400.0,,,True,0.4404909922609151,EPS0.02_makespan
S009-WAT-01,M013,S009,1125.8969373566943,10800.0,10800.0,10800.0,True,0.10424971642191613,EPS0.02_makespan
S009-MED-01,M013,S009,1125.8969373566943,10800.0,10800.0,10800.0,True,0.10424971642191613,EPS0.02_makespan
S005-MED-01,M014,S005,6185.022589636608,10800.0,10800.0,10800.0,True,0.5726872768182044,EPS0.02_makespan
S005-WAT-01,M014,S005,6185.022589636608,10800.0,10800.0,10800.0,True,0.5726872768182044,EPS0.02_makespan
S011-WAT-01,M015,S011,2546.5835255479215,10800.0,10800.0,10800.0,True,0.2357947708840668,EPS0.02_makespan
S011-MED-01,M015,S011,2546.5835255479215,10800.0,10800.0,10800.0,True,0.2357947708840668,EPS0.02_makespan
S001-WAT-06,M016,S001,2677.829721879829,3600.0,,,True,0.7438415894110636,EPS0.02_makespan
S001-WAT-04,M016,S001,2677.829721879829,3600.0,,,True,0.7438415894110636,EPS0.02_makespan
S001-WAT-05,M016,S001,2677.829721879829,3600.0,,,True,0.7438415894110636,EPS0.02_makespan
S001-FOD-03,M016,S001,2677.829721879829,7200.0,,,True,0.3719207947055318,EPS0.02_makespan
S001-WAT-02,M016,S001,2677.829721879829,3600.0,,,True,0.7438415894110636,EPS0.02_makespan
S001-WAT-03,M016,S001,2677.829721879829,3600.0,,,True,0.7438415894110636,EPS0.02_makespan
S002-FOD-01,M017,S002,3687.0280939115287,7200.0,,,True,0.51208723526549,EPS0.02_makespan
