eps,seed,operator,score,usage
-1,2026092301,random_box_removal,0.0,1
-1,2026092301,worst_timeliness_removal,3.0,3
-1,2026092301,related_service_removal,0.0,2
-1,2026092301,whole_mission_removal,0.0,2
-1,2026092301,route_segment_removal,1.3,4
-1,2026092301,best_feasible_insertion,2.3,4
-1,2026092301,regret_2_insertion,0.0,5
-1,2026092301,hard_deadline_first_insertion,2.0,3
-1,2026092301,service_2opt,0.0,0
-1,2026092301,mission_merge,0.0,0
-1,2026092301,mission_split,0.0,0
-1,2026092301,uav_type_change,0.5,1
-1,2026092302,random_box_removal,0.0,3
-1,2026092302,worst_timeliness_removal,2.0,2
-1,2026092302,related_service_removal,0.0,1
-1,2026092302,whole_mission_removal,0.0,1
-1,2026092302,route_segment_removal,2.0,5
-1,2026092302,best_feasible_insertion,3.0,5
-1,2026092302,regret_2_insertion,0.0,1
-1,2026092302,hard_deadline_first_insertion,1.0,6
-1,2026092302,service_2opt,0.5,1
-1,2026092302,mission_merge,0.0,0
-1,2026092302,mission_split,0.0,0
-1,2026092302,uav_type_change,0.0,0
-1,2026092303,random_box_removal,1.0,1
-1,2026092303,worst_timeliness_removal,1.0,2
-1,2026092303,related_service_removal,0.0,2
-1,2026092303,whole_mission_removal,0.0,2
-1,2026092303,route_segment_removal,1.3,5
-1,2026092303,best_feasible_insertion,0.3,2
-1,2026092303,regret_2_insertion,2.0,6
-1,2026092303,hard_deadline_first_insertion,1.0,4
-1,2026092303,service_2opt,0.0,0
-1,2026092303,mission_merge,0.0,0
-1,2026092303,mission_split,0.5,1
-1,2026092303,uav_type_change,0.5,1
-1,2026092304,random_box_removal,1.0,1
-1,2026092304,worst_timeliness_removal,1.0,1
-1,2026092304,related_service_removal,0.0,4
-1,2026092304,whole_mission_removal,0.0,3
-1,2026092304,route_segment_removal,1.0,3
-1,2026092304,best_feasible_insertion,0.0,2
-1,2026092304,regret_2_insertion,1.0,5
-1,2026092304,hard_deadline_first_insertion,2.0,5
-1,2026092304,service_2opt,0.0,0
-1,2026092304,mission_merge,0.0,0
-1,2026092304,mission_split,0.5,1
-1,2026092304,uav_type_change,0.0,0
-1,2026092305,random_box_removal,1.3,2
-1,2026092305,worst_timeliness_removal,1.0,2
-1,2026092305,related_service_removal,0.0,5
-1,2026092305,whole_mission_removal,0.0,1
-1,2026092305,route_segment_removal,0.0,2
-1,2026092305,best_feasible_insertion,2.0,6
-1,2026092305,regret_2_insertion,0.0,4
-1,2026092305,hard_deadline_first_insertion,0.3,2
-1,2026092305,service_2opt,0.0,0
-1,2026092305,mission_merge,0.0,0
-1,2026092305,mission_split,0.0,1
-1,2026092305,uav_type_change,0.0,0
-1,2026092306,random_box_removal,0.3,1
-1,2026092306,worst_timeliness_removal,1.0,1
-1,2026092306,related_service_removal,0.0,4
-1,2026092306,whole_mission_removal,0.0,3
-1,2026092306,route_segment_removal,1.0,3
-1,2026092306,best_feasible_insertion,0.0,4
-1,2026092306,regret_2_insertion,1.0,3
-1,2026092306,hard_deadline_first_insertion,1.3,5
-1,2026092306,service_2opt,0.5,1
-1,2026092306,mission_merge,0.0,0
-1,2026092306,mission_split,0.0,0
-1,2026092306,uav_type_change,0.0,0
-1,2026092307,random_box_removal,0.0,4
-1,2026092307,worst_timeliness_removal,0.0,0
-1,2026092307,related_service_removal,0.0,1
-1,2026092307,whole_mission_removal,0.3,7
-1,2026092307,route_segment_removal,0.0,0
-1,2026092307,best_feasible_insertion,0.3,5
-1,2026092307,regret_2_insertion,0.0,2
-1,2026092307,hard_deadline_first_insertion,0.0,5
-1,2026092307,service_2opt,0.5,1
-1,2026092307,mission_merge,0.0,0
-1,2026092307,mission_split,0.5,1
-1,2026092307,uav_type_change,0.5,1
-1,2026092308,random_box_removal,1.3,3
-1,2026092308,worst_timeliness_removal,1.0,1
-1,2026092308,related_service_removal,0.0,3
-1,2026092308,whole_mission_removal,0.0,2
-1,2026092308,route_segment_removal,1.0,3
-1,2026092308,best_feasible_insertion,2.0,5
-1,2026092308,regret_2_insertion,1.3,5
-1,2026092308,hard_deadline_first_insertion,0.0,2
-1,2026092308,service_2opt,0.0,0
-1,2026092308,mission_merge,0.0,0
-1,2026092308,mission_split,0.0,0
-1,2026092308,uav_type_change,0.0,0
-1,2026092309,random_box_removal,2.0,3
-1,2026092309,worst_timeliness_removal,1.0,1
-1,2026092309,related_service_removal,0.0,2
-1,2026092309,whole_mission_removal,0.0,4
-1,2026092309,route_segment_removal,0.0,2
-1,2026092309,best_feasible_insertion,3.0,5
-1,2026092309,regret_2_insertion,0.0,2
-1,2026092309,hard_deadline_first_insertion,0.0,5
-1,2026092309,service_2opt,0.0,0
-1,2026092309,mission_merge,0.0,0
-1,2026092309,mission_split,0.5,1
-1,2026092309,uav_type_change,0.0,0
-1,2026092310,random_box_removal,1.0,2
-1,2026092310,worst_timeliness_removal,2.0,2
-1,2026092310,related_service_removal,0.0,3
-1,2026092310,whole_mission_removal,0.0,4
-1,2026092310,route_segment_removal,1.0,1
-1,2026092310,best_feasible_insertion,1.0,3
-1,2026092310,regret_2_insertion,0.0,4
-1,2026092310,hard_deadline_first_insertion,3.0,5
-1,2026092310,service_2opt,0.5,1
-1,2026092310,mission_merge,0.0,0
-1,2026092310,mission_split,0.0,0
-1,2026092310,uav_type_change,0.0,0
