battery_id,sortie_id,takeoff_s,return_s,energy_kwh
BAT-A-01,M001,390.0,2536.018519191093,3.303383831540811
BAT-A-02,M002,390.0,2121.702052162075,2.1889687196597922
BAT-C-01,M003,510.0,1560.170391878965,2.881050791043715
BAT-B-01,M004,390.0,1869.7521946190163,2.1403030047614893
BAT-B-02,M005,390.0,1816.6939339219116,2.7133927146782657
BAT-C-02,M006,480.0,1494.170391878965,2.720366632699651
BAT-C-03,M007,1944.170391878965,2989.7299178193116,2.539471952043197
BAT-A-03,M008,360.0,1609.4665893798526,1.9568412244277686
BAT-B-03,M009,2176.6939339219116,3312.0708363682506,1.740715239132044
BAT-A-04,M010,360.0,1250.9011452645589,1.1912875108054042
BAT-C-04,M011,2010.170391878965,3759.8824764711394,5.836023632389955
BAT-B-04,M012,2259.7521946190163,3851.400205792258,2.8712479170563197
BAT-B-01,M013,3672.0708363682506,5317.395611890227,2.491188971973507
BAT-B-02,M014,4241.400205792258,5678.325516700729,2.3068796937944342
BAT-A-05,M015,1610.9011452645589,2943.0973968826847,2.1213050740389403
BAT-A-06,M016,1969.4665893798526,3298.080464093241,2.254800043434852
BAT-A-04,M017,2481.702052162075,3340.7769732813936,1.1508046748468406
BAT-C-01,M018,3439.7299178193116,5031.541936458019,5.721185016831143
BAT-C-02,M019,4239.882476471139,6177.316588337516,6.141502088085912
BAT-C-03,M020,5421.541936458019,6788.860523942633,3.1446896308474503
BAT-C-04,M021,6567.316588337516,8280.377654930679,5.315055383757837
BAT-C-01,M022,7414.362878516455,8739.558036711996,3.7870462440380046
BAT-B-03,M023,5647.395611890227,7118.749035861612,2.288992826923215
BAT-B-04,M024,6008.325516700729,7066.151204708518,1.5146574548336442
BAT-B-01,M025,7396.151204708518,8504.593452102927,1.7424262240623476
BAT-B-02,M026,7448.749035861612,8184.220688089099,0.8932052893717091
