box_id,sortie_id,service_id,delivery_time_s,expected_deadline_s,first_deadline_s,hard_deadline_s,hard_deadline_ok,normalized_delivery_time,tag
S012-MED-01,M001,S012,1363.780849088561,7200.0,3600.0,3600.0,True,0.18941400681785567,P01
S012-WAT-01,M001,S012,1363.780849088561,3600.0,3600.0,3600.0,True,0.37882801363571134,P01
S010-MED-01,M001,S010,1986.1254866969623,3600.0,3600.0,3600.0,True,0.5517015240824895,P01
S007-MED-01,M002,S007,1163.91968119359,3600.0,3600.0,3600.0,True,0.323311022553775,P01
S007-WAT-01,M002,S007,1163.91968119359,3600.0,3600.0,3600.0,True,0.323311022553775,P01
S006-MED-01,M002,S006,1743.7227521969169,3600.0,3600.0,3600.0,True,0.48436743116581027,P01
S001-WAT-04,M003,S001,1248.2701959394824,3600.0,,,True,0.3467417210943007,P01
S001-WAT-05,M003,S001,1248.2701959394824,3600.0,,,True,0.3467417210943007,P01
S001-FOD-02,M003,S001,1248.2701959394824,7200.0,,,True,0.17337086054715034,P01
S001-WAT-06,M003,S001,1248.2701959394824,3600.0,,,True,0.3467417210943007,P01
S001-WAT-03,M003,S001,1248.2701959394824,3600.0,,,True,0.3467417210943007,P01
S001-MED-01,M003,S001,1248.2701959394824,3600.0,3600.0,3600.0,True,0.3467417210943007,P01
S001-FOD-01,M003,S001,1248.2701959394824,7200.0,,,True,0.17337086054715034,P01
S014-MED-01,M004,S014,1242.4327639761748,7200.0,3600.0,3600.0,True,0.17256010610780206,P01
S014-FOD-01,M004,S014,1242.4327639761748,7200.0,,,True,0.17256010610780206,P01
S014-WAT-01,M004,S014,1242.4327639761748,3600.0,3600.0,3600.0,True,0.3451202122156041,P01
S002-WAT-01,M005,S002,1220.2869669609559,3600.0,3600.0,3600.0,True,0.33896860193359885,P01
S002-MED-01,M005,S002,1220.2869669609559,3600.0,3600.0,3600.0,True,0.33896860193359885,P01
S002-FOD-01,M005,S002,1220.2869669609559,7200.0,,,True,0.16948430096679942,P01
S001-WAT-08,M006,S001,1182.2701959394824,3600.0,,,True,0.3284083877609673,P01
S001-FOD-03,M006,S001,1182.2701959394824,7200.0,,,True,0.16420419388048366,P01
S001-WAT-02,M006,S001,1182.2701959394824,3600.0,,,True,0.3284083877609673,P01
S001-WAT-01,M006,S001,1182.2701959394824,3600.0,3600.0,3600.0,True,0.3284083877609673,P01
S001-HYG-01,M006,S001,1182.2701959394824,10800.0,,,True,0.10946946258698911,P01
S001-WAT-07,M006,S001,1182.2701959394824,3600.0,,,True,0.3284083877609673,P01
S006-WAT-02,M007,S006,2637.5951548491385,3600.0,,,True,0.7326653207914273,P01
S006-WAT-03,M007,S006,2637.5951548491385,3600.0,,,True,0.7326653207914273,P01
S006-FOD-01,M007,S006,2637.5951548491385,7200.0,,,True,0.36633266039571366,P01
S006-HYG-01,M007,S006,2637.5951548491385,10800.0,,,True,0.24422177359714245,P01
S006-WAT-01,M007,S006,2637.5951548491385,3600.0,3600.0,3600.0,True,0.7326653207914273,P01
S013-WAT-01,M008,S013,1082.2666280232597,3600.0,3600.0,3600.0,True,0.30062961889534995,P01
S013-MED-01,M008,S013,1082.2666280232597,3600.0,3600.0,3600.0,True,0.30062961889534995,P01
S010-FOD-01,M009,S010,2841.9190518117475,7200.0,,,True,0.39471097941829825,P01
S010-WAT-01,M009,S010,2841.9190518117475,3600.0,3600.0,3600.0,True,0.7894219588365965,P01
S001-HYG-02,M010,S001,908.5739059656128,10800.0,,,True,0.08412721351533452,P01
S001-MED-02,M010,S001,908.5739059656128,3600.0,,3600.0,True,0.25238164054600354,P01
S008-WAT-01,M011,S008,3057.866434175052,7200.0,7200.0,7200.0,True,0.42470367141320164,P01
S008-MED-01,M011,S008,3057.866434175052,7200.0,7200.0,7200.0,True,0.42470367141320164,P01
S008-WAT-02,M011,S008,3057.866434175052,7200.0,,,True,0.42470367141320164,P01
S008-FOD-01,M011,S008,3057.866434175052,10800.0,,,True,0.28313578094213443,P01
S008-HYG-01,M011,S008,3057.866434175052,14400.0,,,True,0.21235183570660082,P01
S004-WAT-01,M012,S004,3172.2228668723037,7200.0,7200.0,7200.0,True,0.44058650928781995,P01
S004-MED-01,M012,S004,3172.2228668723037,7200.0,7200.0,7200.0,True,0.44058650928781995,P01
S004-FOD-01,M012,S004,3172.2228668723037,10800.0,,,True,0.2937243395252133,P01
S003-WAT-01,M013,S003,4592.706557462572,7200.0,7200.0,7200.0,True,0.6378759107586905,P01
S003-MED-01,M013,S003,4592.706557462572,7200.0,7200.0,7200.0,True,0.6378759107586905,P01
S015-MED-01,M014,S015,5068.302861246493,7200.0,7200.0,7200.0,True,0.7039309529509018,P01
S015-WAT-01,M014,S015,5068.302861246493,10800.0,10800.0,10800.0,True,0.46928730196726787,P01
S015-FOD-01,M014,S015,5068.302861246493,14400.0,,,True,0.3519654764754509,P01
S005-WAT-01,M015,S005,2379.7559377402886,10800.0,10800.0,10800.0,True,0.2203477720129897,P01
S005-MED-01,M015,S005,2379.7559377402886,10800.0,10800.0,10800.0,True,0.2203477720129897,P01
S009-WAT-01,M016,S009,2735.363526736547,10800.0,10800.0,10800.0,True,0.25327440062375434,P01
S009-MED-01,M016,S009,2735.363526736547,10800.0,10800.0,10800.0,True,0.25327440062375434,P01
S011-WAT-01,M017,S011,3013.4261793884007,10800.0,10800.0,10800.0,True,0.27902094253596305,P01
S011-MED-01,M017,S011,3013.4261793884007,10800.0,10800.0,10800.0,True,0.27902094253596305,P01
S002-FOD-02,M018,S002,4411.045927138666,7200.0,,,True,0.6126452676581481,P01
S002-WAT-04,M018,S002,4411.045927138666,3600.0,,,True,1.2252905353162962,P01
S002-HYG-01,M018,S002,4411.045927138666,10800.0,,,True,0.4084301784387654,P01
