sortie_id,uav_id,uav_type,battery_id,preparation_start_s,takeoff_s,service_sequence,return_s,energy_kwh,energy_margin_kwh,n_boxes,payload_kg,tag
M001,U01,A,BAT-A-01,0.0,360.0,S012,2107.7016981771217,2.9574000493026618,0.6425999506973383,2,17.0,P04
M002,U05,B,BAT-B-01,0.0,390.0,S014,1869.7521946190163,2.1403030047614893,1.059696995238511,3,25.0,P04
M003,U06,B,BAT-B-02,0.0,390.0,S002,1816.6939339219116,2.7133927146782657,0.4866072853217345,3,25.0,P04
M004,U02,A,BAT-A-02,0.0,360.0,S007,1712.55936238718,1.8992860694082216,1.7007139305917784,2,17.0,P04
M005,U03,A,BAT-A-03,0.0,360.0,S010,1654.8593983215956,1.954809785440372,1.645190214559628,2,17.0,P04
M006,U04,A,BAT-A-04,0.0,360.0,S013,1609.4665893798526,1.9568412244277686,1.6431587755722314,2,17.0,P04
M007,U06,B,BAT-B-03,1816.6939339219116,2206.6939339219116,S001,3025.795455765069,1.073960767623688,2.1260392323763124,3,20.0,P04
M008,U05,B,BAT-B-04,1869.7521946190163,2229.7521946190163,S006,3077.0291074408733,1.0987637384368147,2.1012362615631854,2,17.0,P04
M009,U07,C,BAT-C-01,0.0,450.0,S008,2199.7120845921745,5.836023632389955,0.5639763676100458,5,45.0,P04
M010,U06,B,BAT-B-01,3025.795455765069,3463.8834966823283,S003>S015,5403.895695195146,3.0044239062666533,0.19557609373334683,3,25.0,P04
M011,U05,B,BAT-B-02,3077.0291074408733,3659.1641102824933,S004,5220.812121455735,2.576489867036754,0.6235101329632462,2,17.0,P04
M012,U05,B,BAT-B-03,5220.812121455735,5580.812121455735,S015,6987.737432364206,2.07023962281821,1.1297603771817903,2,17.0,P04
M013,U04,A,BAT-A-05,1609.4665893798526,1969.4665893798526,S005,3301.6628409979785,2.1213050740389403,1.4786949259610598,2,17.0,P04
M014,U03,A,BAT-A-06,1654.8593983215956,2014.8593983215956,S009,3343.4732730349842,2.254800043434852,1.345199956565148,2,17.0,P04
M015,U01,A,BAT-A-04,2107.7016981771217,2674.7762764367635,S011,3533.8511975560823,1.1508046748468406,2.4491953251531595,2,17.0,P04
M016,U08,C,BAT-C-02,0.0,450.0,S001,1428.170391878965,2.565553153934972,3.8344468460650285,5,64.0,P04
M017,U08,C,BAT-C-03,1428.170391878965,1908.170391878965,S001,2922.34078375793,2.565553153934972,3.8344468460650285,6,64.0,P04
M018,U07,C,BAT-C-04,2199.7120845921745,2649.7120845921745,S002,4241.524103230882,5.721185016831143,0.6788149831688575,5,56.0,P04
M019,U08,C,BAT-C-02,2922.34078375793,3342.34078375793,S006,4351.900309698276,2.327805455709593,4.072194544290408,4,42.0,P04
M020,U07,C,BAT-C-01,4241.524103230882,4691.524103230882,S003,6592.958215097259,5.843844699723892,0.5561553002761084,5,58.0,P04
M021,U08,C,BAT-C-03,4351.900309698276,4741.900309698276,S007,6109.21889718289,3.1446896308474503,3.25531036915255,3,28.0,P04
M022,U08,C,BAT-C-02,6109.21889718289,6529.21889718289,S004,8278.279963776053,5.518469288797766,0.8815307112022346,4,42.0,P04
M023,U07,C,BAT-C-04,6592.958215097259,7012.958215097259,S005,8338.153373292802,3.7870462440380046,2.6129537559619957,4,42.0,P04
M024,U06,B,BAT-B-04,5403.895695195146,5733.895695195146,S010,6839.272597641485,1.5155761936939673,1.6844238063060328,1,8.0,P04
M025,U06,B,BAT-B-02,6839.272597641485,7169.272597641485,S012,8640.62602161287,2.288992826923215,0.911007173076785,1,8.0,P04
M026,U05,B,BAT-B-01,6987.737432364206,7372.479387910696,S013,8430.305075918484,1.5146574548336442,1.685342545166356,1,8.0,P04
M027,U02,A,BAT-A-03,1712.55936238718,2719.582225226592,S001,3580.4833704911507,1.1780555951641682,2.421944404835832,1,6.0,P04
M028,U08,C,BAT-C-03,8278.279963776053,8608.279963776053,S003,10365.71407564243,4.6727237645531545,1.7272762354468458,1,6.0,P04
M029,U05,B,BAT-B-03,8430.305075918484,8760.305075918484,S009,9868.747323312893,1.7424262240623476,1.4575737759376526,1,8.0,P04
M030,U06,B,BAT-B-04,8640.62602161287,8970.62602161287,S011,9706.097673840357,0.8932052893717091,2.3067947106282913,1,8.0,P04
