battery_id,sortie_id,takeoff_s,return_s,energy_kwh
BAT-A-01,M001,390.0,2430.1513330228986,3.091608697291146
BAT-A-02,M002,390.0,2652.617556574498,3.189918429941903
BAT-C-01,M003,510.0,1560.170391878965,2.7806263546021643
BAT-B-01,M004,390.0,1816.6939339219116,2.7133927146782657
BAT-C-02,M005,480.0,1494.170391878965,2.8126801619396953
BAT-A-03,M006,360.0,1712.55936238718,1.8992860694082216
BAT-A-04,M007,360.0,1654.8593983215956,1.954809785440372
BAT-A-05,M008,2014.8593983215956,3264.325987701448,1.9568412244277686
BAT-B-02,M009,360.0,1207.276912821857,1.0987637384368147
BAT-A-06,M010,2072.55936238718,3959.995061810809,2.97580685779325
BAT-B-03,M011,1567.276912821857,3128.9249239950987,2.576489867036754
BAT-B-04,M012,2176.6939339219116,3718.5362410889556,2.6676816095994944
BAT-B-02,M013,3518.9249239950987,4955.85023490357,2.3068796937944342
BAT-A-03,M014,2790.1513330228986,4118.765207736287,2.254800043434852
BAT-B-01,M015,4078.5362410889556,5234.711103060539,1.7714855189654486
BAT-B-03,M016,5285.85023490357,6021.321887131056,0.9352874452403557
BAT-C-03,M017,1944.170391878965,3535.982410517673,5.721185016831143
BAT-C-04,M018,1980.170391878965,2989.7299178193116,2.327805455709593
BAT-C-01,M019,3469.7299178193116,5407.164029685689,6.141502088085912
BAT-C-02,M020,3925.982410517673,5293.300998002287,3.1446896308474503
BAT-C-04,M021,5713.300998002287,7462.362064595451,5.518469288797766
BAT-C-03,M022,5918.8033525761075,7596.515437168282,5.401510008542074
BAT-C-02,M023,7882.362064595451,9207.557222790992,3.7870462440380046
BAT-B-04,M024,5564.711103060539,6670.088005506878,1.5155761936939673
BAT-B-02,M025,6622.164768881158,8093.5181928525435,2.288992826923215
BAT-B-01,M026,7000.088005506878,8057.913693514667,1.5146574548336442
BAT-B-03,M027,8387.913693514667,9807.665888133684,1.7844818317129114
BAT-A-04,M028,2982.617556574498,3843.518701839057,1.1780555951641682
BAT-B-04,M029,8423.518192852544,9531.960440246952,1.7424262240623476
BAT-B-01,M030,9861.960440246952,10597.432092474439,0.8932052893717091
