box_id,sortie_id,service_id,delivery_time_s,expected_deadline_s,first_deadline_s,hard_deadline_s,hard_deadline_ok,normalized_delivery_time,tag
S012-WAT-01,M001,S012,1656.2304839343378,3600.0,3600.0,3600.0,True,0.4600640233150938,ALNS
S012-MED-01,M001,S012,1656.2304839343378,7200.0,3600.0,3600.0,True,0.2300320116575469,ALNS
S001-MED-02,M001,S001,908.5739059656128,3600.0,,3600.0,True,0.2523816405460035,ALNS
S014-WAT-01,M002,S014,1302.7589338927446,3600.0,3600.0,3600.0,True,0.3618774816368735,ALNS
S014-MED-01,M002,S014,1302.7589338927446,7200.0,3600.0,3600.0,True,0.1809387408184367,ALNS
S011-MED-01,M002,S011,2325.266762681505,10800.0,10800.0,10800.0,True,0.2153024780260653,ALNS
S001-WAT-02,M003,S001,1248.2701959394824,3600.0,,,True,0.3467417210943007,ALNS
S001-WAT-06,M003,S001,1248.2701959394824,3600.0,,,True,0.3467417210943007,ALNS
S001-WAT-01,M003,S001,1248.2701959394824,3600.0,3600.0,3600.0,True,0.3467417210943007,ALNS
S001-FOD-02,M003,S001,1248.2701959394824,7200.0,,,True,0.1733708605471503,ALNS
S001-FOD-01,M003,S001,1248.2701959394824,7200.0,,,True,0.1733708605471503,ALNS
S001-FOD-03,M003,S001,1248.2701959394824,7200.0,,,True,0.1733708605471503,ALNS
S001-HYG-01,M003,S001,1248.2701959394824,10800.0,,,True,0.1155805736981002,ALNS
S002-WAT-01,M004,S002,1220.286966960956,3600.0,3600.0,3600.0,True,0.3389686019335988,ALNS
S002-MED-01,M004,S002,1220.286966960956,3600.0,3600.0,3600.0,True,0.3389686019335988,ALNS
S002-FOD-02,M004,S002,1220.286966960956,7200.0,,,True,0.1694843009667994,ALNS
S001-WAT-08,M005,S001,1182.2701959394824,3600.0,,,True,0.3284083877609673,ALNS
S001-MED-01,M005,S001,1182.2701959394824,3600.0,3600.0,3600.0,True,0.3284083877609673,ALNS
S001-WAT-05,M005,S001,1182.2701959394824,3600.0,,,True,0.3284083877609673,ALNS
S001-WAT-03,M005,S001,1182.2701959394824,3600.0,,,True,0.3284083877609673,ALNS
S001-WAT-04,M005,S001,1182.2701959394824,3600.0,,,True,0.3284083877609673,ALNS
S001-WAT-07,M005,S001,1182.2701959394824,3600.0,,,True,0.3284083877609673,ALNS
S007-WAT-01,M006,S007,1133.91968119359,3600.0,3600.0,3600.0,True,0.3149776892204416,ALNS
S007-MED-01,M006,S007,1133.91968119359,3600.0,3600.0,3600.0,True,0.3149776892204416,ALNS
S010-WAT-01,M007,S010,1104.9663658274644,3600.0,3600.0,3600.0,True,0.3069351016187401,ALNS
S010-MED-01,M007,S010,1104.9663658274644,3600.0,3600.0,3600.0,True,0.3069351016187401,ALNS
S013-MED-01,M008,S013,2737.1260263448557,3600.0,3600.0,3600.0,True,0.7603127850957931,ALNS
S013-WAT-01,M008,S013,2737.1260263448557,3600.0,3600.0,3600.0,True,0.7603127850957931,ALNS
S006-WAT-01,M009,S006,882.4017897442618,3600.0,3600.0,3600.0,True,0.2451116082622949,ALNS
S006-MED-01,M009,S006,882.4017897442618,3600.0,3600.0,3600.0,True,0.2451116082622949,ALNS
S003-WAT-01,M010,S003,3114.250545432328,7200.0,7200.0,7200.0,True,0.4325347979767122,ALNS
