sortie_id,uav_id,uav_type,battery_id,preparation_start_s,takeoff_s,service_sequence,return_s,energy_kwh,energy_margin_kwh,n_boxes,payload_kg,tag
M001,U01,A,BAT-A-01,0.0,360.0,S012,2107.7016981771217,2.9574000493026618,0.6425999506973383,2,17.0,B0
M002,U07,C,BAT-C-01,0.0,360.0,S014,1969.2846571841203,3.6443324121996596,2.7556675878003407,2,17.0,B0
M003,U05,B,BAT-B-01,0.0,360.0,S002,1756.6939339219116,2.43260791577573,0.7673920842242703,2,17.0,B0
M004,U02,A,BAT-A-02,0.0,360.0,S007,1712.55936238718,1.8992860694082216,1.7007139305917784,2,17.0,B0
M005,U03,A,BAT-A-03,0.0,360.0,S010,1654.8593983215956,1.954809785440372,1.645190214559628,2,17.0,B0
M006,U04,A,BAT-A-04,0.0,360.0,S013,1609.4665893798526,1.9568412244277686,1.6431587755722314,2,17.0,B0
M007,U06,B,BAT-B-02,0.0,390.0,S001,1209.1015218431576,1.073960767623688,2.1260392323763124,3,20.0,B0
M008,U06,B,BAT-B-03,1209.1015218431576,1569.1015218431576,S006,2416.3784346650145,1.0987637384368147,2.1012362615631854,2,17.0,B0
M009,U04,A,BAT-A-05,1609.4665893798526,1969.4665893798526,S003,3856.9022888034815,2.97580685779325,0.6241931422067499,2,17.0,B0
M010,U05,B,BAT-B-04,1756.6939339219116,2116.6939339219116,S004,3678.3419450951533,2.576489867036754,0.6235101329632462,2,17.0,B0
M011,U06,B,BAT-B-02,2416.3784346650145,2776.3784346650145,S008,4318.220741832059,2.6676816095994944,0.5323183904005058,2,17.0,B0
M012,U05,B,BAT-B-01,3678.3419450951533,4038.3419450951533,S015,5445.267256003624,2.07023962281821,1.1297603771817903,2,17.0,B0
M013,U03,A,BAT-A-06,1654.8593983215956,2014.8593983215956,S005,3347.055649939721,2.1213050740389403,1.4786949259610598,2,17.0,B0
M014,U01,A,BAT-A-04,2107.7016981771217,2674.7762764367635,S009,4003.3901511501517,2.254800043434852,1.345199956565148,2,17.0,B0
M015,U02,A,BAT-A-03,1712.55936238718,2719.582225226592,S011,3578.657146345911,1.1508046748468406,2.4491953251531595,2,17.0,B0
M016,U08,C,BAT-C-02,0.0,450.0,S001,1428.170391878965,2.720366632699651,3.679633367300349,5,70.0,B0
M017,U08,C,BAT-C-03,1428.170391878965,1908.170391878965,S002,3535.982410517673,6.1056142049076145,0.2943857950923858,6,64.0,B0
M018,U07,C,BAT-C-04,1969.2846571841203,2449.28465718412,S001,3463.455049063085,2.441142819684132,3.9588571803158685,6,58.0,B0
M019,U07,C,BAT-C-01,3463.455049063085,3883.455049063085,S006,4893.014575003432,2.327805455709593,4.072194544290408,4,42.0,B0
M020,U08,C,BAT-C-02,3535.982410517673,4015.982410517673,S003,5953.41652238405,6.141502088085912,0.25849791191408844,6,64.0,B0
M021,U07,C,BAT-C-04,4893.014575003432,5283.014575003432,S007,6650.333162488046,3.1446896308474503,3.25531036915255,3,28.0,B0
M022,U08,C,BAT-C-01,5953.41652238405,6373.41652238405,S004,8122.477588977214,5.518469288797766,0.8815307112022346,4,42.0,B0
M023,U07,C,BAT-C-03,6650.333162488046,7040.333162488046,S008,8718.04524708022,5.401510008542074,0.9984899914579266,3,28.0,B0
M024,U08,C,BAT-C-02,8122.477588977214,8542.477588977214,S005,9867.672747172755,3.7870462440380046,2.6129537559619957,4,42.0,B0
M025,U06,B,BAT-B-03,4318.220741832059,4648.220741832059,S010,5753.597644278398,1.5155761936939673,1.6844238063060328,1,8.0,B0
M026,U05,B,BAT-B-04,5445.267256003624,5775.267256003624,S012,7246.620679975009,2.288992826923215,0.911007173076785,1,8.0,B0
M027,U06,B,BAT-B-02,5753.597644278398,6140.882772658506,S013,7198.708460666294,1.5146574548336442,1.685342545166356,1,8.0,B0
M028,U03,A,BAT-A-01,3347.055649939721,3677.055649939721,S014,5277.460184391877,2.1885050529683205,1.4114949470316795,1,8.0,B0
M029,U02,A,BAT-A-02,3578.657146345911,3908.657146345911,S001,4769.5582916104695,1.1780555951641682,2.421944404835832,1,6.0,B0
M030,U06,B,BAT-B-01,7198.708460666294,7528.708460666294,S009,8637.150708060703,1.7424262240623476,1.4575737759376526,1,8.0,B0
M031,U05,B,BAT-B-03,7246.620679975009,7576.620679975009,S011,8312.092332202496,0.8932052893717091,2.3067947106282913,1,8.0,B0
M032,U07,C,BAT-C-04,8718.04524708022,9048.04524708022,S015,10550.893808314211,3.8862688328588573,2.513731167141143,1,8.0,B0
