uav_id,sortie_id,busy_start_s,busy_end_s
U01,M001,0.0,2430.1513330228986
U02,M002,0.0,2652.617556574498
U07,M003,0.0,1560.170391878965
U05,M004,0.0,1816.6939339219116
U08,M005,0.0,1494.170391878965
U03,M006,0.0,1712.55936238718
U04,M007,0.0,1654.8593983215956
U04,M008,1654.8593983215956,3264.325987701448
U06,M009,0.0,1207.276912821857
U03,M010,1712.55936238718,3959.995061810809
U06,M011,1207.276912821857,3128.9249239950987
U05,M012,1816.6939339219116,3718.5362410889556
U06,M013,3128.9249239950987,4955.85023490357
U01,M014,2430.1513330228986,4118.765207736287
U05,M015,3718.5362410889556,5234.711103060539
U06,M016,4955.85023490357,6021.321887131056
U08,M017,1494.170391878965,3535.982410517673
U07,M018,1560.170391878965,2989.7299178193116
U07,M019,2989.7299178193116,5407.164029685689
U08,M020,3535.982410517673,5293.300998002287
U08,M021,5293.300998002287,7462.362064595451
U07,M022,5407.164029685689,7596.515437168282
U08,M023,7462.362064595451,9207.557222790992
U05,M024,5234.711103060539,6670.088005506878
U06,M025,6021.321887131056,8093.5181928525435
U05,M026,6670.088005506878,8057.913693514667
U05,M027,8057.913693514667,9807.665888133684
U02,M028,2652.617556574498,3843.518701839057
U06,M029,8093.5181928525435,9531.960440246952
U06,M030,9531.960440246952,10597.432092474439
