uav_id,sortie_id,busy_start_s,busy_end_s
U01,M001,0.0,2107.7016981771217
U07,M002,0.0,1969.2846571841203
U05,M003,0.0,1756.6939339219116
U02,M004,0.0,1712.55936238718
U03,M005,0.0,1654.8593983215956
U04,M006,0.0,1609.4665893798526
U06,M007,0.0,1209.1015218431576
U06,M008,1209.1015218431576,2416.3784346650145
U04,M009,1609.4665893798526,3856.9022888034815
U05,M010,1756.6939339219116,3678.3419450951533
U06,M011,2416.3784346650145,4318.220741832059
U05,M012,3678.3419450951533,5445.267256003624
U03,M013,1654.8593983215956,3347.055649939721
U01,M014,2107.7016981771217,4003.3901511501517
U02,M015,1712.55936238718,3578.657146345911
U08,M016,0.0,1428.170391878965
U08,M017,1428.170391878965,3535.982410517673
U07,M018,1969.2846571841203,3463.455049063085
U07,M019,3463.455049063085,4893.014575003432
U08,M020,3535.982410517673,5953.41652238405
U07,M021,4893.014575003432,6650.333162488046
U08,M022,5953.41652238405,8122.477588977214
U07,M023,6650.333162488046,8718.04524708022
U08,M024,8122.477588977214,9867.672747172755
U06,M025,4318.220741832059,5753.597644278398
U05,M026,5445.267256003624,7246.620679975009
U06,M027,5753.597644278398,7198.708460666294
U03,M028,3347.055649939721,5277.460184391877
U02,M029,3578.657146345911,4769.5582916104695
U06,M030,7198.708460666294,8637.150708060703
U05,M031,7246.620679975009,8312.092332202496
U07,M032,8718.04524708022,10550.893808314211
