pareto_id,gap_id,sortie_id,uav_id,start_s,end_s,duration_s,phase_start,phase_end,min_margin_db,cause
P01,0,M001,U01,1100.7571235026237,1158.4651467122796,57.70802320965595,cruise,handover_start,-5.433206355480664,TERRAIN_BLOCKAGE
P01,1,M001,U01,1162.929376662401,1390.5878946092562,227.65851794685523,handover_start,handover_end,-5.4290277395881645,TERRAIN_BLOCKAGE
P01,2,M001,U01,1428.2442849609567,1433.5529201532006,5.308635192243855,climb,cruise,-5.436056262556207,TERRAIN_BLOCKAGE
P01,3,M001,U01,1757.4893636500872,1757.8421602977076,0.3527966476203801,cruise,descent,-1.6709638392819528,TERRAIN_BLOCKAGE
P01,4,M001,U01,1806.125486696962,1807.947632770229,1.8221460732670491,descent,handover_start,-1.6587909448326457,TERRAIN_BLOCKAGE
P01,5,M001,U01,1986.125486696962,1990.271160004204,4.14567330724185,climb,handover_end,-1.6587909448326457,TERRAIN_BLOCKAGE
P01,6,M001,U01,2014.137665245139,2015.948911495579,1.8112462504400355,climb,cruise,-1.6666112833377298,TERRAIN_BLOCKAGE
P01,7,M001,U01,2421.3435804630367,2421.647140303385,0.3035598403484982,descent,descent,-0.8094807205341397,TERRAIN_BLOCKAGE
P01,8,M001,U01,2422.2239040000472,2423.55956729758,1.3356632975328466,descent,descent,-2.512930070723627,TERRAIN_BLOCKAGE
P01,9,M002,U02,892.5874912521838,893.4421646631444,0.8546734109605723,cruise,descent,-1.2112739881184351,TERRAIN_BLOCKAGE
P01,10,M002,U02,903.9275482171236,1166.518453513095,262.5909052959713,descent,handover_end,-5.452529324587204,TERRAIN_BLOCKAGE
P01,11,M002,U02,1244.8204183324913,1245.0899322080377,0.2695138755461812,cruise,cruise,-0.6110539007276543,TERRAIN_BLOCKAGE
P01,12,M002,U02,1801.415297643429,1806.125486696962,4.710189053532986,cruise,cruise,-1.6587909448326457,TERRAIN_BLOCKAGE
P01,13,M003,U07,838.438468484645,853.9951509724783,15.556682487833314,handover_start,handover_start,-1.7791733297825942,TERRAIN_BLOCKAGE
P01,14,M003,U07,1248.6548220564391,1250.1050516777527,1.4502296213133832,handover_end,handover_end,-5.454177219446137,TERRAIN_BLOCKAGE
P01,15,M003,U07,1308.303638070322,1322.7485598746125,14.444921804290516,cruise,cruise,-2.762605430383033,TERRAIN_BLOCKAGE
P01,16,M004,U05,906.05380889805,906.9906749548672,0.93686605681728,cruise,descent,-2.762605430383033,TERRAIN_BLOCKAGE
P01,17,M004,U05,1002.4327639761748,1242.762242850015,240.3294788738401,descent,handover_end,-2.7396286930284504,TERRAIN_BLOCKAGE
P01,18,M004,U05,1322.7485598746125,1363.780849088561,41.03228921394839,climb,cruise,-5.4290277395881645,TERRAIN_BLOCKAGE
P01,19,M005,U06,944.5052653007996,948.8824475978164,4.37718229701693,cruise,descent,-5.454177219446137,TERRAIN_BLOCKAGE
P01,20,M005,U06,949.0908848500554,950.11570134023,1.0248164901746577,descent,descent,-1.4298614314213296,TERRAIN_BLOCKAGE
