relay_id,relay_sortie_id,busy_start_s,return_s,busy_end_s,turnaround_s
R01,P01_R001,0.0,2212.131081984592,2512.131081984592,300.0
R02,P01_R002,150.9505586261875,2422.7689519671535,2722.7689519671535,300.0
R01,P01_R003,2512.131081984592,3477.663770386646,3777.663770386646,300.0
R01,P01_R005,3777.6637703866463,5808.870230464649,6108.870230464649,300.0
R01,P01_R006,6108.870230464649,7574.235843052803,7874.235843052803,300.0
R02,P01_R011,11214.957530878331,13088.827772786653,13388.827772786653,300.0
R01,P01_R008,7874.235843052803,9721.678896402134,10021.678896402134,300.0
R01,P01_R010,10021.678896402134,12195.208550856765,12495.208550856765,300.0
R01,P01_R012,12495.208550856765,13756.494803103811,14056.494803103811,300.0
R02,P01_R007,7180.672194929307,9554.688097379707,9854.688097379707,300.0
R02,P01_R004,2722.7689519671535,6880.672194929308,7180.672194929308,300.0
R02,P01_R009,9854.688097379707,10914.957530878331,11214.957530878331,300.0
