battery_id,sortie_id,takeoff_s,return_s,return_soc,energy_ready_s,charge_duration_s
BAT-A-01,M001,390.0,2395.0848798156608,0.31497288875810114,3785.620124430129,1390.5352446144684
BAT-A-02,M002,390.0,2121.7020521620752,0.5096948468400417,3259.0987512700212,1137.3966991079458
BAT-B-01,M003,390.0,1869.7521946190163,0.4649242488096277,3463.8834966823283,1594.131302063312
BAT-B-02,M004,400.00600785663426,1826.699941778546,0.3216518213304336,3669.170118139128,1842.470176360582
BAT-C-01,M005,450.0,1495.5595259403467,0.6825660059946004,3016.666512952046,1521.1069870116992
BAT-A-03,M006,360.0,1654.8593983215956,0.5655978254576951,2719.582225226592,1064.7228269049965
BAT-B-03,M007,2828.51116102016,3916.3368490279486,0.5648509250592085,5337.261912258654,1420.925063230705
BAT-B-04,M008,2259.7521946190163,3078.853716462174,0.7315098080940781,4210.903382432439,1132.0496659702646
BAT-C-02,M009,3053.7549900917575,4803.467074683932,0.2704970459512557,7217.390141789545,2413.923067105613
BAT-B-01,M010,3468.853716462174,5144.17849198415,0.3065459999403699,7012.832092087509,1868.653600103359
BAT-B-02,M011,5563.718524353769,7125.3665355270105,0.3558775332408115,8908.51214457627,1783.1456090492602
BAT-B-03,M012,5534.17849198415,6971.103802892621,0.42328007655139144,8637.418336870209,1666.314533977588
BAT-A-04,M013,5637.550999438688,6966.164874152077,0.49893332368114396,8117.551553366589,1151.386679214513
BAT-B-04,M014,7485.3665355270105,8641.541397498593,0.5571286202586379,10075.851789050288,1434.3103915516945
BAT-A-05,M015,2014.8593983215956,2873.9343194409144,0.7442656278118132,3706.389003285557,832.4546838446429
BAT-C-03,M016,1975.5595259403467,2989.7299178193116,0.6255321544315746,4634.410249884233,1644.6803320649215
BAT-C-04,M017,10498.455492628864,12090.267511267572,0.28485187289610714,14473.088453326007,2382.820942058435
BAT-C-01,M018,3439.7299178193116,4417.900309698276,0.7113113807456068,5876.725651416127,1458.8253417178516
BAT-C-02,M019,12540.267511267572,14441.701623133948,0.28033748550753956,16834.303737867613,2392.6021147336646
BAT-A-06,M020,10381.518698455935,11734.078060843116,0.5634062291852384,12801.649962902306,1067.57190205919
BAT-C-03,M021,12928.863976509572,14677.925043102736,0.3101913389002793,17005.843808818798,2327.9187657160614
BAT-C-01,M022,15097.925043102736,16423.12020129828,0.5266192194952495,18282.111892391906,1858.991691093626
BAT-B-01,M023,8971.541397498593,10076.918299944933,0.6211059515765082,11400.334650545652,1323.4163506007192
BAT-B-02,M024,9270.555125923478,10741.908549894863,0.4277517932691962,12400.472108228256,1658.5635583333933
BAT-A-03,M025,7573.334916353064,8895.894278740245,0.5999396795696359,9915.972695299719,1020.0784165594735
BAT-B-04,M026,10406.918299944933,11166.019821788092,0.7622735018876424,12244.745751849512,1078.7259300614198
BAT-B-03,M027,11272.349682147586,12380.791929541994,0.5643934439844132,13802.509959969011,1421.7180304270173
BAT-B-01,M028,11496.019821788092,12231.491474015578,0.7766986776570728,13285.213766076653,1053.7222920610739
