sortie_id,uav_id,uav_type,battery_id,preparation_start_s,takeoff_s,service_sequence,return_s,energy_kwh,energy_margin_kwh,n_boxes,payload_kg,tag
M001,U01,A,BAT-A-01,0.0,390.0,S013>S012,2395.0848798156608,3.082622000588545,0.5173779994114551,3,20.0,P05
M002,U02,A,BAT-A-02,0.0,390.0,S006>S007,2121.7020521620752,2.2063731892198124,1.3936268107801877,3,20.0,P05
M003,U05,B,BAT-B-01,0.0,390.0,S014,1869.7521946190163,2.1403030047614893,1.059696995238511,3,25.0,P05
M004,U06,B,BAT-B-02,10.006007856634255,400.00600785663426,S002,1826.699941778546,2.7133927146782657,0.4866072853217345,3,25.0,P05
M005,U07,C,BAT-C-01,0.0,450.0,S006,1495.5595259403467,2.539471952043197,3.8605280479568034,5,56.0,P05
M006,U03,A,BAT-A-03,0.0,360.0,S010,1654.8593983215956,1.954809785440372,1.645190214559628,2,17.0,P05
M007,U06,B,BAT-B-03,2468.51116102016,2828.51116102016,S013,3916.3368490279486,1.7405962997631659,1.4594037002368343,2,22.0,P05
M008,U05,B,BAT-B-04,1869.7521946190163,2259.7521946190163,S001,3078.853716462174,1.073960767623688,2.1260392323763124,3,20.0,P05
M009,U08,C,BAT-C-02,2603.7549900917575,3053.7549900917575,S008,4803.467074683932,5.836023632389955,0.5639763676100458,5,45.0,P05
M010,U05,B,BAT-B-01,3078.853716462174,3468.853716462174,S003,5144.17849198415,2.7738160002385204,0.4261839997614798,3,25.0,P05
M011,U06,B,BAT-B-02,5169.074036000975,5563.718524353769,S004,7125.3665355270105,2.576489867036754,0.6235101329632462,2,17.0,P05
M012,U05,B,BAT-B-03,5144.17849198415,5534.17849198415,S015,6971.103802892621,2.3068796937944342,0.8931203062055659,3,25.0,P05
M013,U04,A,BAT-A-04,5277.550999438688,5637.550999438688,S009,6966.164874152077,2.254800043434852,1.345199956565148,2,17.0,P05
M014,U06,B,BAT-B-04,7125.3665355270105,7485.3665355270105,S005,8641.541397498593,1.7714855189654486,1.4285144810345516,2,17.0,P05
M015,U03,A,BAT-A-05,1654.8593983215956,2014.8593983215956,S011,2873.9343194409144,1.1508046748468406,2.4491953251531595,2,17.0,P05
M016,U07,C,BAT-C-03,1495.5595259403467,1975.5595259403467,S001,2989.7299178193116,2.995742764547403,3.4042572354525973,6,78.0,P05
M017,U08,C,BAT-C-04,10048.455492628864,10498.455492628864,S002,12090.267511267572,5.721185016831143,0.6788149831688575,5,56.0,P05
M018,U07,C,BAT-C-01,2989.7299178193116,3439.7299178193116,S001,4417.900309698276,2.3095089540351452,4.090491045964855,5,50.0,P05
M019,U08,C,BAT-C-02,12090.267511267572,12540.267511267572,S003,14441.701623133948,5.7573001159396835,0.6426998840603169,5,56.0,P05
M020,U04,A,BAT-A-06,10021.518698455935,10381.518698455935,S007,11734.078060843116,1.964671968666427,1.6353280313335732,2,22.0,P05
M021,U07,C,BAT-C-03,12508.863976509572,12928.863976509572,S004,14677.925043102736,5.518469288797766,0.8815307112022346,4,42.0,P05
M022,U07,C,BAT-C-01,14677.925043102736,15097.925043102736,S005,16423.12020129828,3.7870462440380046,2.6129537559619957,4,42.0,P05
M023,U06,B,BAT-B-01,8641.541397498593,8971.541397498593,S010,10076.918299944933,1.5155761936939673,1.6844238063060328,1,8.0,P05
M024,U05,B,BAT-B-02,8940.555125923478,9270.555125923478,S012,10741.908549894863,2.288992826923215,0.911007173076785,1,8.0,P05
M025,U02,A,BAT-A-03,6975.454743288547,7573.334916353064,S007,8895.894278740245,1.8002714419366384,1.7997285580633617,1,6.0,P05
M026,U06,B,BAT-B-04,10076.918299944933,10406.918299944933,S001,11166.019821788092,0.9509059924494303,2.24909400755057,1,6.0,P05
M027,U05,B,BAT-B-03,10942.349682147586,11272.349682147586,S009,12380.791929541994,1.7424262240623476,1.4575737759376526,1,8.0,P05
M028,U06,B,BAT-B-01,11166.019821788092,11496.019821788092,S011,12231.491474015578,0.8932052893717091,2.3067947106282913,1,8.0,P05
