uav_id,sortie_id,busy_start_s,busy_end_s
U01,M001,0.0,2395.0848798156608
U02,M002,0.0,2121.7020521620752
U05,M003,0.0,1869.7521946190163
U06,M004,40.006007856634255,1796.699941778546
U07,M005,0.0,1495.5595259403467
U03,M006,0.0,1654.8593983215956
U06,M007,2199.098942794555,3646.9246308023435
U05,M008,1869.7521946190163,3078.853716462174
U08,M009,2610.8310036296025,4810.543088221777
U05,M010,3078.853716462174,5144.17849198415
U06,M011,3745.920394434761,5667.568405608003
U06,M012,5833.015760818837,7659.941071727309
U04,M013,5887.642014837324,7576.255889550712
U05,M014,5144.17849198415,6660.353353955734
U03,M015,1654.8593983215956,2873.9343194409144
U07,M016,1495.5595259403467,2989.7299178193116
U08,M017,7600.690177243665,9708.502195882373
U07,M018,2989.7299178193116,4417.900309698276
U08,M019,10857.515393581118,13208.949505447494
U04,M020,7603.753383070736,9316.312745457915
U07,M021,9911.89957603293,12080.960642626094
U07,M022,12150.771108194105,13895.966266389649
U05,M023,7125.714393217019,8561.091295663358
U06,M024,7659.941071727309,9461.294495698694
U02,M025,2395.874375642982,4316.3139110946795
U05,M026,8561.091295663358,9650.192817506515
U06,M027,9605.244145243654,11043.686392638063
U05,M028,9650.192817506515,10715.664469734002
