atomic_task_id,parent_gap_id,pareto_id,transport_sortie_id,service_start_s,service_end_s,service_duration_s,candidate_count,source,candidate_set_complete,generation_mode
P01_G000_E52_A000,P01_G000,P01,M001,807.1614003372633,1954.6735065821129,1147.5121062448495,1,E52_MERGE_BACK,False,LAZY_FEASIBILITY_FIRST
P01_G001_E52_A000,P01_G001,P01,M002,1169.6403334902727,1232.0988487350032,62.458515244730506,3,E5_REVALIDATED,False,LAZY_FEASIBILITY_FIRST
P01_G002_E52_A000,P01_G002,P01,M002,1246.1641088511385,1646.057325684367,399.8932168332285,1,E52_EXISTING_SITE,False,LAZY_FEASIBILITY_FIRST
P01_G003_E52_A000,P01_G003,P01,M003,805.2439655639018,1424.556482434358,619.3125168704562,1,E52_NEW_GRID,False,LAZY_FEASIBILITY_FIRST
P01_G004_E52_A000,P01_G004,P01,M004,682.9294036153034,1422.6790692836205,739.7496656683171,1,E52_EXISTING_SITE,False,LAZY_FEASIBILITY_FIRST
P01_G005_E52_A000,P01_G005,P01,M006,790.6092964510069,1204.9708623146255,414.3615658636186,1,E52_MERGE_BACK,False,LAZY_FEASIBILITY_FIRST
P01_G006_E52_A000,P01_G006,P01,M007,2468.001633700186,2836.2311259847656,368.22949228457946,1,E52_EXISTING_SITE,False,LAZY_FEASIBILITY_FIRST
P01_G007_E52_A000,P01_G007,P01,M009,834.8733598094886,1791.3170636205425,956.4437038110539,1,E52_NEW_GRID,False,LAZY_FEASIBILITY_FIRST
P01_G008_E52_A000,P01_G008,P01,M010,3870.674419072423,4715.107651000835,844.4332319284122,1,E5_REVALIDATED,False,LAZY_FEASIBILITY_FIRST
P01_G009_E52_A000,P01_G009,P01,M011,4022.207411890528,4651.44256917851,629.235157287982,1,E52_EXISTING_SITE,False,LAZY_FEASIBILITY_FIRST
P01_G010_E52_A000,P01_G010,P01,M012,5924.649201997334,6516.065806111112,591.4166041137778,2,E5_REVALIDATED,False,LAZY_FEASIBILITY_FIRST
P01_G011_E52_A000,P01_G011,P01,M013,743.855314875907,1294.9711443375293,551.1158294616223,2,E5_REVALIDATED,False,LAZY_FEASIBILITY_FIRST
P01_G012_E52_A000,P01_G012,P01,M014,5837.683303059287,5862.626357918082,24.94305485879522,3,E5_REVALIDATED,False,LAZY_FEASIBILITY_FIRST
P01_G013_E52_A000,P01_G013,P01,M014,5870.5938178373935,6281.687923850976,411.09410601358286,1,E52_EXISTING_SITE,False,LAZY_FEASIBILITY_FIRST
P01_G014_E52_A000,P01_G014,P01,M014,6289.655383770287,6314.598438629082,24.94305485879522,3,E5_REVALIDATED,False,LAZY_FEASIBILITY_FIRST
P01_G015_E52_A000,P01_G015,P01,M017,3014.7251051508374,3955.383813177553,940.6587080267154,1,E52_EXISTING_SITE,False,LAZY_FEASIBILITY_FIRST
P01_G016_E52_A000,P01_G016,P01,M019,5187.593339776678,6187.514573210624,999.9212334339463,1,E52_EXISTING_SITE,False,LAZY_FEASIBILITY_FIRST
P01_G017_E52_A000,P01_G017,P01,M020,2500.56368944498,2925.5285106228607,424.9648211778808,3,E5_REVALIDATED,False,LAZY_FEASIBILITY_FIRST
P01_G018_E52_A000,P01_G018,P01,M021,5313.624044076422,6085.182395741032,771.5583516646102,1,E52_EXISTING_SITE,False,LAZY_FEASIBILITY_FIRST
P01_G019_E52_A000,P01_G019,P01,M022,7353.713579944701,7378.656634803497,24.94305485879522,3,E5_REVALIDATED,False,LAZY_FEASIBILITY_FIRST
P01_G020_E52_A000,P01_G020,P01,M022,7386.624094722808,7933.620015515035,546.9959207922275,2,E5_REVALIDATED,False,LAZY_FEASIBILITY_FIRST
P01_G021_E52_A000,P01_G021,P01,M022,7941.587475434347,7966.530530293142,24.94305485879522,3,E5_REVALIDATED,False,LAZY_FEASIBILITY_FIRST
P01_G022_E52_A000,P01_G022,P01,M023,7354.969893492841,7711.584504744934,356.6146112520928,1,E52_EXISTING_SITE,False,LAZY_FEASIBILITY_FIRST
P01_G023_E52_A000,P01_G023,P01,M024,7639.816884597319,8379.74452427877,739.9276396814521,1,E52_MERGE_BACK,False,LAZY_FEASIBILITY_FIRST
P01_G024_E52_A000,P01_G024,P01,M025,3171.532039958184,3566.4968611360646,394.96482117788037,1,E52_EXISTING_SITE,False,LAZY_FEASIBILITY_FIRST
