sortie_id,uav_id,uav_type,battery_id,preparation_start_s,takeoff_s,service_sequence,return_s,energy_kwh,energy_margin_kwh,n_boxes,payload_kg,tag
M001,U02,A,BAT-A-02,0.0,390.0,S013>S012,2395.0848798156608,3.082622000588545,0.5173779994114551,3,20.0,P01
M002,U01,A,BAT-A-01,0.0,390.0,S006>S007,2121.7020521620752,2.2063731892198124,1.3936268107801877,3,20.0,P01
M003,U06,B,BAT-B-04,2215.993195339162,2605.993195339162,S014,4085.7453899581783,2.1403030047614893,1.059696995238511,3,25.0,P01
M004,U06,B,BAT-B-01,145.53836211418036,505.53836211418036,S002,1902.232296036092,2.43260791577573,0.7673920842242703,2,17.0,P01
M005,U07,C,BAT-C-01,0.0,450.0,S006,1495.5595259403467,2.539471952043197,3.8605280479568034,5,56.0,P01
M006,U03,A,BAT-A-03,2301.618195339162,2661.618195339162,S010,3956.4775936607575,1.954809785440372,1.645190214559628,2,17.0,P01
M007,U05,B,BAT-B-03,1336.4545795763545,1696.4545795763545,S013,2784.280267584143,1.7405962997631659,1.4594037002368343,2,22.0,P01
M008,U05,B,BAT-B-02,127.35305673319681,517.3530567331968,S001,1336.4545785763544,1.073960767623688,2.1260392323763124,3,20.0,P01
M009,U08,C,BAT-C-02,4384.1631161626565,4834.1631161626565,S008,6583.875200754831,5.836023632389955,0.5639763676100458,5,45.0,P01
M010,U05,B,BAT-B-02,3166.708694922941,3556.708694922941,S003,5232.033470444918,2.7738160002385204,0.4261839997614798,3,25.0,P01
M011,U06,B,BAT-B-01,4401.901488092357,4761.901488092357,S004,6323.549499265598,2.576489867036754,0.6235101329632462,2,17.0,P01
M012,U05,B,BAT-B-03,5459.473166552988,5849.473166552988,S015,7286.398477461459,2.3068796937944342,0.8931203062055659,3,25.0,P01
M013,U01,A,BAT-A-05,5592.993033450047,5952.993033450047,S009,7281.606908163435,2.254800043434852,1.345199956565148,2,17.0,P01
M014,U06,B,BAT-B-04,6323.549500265598,6683.549500265598,S005,7839.724362237182,1.7714855189654486,1.4285144810345516,2,17.0,P01
M015,U04,A,BAT-A-04,5592.946181771642,5952.946181771642,S011,6812.021102890962,1.1508046748468406,2.4491953251531595,2,17.0,P01
M016,U07,C,BAT-C-03,5511.458809390393,5991.458809390393,S001,7005.629201269358,2.995742764547403,3.4042572354525973,6,78.0,P01
M017,U08,C,BAT-C-04,7039.264939393024,7519.264939393024,S002,9147.076958031732,6.1056142049076145,0.2943857950923858,6,64.0,P01
M018,U07,C,BAT-C-01,7083.501522620161,7533.501522620161,S001,8511.671914499126,2.3095089540351452,4.090491045964855,5,50.0,P01
M019,U08,C,BAT-C-02,9673.023998353945,10123.023998353945,S003,12024.458110220323,5.7573001159396835,0.6426998840603169,5,56.0,P01
M020,U03,A,BAT-A-01,11042.325184527066,11402.325184527066,S007,12754.884546914247,1.964671968666427,1.6353280313335732,2,22.0,P01
M021,U07,C,BAT-C-03,8511.671915499126,8931.671915499126,S004,10680.73298209229,5.518469288797766,0.8815307112022346,4,42.0,P01
M022,U07,C,BAT-C-01,11092.797686105117,11512.797686105117,S005,12837.99284430066,3.7870462440380046,2.6129537559619957,4,42.0,P01
M023,U06,B,BAT-B-01,8163.5111156444855,8493.511115644485,S010,9598.888018090824,1.5155761936939673,1.6844238063060328,1,8.0,P01
M024,U05,B,BAT-B-02,7286.3984784614595,7616.3984784614595,S012,9087.751902432843,2.288992826923215,0.911007173076785,1,8.0,P01
M025,U02,A,BAT-A-06,9500.733197285139,10098.613370349654,S007,11421.172732736835,1.8002714419366384,1.7997285580633617,1,6.0,P01
M026,U06,B,BAT-B-04,9598.888019090824,9928.888019090824,S001,10687.98954093398,0.9509059924494303,2.24909400755057,1,6.0,P01
M027,U05,B,BAT-B-03,9087.751903432843,9417.751903432843,S009,10526.194150827252,1.7424262240623476,1.4575737759376526,1,8.0,P01
M028,U05,B,BAT-B-02,11289.136838058907,11619.136838058907,S011,12354.608490286393,0.8932052893717091,2.3067947106282913,1,8.0,P01
