sortie_id,shift_s
M001,-0.0
M002,-0.0
M003,2215.993195339162
M004,163.25
M005,-0.0
M006,2301.618195339162
M007,-402.5277164597376
M008,-1724.6875
M009,4384.1631161626565
M010,331.0565146478393
M011,1197.3818661626565
M012,639.4184070913375
M013,5836.194569637119
M014,1179.3710082814475
M015,4181.288319637119
M016,4259.100819637119
M017,5049.118653864256
M018,4093.7716048008497
M019,5049.118654864243
M020,9077.30373704472
M021,4093.7716058008496
M022,4229.42873704472
M023,5224.272764413464
M024,886.631419225769
M025,7062.649904864244
M026,-256.0058931648914
M027,174.37951809754043
M028,1827.89748704472
