uav_id,sortie_id,busy_start_s,busy_end_s
U02,M001,0.0,2395.0848798156608
U01,M002,0.0,2121.7020521620752
U06,M003,2215.993195339162,4085.7453899581783
U06,M004,163.25,1919.9439339219116
U07,M005,0.0,1495.5595259403467
U03,M006,2301.618195339162,3956.4775936607575
U05,M007,1354.166217462174,2801.991905469962
U05,M008,145.06469461901634,1354.166216462174
U08,M009,4384.1631161626565,6583.875200754831
U05,M010,3409.9102311100132,5475.23500663199
U06,M011,4401.901488092357,6323.549499265598
U05,M012,5765.586040194279,7592.51135110275
U01,M013,5836.194569637119,7524.808444350507
U06,M014,6323.549500265598,7839.724362237182
U04,M015,5836.147717958715,7055.222639078032
U07,M016,5754.660345577466,7248.83073745643
U07,M017,7248.8307384564305,9356.642757095138
U08,M018,7083.501522620161,8511.671914499126
U07,M019,9356.642758095124,11708.076869961502
U03,M020,10765.917611758108,12478.476974145287
U08,M021,8511.671915499126,10680.73298209229
U08,M022,10816.39011333616,12561.585271531701
U05,M023,11884.626118369197,13320.003020815537
U06,M024,7839.724363237181,9641.077787208565
U02,M025,9184.35195702632,11104.791492478016
U05,M026,7839.724363237181,8928.825885080338
U05,M027,8928.825886080338,10367.268133474747
U06,M028,11012.729265289949,12078.200917517435
