atomic_task_id,parent_gap_id,transport_sortie_id,service_start_s,service_end_s,relay_sortie_id,relay_id,site_id,topology,provider_count,min_access_margin_db,backhaul_margin_db,min_twohop_margin_db
P01_GAMMA04_M001_00,P01_GAMMA04_M001_00,M001,747.71875,2019.4375,Q3E8_G04_005_R001,R01,E52_cdef0b479e00ae29ebd83132,TRANSPORT_RELAY_G01,1,4.7736137987582055,10.01648148125875,4.7736137987582055
P01_GAMMA04_M004_00,P01_GAMMA04_M004_00,M004,747.71875,1683.375,Q3E8_G04_005_R001,R01,E52_cdef0b479e00ae29ebd83132,TRANSPORT_RELAY_G01,1,4.199560662321062,10.01648148125875,4.199560662321062
P01_GAMMA04_M007_00,P01_GAMMA04_M007_00,M007,2017.9097835402624,2480.2535335402627,Q3E8_G04_005_R001,R01,E52_cdef0b479e00ae29ebd83132,TRANSPORT_RELAY_G01,1,4.763710958177967,10.01648148125875,4.763710958177967
P01_GAMMA04_M008_00,P01_GAMMA04_M008_00,M008,747.71875,1131.84375,Q3E8_G04_005_R001,R01,E52_cdef0b479e00ae29ebd83132,TRANSPORT_RELAY_G01,1,4.253855856166254,10.01648148125875,4.253855856166254
P01_GAMMA04_M002_00,P01_GAMMA04_M002_00,M002,674.6875,1026.96875,Q3E8_G04_005_R002,R02,E52_c0294c7ff44d44fc4ede8d97,TRANSPORT_RELAY_G01,1,7.535124944898328,16.7256600789149,7.535124944898328
P01_GAMMA04_M002_01,P01_GAMMA04_M002_01,M002,1039.6875,1047.375,Q3E8_G04_005_R002,R02,E52_c0294c7ff44d44fc4ede8d97,TRANSPORT_RELAY_G01,1,7.931445073748691,16.7256600789149,7.931445073748691
P01_GAMMA04_M002_02,P01_GAMMA04_M002_02,M002,1131.59375,1146.3125,Q3E8_G04_005_R002,R02,E52_c0294c7ff44d44fc4ede8d97,TRANSPORT_RELAY_G01,1,9.981214523186011,16.7256600789149,9.981214523186011
P01_GAMMA04_M002_03,P01_GAMMA04_M002_03,M002,1169.03125,1231.90625,Q3E8_G04_005_R002,R02,E52_c0294c7ff44d44fc4ede8d97,TRANSPORT_RELAY_G01,1,9.79073181674022,16.7256600789149,9.79073181674022
P01_GAMMA04_M002_04,P01_GAMMA04_M002_04,M002,1245.9375,1660.625,Q3E8_G04_005_R002,R02,E52_c0294c7ff44d44fc4ede8d97,TRANSPORT_RELAY_G01,1,9.63131941890856,16.7256600789149,9.63131941890856
P01_GAMMA04_M005_00,P01_GAMMA04_M005_00,M005,709.125,1212.59375,Q3E8_G04_005_R002,R02,E52_c0294c7ff44d44fc4ede8d97,TRANSPORT_RELAY_G01,1,7.535124944898328,16.7256600789149,7.535124944898328
P01_GAMMA04_M003_00,P01_GAMMA04_M003_00,M003,2968.868195339162,3691.930695339162,Q3E8_G04_005_R003,R02,E52_be79b94db4a0a5b6faaed631,TRANSPORT_RELAY_G01,1,13.11389912953588,13.435452033242427,13.11389912953588
P01_GAMMA04_M006_00,P01_GAMMA04_M006_00,M006,2968.868195339162,3628.680695339162,Q3E8_G04_005_R003,R02,E52_be79b94db4a0a5b6faaed631,TRANSPORT_RELAY_G01,1,9.119495464376385,13.435452033242427,9.119495464376385
P01_GAMMA04_M012_00,P01_GAMMA04_M012_00,M012,6477.09143562796,7155.81018562796,Q3E8_G04_005_R006,R01,E52_3875f0f2b8e39572338b498b,TRANSPORT_RELAY_G01,1,7.224642538904277,12.654831201135607,7.224642538904277
P01_GAMMA04_M013_00,P01_GAMMA04_M013_00,M013,6477.09143562796,7273.02893562796,Q3E8_G04_005_R006,R01,E52_3875f0f2b8e39572338b498b,TRANSPORT_RELAY_G01,1,4.569185612572468,12.654831201135607,4.569185612572468
P01_GAMMA04_M014_00,P01_GAMMA04_M014_00,M014,6995.964758281448,7003.496008281448,Q3E8_G04_005_R006,R01,E52_3875f0f2b8e39572338b498b,TRANSPORT_RELAY_G01,1,13.60671768811281,12.654831201135607,12.654831201135607
