relay_id,relay_sortie_id,busy_start_s,return_s,busy_end_s,turnaround_s
R01,Q3E8_G04_007_R001,17.71163788581964,3034.7968430624833,3334.7968430624833,300.0
R02,Q3E8_G04_007_R002,147.97966974075575,2019.5820632507807,2319.5820632507807,300.0
R02,Q3E8_G04_007_R003,2319.5820632507807,4184.852936843234,4484.852936843234,300.0
R01,Q3E8_G04_007_R006,5905.530685114443,7985.9174338057965,8285.917433805796,300.0
R02,Q3E8_G04_007_R005,4484.852936843234,6725.82699268667,7025.82699268667,300.0
R01,Q3E8_G04_007_R004,3649.2533801640748,5605.530685114443,5905.530685114443,300.0
R02,Q3E8_G04_007_R007,7076.632786509234,10784.245709145636,11084.245709145636,300.0
R01,Q3E8_G04_007_R010,12095.999075330861,13613.885701455905,13913.885701455905,300.0
R02,Q3E8_G04_007_R009,11084.245709145636,12409.9646471788,12709.9646471788,300.0
R01,Q3E8_G04_007_R008,9684.22177038049,11795.99907533086,12095.99907533086,300.0
