site_id,x_m,y_m,agl_m,lon,lat,ground_elevation_m,z_amsl_m,backhaul_distance_m,backhaul_los,backhaul_margin_db,backhaul_robust_slack_db
E52_060143e4033ea7dfc142ce26,322200.0,2548200.0,300.0,109.26481942103842,23.032760935250504,217.15675354003906,517.1567535400391,4412.853845517211,True,13.051384290227645,7.051384290227645
E52_06eb0baa948af7ff52881bcf,316481.9618309005,2547633.9079671204,200.0,109.20910437727208,23.027027923434527,306.9635314941406,506.9635314941406,,,,
E52_0c9d91fc306062a18ada9948,316730.03716888884,2548117.7171102925,300.0,109.21146670383342,23.03142360894118,293.9010925292969,593.9010925292969,,,,
E52_0f45fcab7c66cb90fa618929,322560.0,2547960.0,300.0,109.26835917653639,23.03063240026385,323.55096435546875,623.5509643554688,,,,
E52_0fa03b8d9ed736d48919c1b7,322680.0,2548920.0,300.0,109.26941912568455,23.03931330788705,313.3784484863281,613.3784484863281,,,,
E52_12b142f00e8cb4e3948f96c2,322320.0,2548080.0,300.0,109.26600397347364,23.031690263036378,258.2633056640625,558.2633056640625,4443.3014890523145,True,12.991659521749298,6.991659521749298
E52_132fcaf6d631eae41e83e018,323280.0,2545440.0,300.0,109.27567261692535,23.007955264505682,468.40411376953125,768.4041137695312,4636.997797058803,True,12.621037374336296,6.6210373743362965
E52_154bbd26b7808edf72eaa410,322920.0,2544960.0,300.0,109.27221638051846,23.003582907098824,467.18194580078125,767.1819458007812,4320.207346295124,True,13.235683344326844,7.235683344326844
E52_1eac4bbcd37cec5d48241661,316747.00389172294,2547995.083482414,100.0,109.21164683348958,23.03031822247924,299.44464111328125,399.44464111328125,,,,
E52_1ef47ef68c1879e18ddbb164,317400.0,2551920.0,300.0,109.21755050183022,23.06582818938406,200.1396484375,500.1396484375,,,,
E52_214ce9a3b3bd3fa9c582335a,316842.5238594948,2548470.7429414038,250.0,109.21252199890097,23.034623480657846,283.8956298828125,533.8956298828125,,,,
E52_231de36c6439da832299e30f,315960.0,2546640.0,300.0,109.20413153327706,23.017996242842077,390.42071533203125,690.4207153320312,2983.53368020974,True,16.451156269229884,10.451156269229884
E52_246111a1ef063bec9e89ec9e,314908.07320592966,2547808.684039554,250.0,109.19373012042216,23.02843141010398,357.1781005859375,607.1781005859375,,,,
E52_24cc4f01335372459fb4c2ba,319800.0,2549880.0,300.0,109.2412089076858,23.047671283888093,278.08392333984375,578.0839233398438,4485.704981830886,True,12.909161020133865,6.909161020133865
E52_27bf01e9e990859ae5993708,316729.8100456512,2548011.5556927854,250.0,109.21147714002585,23.030465053529916,314.9520568847656,564.9520568847656,,,,
E52_27bf1882d0e1a812c8450c72,316560.0,2547720.0,300.0,109.20985537302369,23.02781386317289,354.8531799316406,654.8531799316406,3075.7485831989284,True,16.18675851321828,10.18675851321828
E52_27fdcb9bc2da20af468e67a1,316842.5238594948,2548230.7429414038,300.0,109.21255058761852,23.032456522546212,295.5179138183594,595.5179138183594,,,,
E52_29c9aa5399273a7ee24bceb6,322560.0,2549040.0,250.0,109.26823452746109,23.040384002292374,296.10809326171875,546.1080932617188,,,,
E52_2cea01313b8862fcfb6b2e63,319030.89440667327,2548507.9894431755,200.0,109.2338665709151,23.03519962117848,173.57440185546875,373.57440185546875,,,,
E52_2d291a2169e36d61d7bf7582,323160.0,2545080.0,300.0,109.27454348063839,23.00469195417046,509.4850158691406,809.4850158691406,4547.476551931345,True,12.790365797832976,6.790365797832976
E52_2d7a36258a59c18fc6a856bf,316800.0,2547720.0,300.0,109.2121965917139,23.027840339008605,337.1051330566406,637.1051330566406,2911.9693965791944,True,16.662039037059316,10.662039037059316
E52_2dadfb43d7dd9558e21effa9,319920.0,2549880.0,300.0,109.2423797080983,23.04768430477115,212.94833374023438,512.9483337402344,4511.256687383366,True,12.85982438864363,6.859824388643631
E52_2e64690809088e2a96fb2160,319320.0,2552160.0,200.0,109.23625742889242,23.068205419403476,253.69436645507812,453.6943664550781,,,,
E52_326bd9096774308657b14836,316857.2226552948,2547741.0715161283,50.0,109.2127522946368,23.02803690118286,334.6907958984375,384.6907958984375,,,,
E52_32cd7932ac3bc8f6e82bd016,322680.0,2547960.0,300.0,109.2695298467007,23.03064521120544,317.9996032714844,617.9996032714844,,,,
E52_3322673a66874be8fb5ff9e0,322440.0,2547960.0,200.0,109.26718850720937,23.03061958066786,308.1216125488281,508.1216125488281,4472.07499478106,True,12.93559360833251,6.9355936083325105
E52_347c51b45a583dd4c5a4aad0,313716.7230942601,2548899.56091612,300.0,109.18197635030256,23.03814763860963,413.7411193847656,713.7411193847656,,,,
E52_357bbbd4dc4420221c875ea3,320280.0,2550120.0,250.0,109.24586403807506,23.049890308560858,210.3240203857422,460.3240203857422,,,,
E52_3a94b6482baa2cfaba8a857d,316680.0,2547720.0,300.0,109.21102598193633,23.02782710541687,344.87591552734375,644.8759155273438,2992.3770787993913,True,16.425448776817632,10.425448776817632
E52_413d3eff5d481ef66f8d3068,319320.0,2552160.0,300.0,109.23625742889242,23.068205419403476,253.69436645507812,553.6943664550781,,,,
E52_437c6a333219b14c3939f26c,316730.03716888884,2547997.7171102925,50.0,109.21148100484464,23.030340130151913,307.063232421875,357.063232421875,,,,
E52_44ed69e1d99dc074a7941a18,318808.72529832093,2547800.6061558253,100.0,109.23178250251802,23.028788376891093,156.7248992919922,256.7248992919922,,,,
E52_47db2d0d55c92154c779a4c9,316481.9618309005,2547513.9079671204,300.0,109.20911869411772,23.025944445446576,292.0377197265625,592.0377197265625,,,,
E52_4cf0fac9feb721651efb2830,318254.2105234053,2548050.8247541543,250.0,109.226343507068,23.030987059637337,173.32435607910156,423.32435607910156,,,,
E52_4d215302190bc5bfb29bf912,320877.9092642227,2547577.485696127,300.0,109.25199403589981,23.02699811853132,262.66839599609375,562.6683959960938,,,,
E52_50c718ca7f326f764494c89d,319247.01344372646,2549912.941957309,100.0,109.2358097356654,23.04790860476329,259.714599609375,359.714599609375,,,,
E52_515a3b7c8d98426ee13f2b4e,318254.2105234053,2548290.8247541543,150.0,109.22631514090541,23.033154034446284,210.1493377685547,360.1493377685547,,,,
E52_60b76d98beea93305f35c25d,319030.89440667327,2548387.9894431755,300.0,109.23388069545723,23.034116129698223,154.4119415283203,454.4119415283203,,,,
E52_67646c2afbeb5602853e5a9c,322440.0,2547960.0,250.0,109.26718850720937,23.03061958066786,308.1216125488281,558.1216125488281,4476.382124014984,True,12.927232110573698,6.927232110573698
E52_68694062ed2e2e792aeb51a9,319743.55190287094,2547889.6991960923,300.0,109.2408915602407,23.029694481684732,193.77735900878906,493.77735900878906,,,,
E52_6aa461eda22a4c53e6730e81,316735.1709025074,2547787.0183970574,100.0,109.21155619300211,23.028438299403984,298.2250061035156,398.2250061035156,,,,
E52_6dc095df8eb6475486134b5c,314908.07320592966,2547928.684039554,300.0,109.19371567885601,23.029514878569657,334.2599182128906,634.2599182128906,,,,
E52_74b3fb0a4920873efc33101b,316481.9618309005,2547513.9079671204,100.0,109.20911869411772,23.025944445446576,292.0377197265625,392.0377197265625,,,,
E52_76b4f0bdabd1ccab126282dd,319030.89440667327,2548267.9894431755,200.0,109.23389481914535,23.03303263806145,177.78985595703125,377.78985595703125,,,,
E52_7e4744117cf2a1b6b8665ab3,323280.0,2545200.0,300.0,109.27570016031378,23.005788225527173,498.3155517578125,798.3155517578125,4653.291570173178,True,12.590569849682154,6.590569849682154
E52_7e5f4a4eaf9aa5b10576997a,319920.0,2549760.0,300.0,109.24239377307751,23.046600810023502,195.86473083496094,495.86473083496094,4394.9883581014665,True,13.086620585622072,7.086620585622072
E52_82c821a5773d0bfbe554f10a,316200.0,2550240.0,300.0,109.20604222313544,23.050527049443676,465.3601379394531,765.3601379394531,,,,
E52_831cee7e7a3a549796e42b18,317040.0,2551560.0,300.0,109.21408058980035,23.06253809257233,265.3587951660156,565.3587951660156,,,,
E52_88c1c7aba1fcf94c58dad20e,319320.0,2552160.0,250.0,109.23625742889242,23.068205419403476,253.69436645507812,503.6943664550781,,,,
E52_8ca7795ffa642a3b129c0a3d,316747.00389172294,2548115.083482414,300.0,109.21163253381907,23.031401701369894,295.2940368652344,595.2940368652344,,,,
E52_8d375985c45fff9288668cb3,315840.0,2546520.0,300.0,109.20297537330809,23.016899479378957,442.3567810058594,742.3567810058594,3063.250867227896,True,16.222123863058812,10.222123863058812
E52_9026ce0d2a5dd9a75ef73c8e,316563.80070550786,2547510.7124856794,50.0,109.20991740805526,23.02592462853298,302.75286865234375,352.75286865234375,,,,
E52_924cec2d58c933358893a332,320160.0,2550120.0,300.0,109.24469321639711,23.049877312301568,215.46815490722656,515.4681549072266,,,,
E52_96da4f081c74d8211b4b244f,319980.1784575099,2550079.8149460675,250.0,109.24294343576138,23.049494985241754,248.78350830078125,498.78350830078125,,,,
E52_a0032802edd73d232f2c84c2,323400.0,2545560.0,300.0,109.27682933228213,23.00905152942113,500.65582275390625,800.6558227539062,4758.8091511706125,True,12.395809404549922,6.395809404549922
E52_a3836b1674b2d70f748125c1,318808.72529832093,2547920.6061558253,300.0,109.23176836484926,23.02987186787014,151.415283203125,451.415283203125,,,,
E52_a77602565c04dca5831f9b7a,320404.3729768618,2548275.723723577,300.0,109.24729304329905,23.033251517476952,151.27012634277344,451.27012634277344,,,,
E52_aaa387ee3ee3170bd804334d,321001.0670078552,2545175.158280074,300.0,109.25347486850443,23.005320267034914,256.18438720703125,556.1843872070312,,,,
E52_afb1e3673ff3adbe9c45b8fc,316563.80070550786,2547390.7124856794,100.0,109.20993171763863,23.02484114991118,280.4361877441406,380.4361877441406,,,,
E52_b4122a9095172602242b40e3,322440.0,2547960.0,300.0,109.26718850720937,23.03061958066786,308.1216125488281,608.1216125488281,4481.24302860889,True,12.917805218005896,6.9178052180058955
E52_b544b4d7beda1d6ed7fbeefb,320355.47416829434,2548088.1087501324,300.0,109.24683792203126,23.03155222473767,194.6310272216797,494.6310272216797,,,,
E52_b60e4d2a4cdcd5801a5d757f,316857.2226552948,2547861.0715161283,300.0,109.21273800538174,23.029120381041245,276.09381103515625,576.0938110351562,,,,
E52_b7c433bb400c5a28313b13f0,320355.47416829434,2548208.1087501324,200.0,109.24682390282342,23.032635724132746,174.59547424316406,374.59547424316406,,,,
E52_be69bdf55826f2eb34075d09,317117.7418444939,2550239.722260685,300.0,109.21499640025256,23.05062590630349,341.3225402832031,641.3225402832031,,,,
E52_be79b94db4a0a5b6faaed631,322800.0,2544840.0,300.0,109.27105974835492,23.00248661284344,471.33331298828125,771.3333129882812,,,,
E52_bfffb2993ede6e2e2bd9340b,319247.01344372646,2549912.941957309,300.0,109.2358097356654,23.04790860476329,259.714599609375,559.714599609375,,,,
E52_c0294c7ff44d44fc4ede8d97,316857.2226552948,2547741.0715161283,300.0,109.2127522946368,23.02803690118286,334.6907958984375,634.6907958984375,,,,
E52_c76d93c5902d0dc017f7065c,320404.3729768618,2548155.723723577,150.0,109.24730705917457,23.032168017893298,190.195068359375,340.195068359375,,,,
E52_c98d1e580ba9a8920eeacbdb,316920.0,2551560.0,300.0,109.21290967891127,23.06252485414183,284.1069641113281,584.1069641113281,,,,
E52_d1d4424e0dfaa7a0ce62d445,321360.0,2549160.0,300.0,109.25651308268802,23.041338860135323,239.3529052734375,539.3529052734375,4504.4870357234695,True,12.872868339328704,6.872868339328704
