site_id,min_access_margin_db,backhaul_margin_db,min_twohop_margin_db,outbound_time_s,return_time_s,horizontal_time_s,flight_energy_kwh,setup_energy_kwh,service_energy_kwh,total_energy_kwh,energy_margin_kwh,return_soc,climb_out_m,climb_back_m,desc_out_m,desc_back_m,cruise_alt_m,horizontal_distance_m,max_dem_on_route_m,setup_time_s,earliest_ready_s,required_transport_shift_s,as_is_timing_feasible,atomic_task_id,parent_gap_id,pareto_id,transport_sortie_id,service_start_s,service_end_s,service_duration_s,robust_slack_db,Gamma_C_db
E52_060143e4033ea7dfc142ce26,13.898163651208463,13.051384290227645,13.051384290227645,390.52156568077555,422.97629514244545,586.3147545915316,0.2219218246513189,0.009166666666666667,0.01554322916666666,0.24663172048465223,2.3133682795153483,0.9229275873485462,389.4567535400391,0.0,0.0,389.4567535400391,517.1567535400391,4397.360659436487,293.1027526855469,30.0,600.5215656807756,0.0,1,P01_GAMMA06_M001_00_A00_R00,P01_GAMMA06_M001_00,P01,M001,747.71875,798.5875,50.86874999999998,7.051384290227645,6.0
E52_0f45fcab7c66cb90fa618929,13.227091463624603,12.721246579688795,12.721246579688795,427.8988653120833,469.21977900837237,607.8722484464322,0.23826781941132907,0.009166666666666667,0.01554322916666666,0.2629777152446624,2.297022284755338,0.917819463986043,495.85096435546876,0.0,0.0,495.85096435546876,623.5509643554688,4559.041863348241,326.6978454589844,30.0,637.8988653120832,0.0,1,P01_GAMMA06_M001_00_A00_R00,P01_GAMMA06_M001_00,P01,M001,747.71875,798.5875,50.86874999999998,6.7212465796887955,6.0
E52_0fa03b8d9ed736d48919c1b7,9.353611852573522,11.555158541579928,9.353611852573522,469.53189880990186,510.00510285042924,696.2245733766397,0.2655870342753843,0.009166666666666667,0.01554322916666666,0.29029693010871765,2.269703069891283,0.9092822093410258,485.67844848632814,0.0,0.0,485.67844848632814,613.3784484863281,5221.684300324798,318.1667785644531,30.0,679.5318988099018,0.0,1,P01_GAMMA06_M001_00_A00_R00,P01_GAMMA06_M001_00,P01,M001,747.71875,798.5875,50.86874999999998,3.353611852573522,6.0
E52_12b142f00e8cb4e3948f96c2,13.971008089357582,12.991659521749298,12.991659521749298,402.5936730780369,438.4739485500421,589.9056933240425,0.22672373828986628,0.009166666666666667,0.01554322916666666,0.2514336341231996,2.3085663658768008,0.9214269893365001,430.5633056640625,0.0,0.0,430.5633056640625,558.2633056640625,4424.292699930319,284.7546081542969,30.0,612.5936730780369,0.0,1,P01_GAMMA06_M001_00_A00_R00,P01_GAMMA06_M001_00,P01,M001,747.71875,798.5875,50.86874999999998,6.991659521749298,6.0
E52_132fcaf6d631eae41e83e018,7.829492210896035,12.621037374336296,7.829492210896035,466.52713400648173,519.919143487276,612.7022111281979,0.2526897045720101,0.009166666666666667,0.01554322916666666,0.27739960040534345,2.282600399594657,0.9133126248733302,640.7041137695312,0.0,0.0,640.7041137695312,768.4041137695312,4595.266583461484,468.40411376953125,30.0,676.5271340064817,0.0,1,P01_GAMMA06_M001_00_A00_R00,P01_GAMMA06_M001_00,P01,M001,747.71875,798.5875,50.86874999999998,1.829492210896035,6.0
E52_154bbd26b7808edf72eaa410,7.251222603135844,13.235683344326844,7.251222603135844,444.90797820490957,498.19814035497467,570.0749835094285,0.23896400983981742,0.009166666666666667,0.01554322916666666,0.26367390567315074,2.29632609432685,0.9176019044771404,639.4819458007812,0.0,0.0,639.4819458007812,767.1819458007812,4275.562376320714,467.18194580078125,30.0,654.9079782049096,0.0,1,P01_GAMMA06_M001_00_A00_R00,P01_GAMMA06_M001_00,P01,M001,747.71875,798.5875,50.86874999999998,1.2512226031358438,6.0
E52_29c9aa5399273a7ee24bceb6,9.232662269275352,11.583777919859742,9.232662269275352,451.9321692173844,486.7995103225277,694.6602918039094,0.2591062855773863,0.009166666666666667,0.01554322916666666,0.2838161814107196,2.276183818589281,0.9113074433091501,418.40809326171876,0.0,0.0,418.40809326171876,546.1080932617188,5209.952188529321,322.9142761230469,30.0,661.9321692173844,0.0,1,P01_GAMMA06_M001_00_A00_R00,P01_GAMMA06_M001_00,P01,M001,747.71875,798.5875,50.86874999999998,3.2326622692753517,6.0
E52_2cea01313b8862fcfb6b2e63,6.045422580478927,16.460055432828085,6.045422580478927,259.5957489704318,280.08528245838755,396.2542970131293,0.148442074342722,0.009166666666666667,0.01554322916666666,0.17315197017605533,2.386848029823945,0.9458900093199827,245.87440185546876,0.0,0.0,245.87440185546876,373.57440185546875,2971.90722759847,231.8917236328125,30.0,469.5957489704318,0.0,1,P01_GAMMA06_M001_00_A00_R00,P01_GAMMA06_M001_00,P01,M001,747.71875,798.5875,50.86874999999998,0.04542258047892744,6.0
E52_2d291a2169e36d61d7bf7582,7.21076378930465,12.790365797832976,7.21076378930465,470.3839036593983,527.1993216484933,599.8752993842263,0.25224474652706685,0.009166666666666667,0.01554322916666666,0.2769546423604002,2.2830453576396,0.913451674262375,681.7850158691406,0.0,0.0,681.7850158691406,809.4850158691406,4499.064745381697,509.4850158691406,30.0,680.3839036593984,0.0,1,P01_GAMMA06_M001_00_A00_R00,P01_GAMMA06_M001_00,P01,M001,747.71875,798.5875,50.86874999999998,1.2107637893046501,6.0
E52_32cd7932ac3bc8f6e82bd016,12.629158069001164,12.531399030736651,12.531399030736651,433.33722088021847,474.19552115284216,621.5246401246948,0.24213542524196421,0.009166666666666667,0.01554322916666666,0.26684532107529757,2.293154678924703,0.9166108371639695,490.2996032714844,0.0,0.0,490.2996032714844,617.9996032714844,4661.434800935211,324.9372863769531,30.0,643.3372208802184,0.0,1,P01_GAMMA06_M001_00_A00_R00,P01_GAMMA06_M001_00,P01,M001,747.71875,798.5875,50.86874999999998,6.531399030736651,6.0
