atomic_task_id,parent_gap_id,pareto_id,transport_sortie_id,service_start_s,service_end_s,service_duration_s,Gamma_C_db,source,construction_guard_s
P01_GAMMA06_M001_00_A00_R00,P01_GAMMA06_M001_00,P01,M001,747.71875,798.5875,50.86874999999998,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M001_00_A00_R01,P01_GAMMA06_M001_00,P01,M001,798.5875,849.45625,50.86874999999998,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M001_00_A00_R02,P01_GAMMA06_M001_00,P01,M001,849.45625,900.325,50.86875000000009,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M001_00_A00_R03,P01_GAMMA06_M001_00,P01,M001,900.325,951.19375,50.86874999999998,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M001_00_A00_R04,P01_GAMMA06_M001_00,P01,M001,951.19375,1002.0625,50.86874999999998,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M001_00_A01_R00,P01_GAMMA06_M001_00,P01,M001,1002.0625,1052.93125,50.86875000000009,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M001_00_A01_R01,P01_GAMMA06_M001_00,P01,M001,1052.93125,1103.8,50.868749999999864,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M001_00_A01_R02,P01_GAMMA06_M001_00,P01,M001,1103.8,1154.66875,50.86875000000009,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M001_00_A01_R03,P01_GAMMA06_M001_00,P01,M001,1154.66875,1205.5375,50.868749999999864,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M001_00_A01_R04,P01_GAMMA06_M001_00,P01,M001,1205.5375,1256.40625,50.86875000000009,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M001_00_A02_R00,P01_GAMMA06_M001_00,P01,M001,1256.40625,1307.275,50.86875000000009,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M001_00_A02_R01,P01_GAMMA06_M001_00,P01,M001,1307.275,1358.14375,50.868749999999864,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M001_00_A02_R02,P01_GAMMA06_M001_00,P01,M001,1358.14375,1409.0125,50.86875000000009,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M001_00_A02_R03,P01_GAMMA06_M001_00,P01,M001,1409.0125,1459.88125,50.868749999999864,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M001_00_A02_R04,P01_GAMMA06_M001_00,P01,M001,1459.88125,1510.75,50.86875000000009,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M001_00_A03_R00,P01_GAMMA06_M001_00,P01,M001,1510.75,1561.61875,50.86875000000009,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M001_00_A03_R01,P01_GAMMA06_M001_00,P01,M001,1561.61875,1612.4875,50.868749999999864,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M001_00_A03_R02,P01_GAMMA06_M001_00,P01,M001,1612.4875,1663.35625,50.86875000000009,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M001_00_A03_R03,P01_GAMMA06_M001_00,P01,M001,1663.35625,1714.225,50.868749999999864,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M001_00_A03_R04,P01_GAMMA06_M001_00,P01,M001,1714.225,1765.09375,50.86875000000009,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M001_00_A04_R00,P01_GAMMA06_M001_00,P01,M001,1765.09375,1815.9625,50.86875000000009,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M001_00_A04_R01,P01_GAMMA06_M001_00,P01,M001,1815.9625,1866.83125,50.868749999999864,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M001_00_A04_R02,P01_GAMMA06_M001_00,P01,M001,1866.83125,1917.7,50.86875000000009,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
