partition_id,k,labels,groups,total_resource_units,total_shortage_units,inventory_feasible,workload_cv,required_TUAV_A,required_TUAV_B,required_TUAV_C,required_TBAT_A,required_TBAT_B,required_TBAT_C,required_RUAV,required_REC,shortage_TUAV_A,shortage_TUAV_B,shortage_TUAV_C,shortage_TBAT_A,shortage_TBAT_B,shortage_TBAT_C,shortage_RUAV,shortage_REC,redundancy_TUAV_A,redundancy_TUAV_B,redundancy_TUAV_C,redundancy_TBAT_A,redundancy_TBAT_B,redundancy_TBAT_C,redundancy_RUAV,redundancy_REC
Q4_K3_001,3,"[0, 0, 0, 1, 2]","[[""S001"", ""S002"", ""S003"", ""S004"", ""S005"", ""S006"", ""S007"", ""S008"", ""S010"", ""S012"", ""S013"", ""S014""], [""S009"", ""S015""], [""S011""]]",34,6,False,1.108677580261174,5,4,2,6,6,3,3,5,1,2,0,0,2,0,1,0,1,2,0,2,2,0,1,1
Q4_K3_003,3,"[0, 0, 1, 1, 2]","[[""S001"", ""S002"", ""S003"", ""S005"", ""S006"", ""S007"", ""S008""], [""S004"", ""S009"", ""S010"", ""S012"", ""S013"", ""S014"", ""S015""], [""S011""]]",35,7,False,0.6405597696355781,5,4,3,6,6,4,3,4,1,2,1,0,2,0,1,0,1,2,1,2,2,1,1,0
Q4_K3_004,3,"[0, 0, 1, 2, 0]","[[""S001"", ""S002"", ""S003"", ""S005"", ""S006"", ""S007"", ""S008"", ""S011""], [""S004"", ""S010"", ""S012"", ""S013"", ""S014""], [""S009"", ""S015""]]",37,8,False,0.5177982636335741,5,5,3,6,5,4,4,5,1,3,1,0,1,0,2,0,1,3,1,2,1,1,2,1
Q4_K3_005,3,"[0, 0, 1, 2, 1]","[[""S001"", ""S002"", ""S003"", ""S005"", ""S006"", ""S007"", ""S008""], [""S004"", ""S010"", ""S011"", ""S012"", ""S013"", ""S014""], [""S009"", ""S015""]]",39,10,False,0.4883792467601019,6,4,3,7,6,4,4,5,2,2,1,1,2,0,2,0,2,2,1,3,2,1,2,1
Q4_K3_006,3,"[0, 0, 1, 2, 2]","[[""S001"", ""S002"", ""S003"", ""S005"", ""S006"", ""S007"", ""S008""], [""S004"", ""S010"", ""S012"", ""S013"", ""S014""], [""S009"", ""S011"", ""S015""]]",38,9,False,0.43910506993953513,5,5,3,6,6,4,4,5,1,3,1,0,2,0,2,0,1,3,1,2,2,1,2,1
Q4_K3_009,3,"[0, 1, 0, 2, 0]","[[""S001"", ""S004"", ""S010"", ""S011"", ""S012"", ""S013"", ""S014""], [""S002"", ""S003"", ""S005"", ""S006"", ""S007"", ""S008""], [""S009"", ""S015""]]",41,12,False,0.4665068815933209,6,4,3,7,7,5,4,5,2,2,1,1,3,1,2,0,2,2,1,3,3,2,2,1
Q4_K3_010,3,"[0, 1, 0, 2, 1]","[[""S001"", ""S004"", ""S010"", ""S012"", ""S013"", ""S014""], [""S002"", ""S003"", ""S005"", ""S006"", ""S007"", ""S008"", ""S011""], [""S009"", ""S015""]]",38,9,False,0.467722119015828,5,4,3,6,6,5,4,5,1,2,1,0,2,1,2,0,1,2,1,2,2,2,2,1
Q4_K3_011,3,"[0, 1, 0, 2, 2]","[[""S001"", ""S004"", ""S010"", ""S012"", ""S013"", ""S014""], [""S002"", ""S003"", ""S005"", ""S006"", ""S007"", ""S008""], [""S009"", ""S011"", ""S015""]]",40,11,False,0.3971082003660212,5,5,3,6,7,5,4,5,1,3,1,0,3,1,2,0,1,3,1,2,3,2,2,1
Q4_K3_013,3,"[0, 1, 1, 1, 2]","[[""S001""], [""S002"", ""S003"", ""S004"", ""S005"", ""S006"", ""S007"", ""S008"", ""S009"", ""S010"", ""S012"", ""S013"", ""S014"", ""S015""], [""S011""]]",33,6,False,1.1907648025644773,4,4,3,5,6,5,2,4,0,2,1,0,2,1,0,0,0,2,1,1,2,2,0,0
Q4_K3_015,3,"[0, 1, 1, 2, 1]","[[""S001""], [""S002"", ""S003"", ""S004"", ""S005"", ""S006"", ""S007"", ""S008"", ""S010"", ""S011"", ""S012"", ""S013"", ""S014""], [""S009"", ""S015""]]",35,7,False,1.0175129519065311,5,4,3,5,5,5,3,5,1,2,1,0,1,1,1,0,1,2,1,1,1,2,1,1
Q4_K3_016,3,"[0, 1, 1, 2, 2]","[[""S001""], [""S002"", ""S003"", ""S004"", ""S005"", ""S006"", ""S007"", ""S008"", ""S010"", ""S012"", ""S013"", ""S014""], [""S009"", ""S011"", ""S015""]]",36,8,False,0.9521213881204638,4,5,3,5,6,5,3,5,0,3,1,0,2,1,1,0,0,3,1,1,2,2,1,1
Q4_K3_017,3,"[0, 1, 2, 0, 0]","[[""S001"", ""S009"", ""S011"", ""S015""], [""S002"", ""S003"", ""S005"", ""S006"", ""S007"", ""S008""], [""S004"", ""S010"", ""S012"", ""S013"", ""S014""]]",42,13,False,0.25979549597357543,5,5,4,6,7,6,4,5,1,3,2,0,3,2,2,0,1,3,2,2,3,3,2,1
Q4_K3_018,3,"[0, 1, 2, 0, 1]","[[""S001"", ""S009"", ""S015""], [""S002"", ""S003"", ""S005"", ""S006"", ""S007"", ""S008"", ""S011""], [""S004"", ""S010"", ""S012"", ""S013"", ""S014""]]",40,11,False,0.33812724822209805,5,4,4,6,6,6,4,5,1,2,2,0,2,2,2,0,1,2,2,2,2,3,2,1
Q4_K3_019,3,"[0, 1, 2, 0, 2]","[[""S001"", ""S009"", ""S015""], [""S002"", ""S003"", ""S005"", ""S006"", ""S007"", ""S008""], [""S004"", ""S010"", ""S011"", ""S012"", ""S013"", ""S014""]]",43,14,False,0.31458226967026076,6,4,4,7,7,6,4,5,2,2,2,1,3,2,2,0,2,2,2,3,3,3,2,1
Q4_K3_023,3,"[0, 1, 2, 2, 0]","[[""S001"", ""S011""], [""S002"", ""S003"", ""S005"", ""S006"", ""S007"", ""S008""], [""S004"", ""S009"", ""S010"", ""S012"", ""S013"", ""S014"", ""S015""]]",40,12,False,0.484418473850551,5,5,4,6,7,6,3,4,1,3,2,0,3,2,1,0,1,3,2,2,3,3,1,0
Q4_K3_024,3,"[0, 1, 2, 2, 1]","[[""S001""], [""S002"", ""S003"", ""S005"", ""S006"", ""S007"", ""S008"", ""S011""], [""S004"", ""S009"", ""S010"", ""S012"", ""S013"", ""S014"", ""S015""]]",36,9,False,0.5509310116637257,4,4,4,5,6,6,3,4,0,2,2,0,2,2,1,0,0,2,2,1,2,3,1,0
