experiment,status,limit_s,actual_solver_or_search_wall_s,domain_dual_bound,domain_mip_gap,scope
A01,1,60.0,66.293179323,,,RESTRICTED_PATTERN_GRID
A02,1,60.0,62.324530941999996,,,RESTRICTED_PATTERN_GRID
A03,0,60.0,35.753646133000004,60.047644724851246,0.0,RESTRICTED_PATTERN_GRID
A11,0,60.0,11.403954216999978,66.75098548360545,0.009476745847189954,RESTRICTED_PATTERN_GRID
A12,0,60.0,4.543251105999985,65.88843846560471,0.004581459286775234,RESTRICTED_PATTERN_GRID
AS01,0,60.0,51.486076653,58.674848055958385,0.0,RESTRICTED_PATTERN_GRID
B01,0,60.0,51.79215215199997,,,RESTRICTED_PATTERN_GRID
B02,0,60.0,46.64065790800004,,,RESTRICTED_PATTERN_GRID
C01,2,20.0,9.00528329499997,,,RESTRICTED_PATTERN_GRID
C02,1,20.0,20.707616882000025,,,RESTRICTED_PATTERN_GRID
C03,1,20.0,22.39263052499996,,,RESTRICTED_PATTERN_GRID
C04,1,20.0,20.590570344000014,,,RESTRICTED_PATTERN_GRID
C05,1,20.0,20.38034682,,,RESTRICTED_PATTERN_GRID
CS01,1,20.0,23.179862756999995,,,RESTRICTED_PATTERN_GRID
CS02,1,20.0,30.066054492,,,RESTRICTED_PATTERN_GRID
LNS,HEURISTIC,60.0,103.33630233299999,,,SEE_RAW_LOG
