from_id,to_id,independent_max_dem_m
O01,S001,223.05661010742188
O01,S002,258.9542541503906
O01,S003,511.80413818359375
O01,S004,348.2391662597656
O01,S005,276.410888671875
O01,S006,316.09783935546875
O01,S007,461.9731750488281
O01,S008,322.9093322753906
O01,S009,243.22891235351562
O01,S010,385.63653564453125
O01,S011,245.36175537109375
O01,S012,363.3009948730469
O01,S013,349.18182373046875
O01,S014,541.9473876953125
O01,S015,521.7992553710938
S001,O01,223.05661010742188
S001,S002,259.2448425292969
S001,S003,505.94439697265625
S001,S004,358.7777404785156
S001,S005,266.13800048828125
S001,S006,343.9356384277344
S001,S007,389.17535400390625
S001,S008,316.78717041015625
S001,S009,243.22891235351562
S001,S010,381.0796813964844
S001,S011,226.38790893554688
S001,S012,385.599609375
S001,S013,328.3608093261719
S001,S014,550.0504150390625
S001,S015,547.315185546875
S002,O01,258.9542541503906
S002,S001,259.2448425292969
S002,S003,571.1314086914062
S002,S004,283.658203125
S002,S005,356.79864501953125
S002,S006,344.2987060546875
S002,S007,424.7281799316406
S002,S008,331.8424987792969
S002,S009,278.2866516113281
S002,S010,441.85394287109375
S002,S011,311.78533935546875
S002,S012,358.1782531738281
S002,S013,327.2103271484375
S002,S014,457.5832214355469
S002,S015,593.7526245117188
S003,O01,511.80413818359375
S003,S001,505.94439697265625
S003,S002,571.1314086914062
S003,S004,674.2682495117188
S003,S005,533.8880615234375
S003,S006,612.3626708984375
S003,S007,360.6993408203125
S003,S008,746.0787353515625
S003,S009,544.588134765625
S003,S010,466.96417236328125
S003,S011,485.42230224609375
S003,S012,544.5889282226562
S003,S013,505.94439697265625
S003,S014,542.7295532226562
S003,S015,437.89886474609375
S004,O01,348.2391662597656
S004,S001,358.7777404785156
S004,S002,283.658203125
S004,S003,674.2682495117188
S004,S005,315.80657958984375
S004,S006,375.2806396484375
S004,S007,543.2369995117188
S004,S008,336.83349609375
S004,S009,275.2157897949219
S004,S010,432.957275390625
S004,S011,311.138916015625
S004,S012,312.0069580078125
S004,S013,322.2989807128906
S004,S014,505.3861083984375
S004,S015,641.2510375976562
S005,O01,276.410888671875
S005,S001,266.13800048828125
