service_id,uav_type,box_ids,n_boxes,mass_kg,volume_m3,energy_kwh,time_s,rho
S001,C,"['S001-WAT-01', 'S001-WAT-02', 'S001-WAT-03', 'S001-WAT-04', 'S001-WAT-05', 'S001-FOD-01']",6,78.0,0.163,2.995742764547403,1494.170391878965,0.2
S001,C,"['S001-MED-01', 'S001-MED-02', 'S001-WAT-06', 'S001-WAT-07', 'S001-WAT-08', 'S001-FOD-02', 'S001-FOD-03', 'S001-HYG-01', 'S001-HYG-02']",9,76.0,0.231,2.917555936277246,1692.170391878965,0.2
S002,C,"['S002-WAT-01', 'S002-WAT-02', 'S002-WAT-03', 'S002-FOD-01', 'S002-HYG-01']",5,56.0,0.14400000000000002,5.721185016831143,2041.8120186387082,0.2
S002,B,"['S002-MED-01', 'S002-WAT-04', 'S002-FOD-02']",3,25.0,0.067,2.7133927146782657,1816.6939339219116,0.2
S003,C,"['S003-WAT-01', 'S003-WAT-02', 'S003-WAT-03', 'S003-FOD-01', 'S003-HYG-01']",5,56.0,0.14400000000000002,5.7649867062581315,2370.11114433708,0.2
S003,B,"['S003-MED-01', 'S003-WAT-04', 'S003-FOD-02']",3,25.0,0.067,2.7799008904293254,2080.5430982758826,0.2
S004,C,"['S004-MED-01', 'S004-WAT-01', 'S004-WAT-02', 'S004-WAT-03', 'S004-FOD-01', 'S004-HYG-01']",6,59.0,0.156,6.152897007997176,2301.061066593163,0.2
S005,C,"['S005-MED-01', 'S005-WAT-01', 'S005-WAT-02', 'S005-WAT-03', 'S005-FOD-01', 'S005-HYG-01']",6,59.0,0.156,4.2221748035098585,1877.1951581955423,0.2
S006,C,"['S006-MED-01', 'S006-WAT-01', 'S006-WAT-02', 'S006-WAT-03', 'S006-FOD-01', 'S006-HYG-01']",6,59.0,0.156,2.5979763856932365,1561.5595259403467,0.2
S007,C,"['S007-MED-01', 'S007-WAT-01', 'S007-WAT-02', 'S007-FOD-01', 'S007-HYG-01']",5,45.0,0.129,3.4108701395927064,1907.5754478361764,0.2
S008,C,"['S008-MED-01', 'S008-WAT-01', 'S008-WAT-02', 'S008-FOD-01', 'S008-HYG-01']",5,45.0,0.129,5.836023632389955,2199.7120845921745,0.2
S009,B,"['S009-MED-01', 'S009-WAT-01', 'S009-FOD-01']",3,25.0,0.067,2.096210537071622,1558.4422473944087,0.2
S010,B,"['S010-MED-01', 'S010-WAT-01', 'S010-FOD-01']",3,25.0,0.067,1.8231457316476736,1555.376902446339,0.2
S011,B,"['S011-MED-01', 'S011-WAT-01', 'S011-FOD-01']",3,25.0,0.067,1.0739337252089312,1188.4236501116006,0.2
S012,B,"['S012-MED-01', 'S012-WAT-01', 'S012-FOD-01']",3,25.0,0.067,2.75235444190214,1922.734555970083,0.2
S013,B,"['S013-MED-01', 'S013-WAT-01', 'S013-FOD-01']",3,25.0,0.067,1.8247182633032644,1510.4702802929446,0.2
S014,B,"['S014-MED-01', 'S014-WAT-01', 'S014-FOD-01']",3,25.0,0.067,2.1403030047614893,1869.7521946190163,0.2
S015,B,"['S015-MED-01', 'S015-WAT-01', 'S015-FOD-01']",3,25.0,0.067,2.3074247845590743,1828.2885840204501,0.2
