uav_id,sortie_id,busy_start_s,busy_end_s
U07,M001,0.0,1560.170391878965
U07,M002,1560.1704018789649,3186.3407937579295
U01,M003,1594.8594083215955,3598.596932535508
U08,M004,0.0,2107.812018638708
U02,M005,3394.870665347277,5657.524687524812
U08,M006,2107.8120286387084,4543.9231729757885
U08,M007,4543.923182975788,6844.984249568952
U07,M008,4464.585048993228,6341.780207188771
U04,M009,0.0,1313.485266596983
U06,M010,1869.7522046190163,3077.029117440873
U03,M011,2395.3603123465505,3708.8455789435334
U02,M012,1727.4353326736384,3394.8706553472766
U03,M013,0.0,1727.4353226736384
U02,M014,0.0,1727.4353226736384
U06,M015,4905.317721461323,6807.160028628367
U05,M016,3433.2048562630275,5395.047163430072
U05,M017,5395.047173430072,6953.4894208244805
U01,M018,0.0,1594.8593983215956
U04,M019,2289.9060594526977,3944.7654577742933
U07,M020,3186.3408037579297,4464.585038993228
U05,M021,1510.4702902929446,3433.2048462630273
U05,M022,0.0,1510.4702802929446
U06,M023,0.0,1869.7521946190163
U06,M024,3077.0291274408733,4905.317711461324
