uav_id,sortie_id,busy_start_s,busy_end_s
U07,M001,6556.232769258866,8116.4031611378305
U08,M002,0.0,1626.170391878965
U06,M003,5350.929027983508,7107.622961905419
U08,M004,1626.1704018789649,3733.982420517673
U07,M005,4255.171692665703,6556.232759258866
U08,M006,6361.594587243029,8238.789745438571
U07,M007,0.0,1561.5595259403467
U05,M008,8044.401774038379,9946.244081205423
U05,M009,4894.135796759734,6855.978103926778
U06,M010,3792.4867705890993,5350.929017983508
U05,M011,0.0,1555.376902446339
U05,M012,6855.978113926778,8044.401764038379
U06,M013,0.0,1922.734555970083
U05,M014,1555.376912446339,3065.847192739284
U06,M015,1922.734565970083,3792.4867605890995
U05,M016,3065.8472027392836,4894.1357867597335
U07,M017,1561.5595359403467,4255.171682665703
U08,M018,3733.9824305176735,6361.59457724303
