uav_id,sortie_id,busy_start_s,busy_end_s
U01,M001,0.0,1250.9011452645589
U02,M002,0.0,1250.9011452645589
U03,M003,0.0,1250.9011452645589
U05,M004,1510.470290292942,3065.847192739281
U06,M005,0.0,1922.734555970083
U07,M006,0.0,1560.170391878965
U08,M007,0.0,2107.812018638708
U05,M008,0.0,1510.4702802929446
U07,M009,1560.170401878946,4171.456154392335
U06,M010,1922.7345659700804,3792.486760589097
U08,M011,2390.575237029827,3952.1347629701736
U06,M012,3792.4867705890792,5694.329077756123
U08,M013,6472.517240985486,8349.712399181028
U05,M014,5971.755117528725,7932.298215804608
U07,M015,5488.4844278314595,7990.59557216854
U05,M016,4215.061173606812,5971.755107528724
U08,M017,4171.4561643923225,6472.517230985486
U06,M018,5694.329087756112,7656.171394923156
U05,M019,8026.190002205949,9214.61365231755
U06,M020,7656.171404923141,9214.61365231755
U05,M021,3065.8472027392563,4214.948724582414
