uav_id,sortie_id,busy_start_s,busy_end_s
U01,M001,0.0,2109.0828301758197
U07,M002,0.0,1969.2846571841203
U05,M003,0.0,2032.4328321479334
U02,M004,0.0,1727.4353226736384
U03,M005,0.0,1654.8593983215956
U04,M006,0.0,1612.1111816650089
U06,M007,0.0,1209.1015218431576
U06,M008,1209.1015218431576,2416.3784346650145
U04,M009,1612.1111816650089,3874.765203842544
U05,M010,2032.4328321479334,4311.960663329772
U06,M011,2416.3784346650145,4318.220741832059
U05,M012,4311.960663329772,6080.249247350222
U03,M013,1654.8593983215956,3347.055649939721
U01,M014,2109.0828301758197,4006.3441599388543
U02,M015,1727.4353226736384,3581.6091442300253
U08,M016,0.0,1428.170391878965
U08,M017,1428.170391878965,3403.982410517673
U07,M018,1969.2846571841203,3398.844183124467
U07,M019,3398.844183124467,4695.014575003432
U08,M020,3403.982410517673,5840.093554854753
U07,M021,4695.014575003432,6470.590022839608
U08,M022,5840.093554854753,8009.154621447917
U03,M023,3347.055649939721,4537.95679520428
U07,M024,6470.590022839608,8538.302107431782
U08,M025,8009.154621447917,9754.349779643459
U06,M026,4318.220741832059,5753.597644278398
U06,M027,5753.597644278398,7613.617328628588
U05,M028,6080.249247350222,7470.719527643167
U02,M029,3581.6091442300253,5512.013678682181
U01,M030,4006.3441599388543,5275.310356205579
U04,M031,3874.765203842544,5320.778261037752
U03,M032,4537.95679520428,6771.468363367279
U05,M033,7470.719527643167,8909.161775037575
U06,M034,7613.617328628588,8682.04097874019
U07,M035,8538.302107431782,10372.82377657593
