sortie_id,shift_s
M001,1692.1703928789648
M002,-2107.8120286387084
M003,68.25
M004,2.03125
M005,1333.9045049207652
M006,1408.8983854550634
M007,1236.4600506420957
M008,1050.3919488441097
M009,2854.4924494418124
M010,663.8411008958101
M011,269.13372102162475
M012,-0.0
M013,2071.9875252139127
M014,1813.7222206580152
M015,-0.0
M016,-0.0
M017,1563.8027577160792
M018,-220.12467092417955
M019,739.3678053387936
M020,707.7553614154494
M021,6513.379013365572
M022,857.0574651905749
M023,74.375
M024,677.2390977194868
M025,1179.7126412584794
