sortie_id,uav_id,uav_type,battery_id,preparation_start_s,takeoff_s,service_sequence,return_s,energy_kwh,energy_margin_kwh,n_boxes,payload_kg,tag
M001,U08,C,BAT-C-04,2107.812019638708,2587.812019638708,S001,3601.982411517673,2.917555936277246,3.4824440637227543,6,76.0,A11
M002,U07,C,BAT-C-02,0.0,570.0,S001,1692.170391878965,2.995742764547403,3.4042572354525973,9,78.0,A11
M003,U04,A,BAT-A-04,66.21875,426.21875,S002,2069.9562742139124,3.0186602033241243,0.5813397966758758,2,22.0,A11
M004,U08,C,BAT-C-01,0.0,480.0,S002,2107.812018638708,5.8530312852658195,0.5469687147341808,6,59.0,A11
M005,U02,A,BAT-A-03,3699.385083119857,4059.385083119857,S003,5962.039105297393,3.083579679483661,0.5164203205163389,2,22.0,A11
M006,U07,C,BAT-C-03,2029.6628398216737,2509.6628398216735,S003,4465.773984158754,5.897111425303905,0.5028885746960956,6,59.0,A11
M007,U08,C,BAT-C-02,4409.39543819461,4889.39543819461,S004,6710.456504787773,6.152897007997176,0.2471029920028247,6,59.0,A11
M008,U01,A,BAT-A-06,3769.822583119857,4129.822583119857,S005,5462.018834737983,2.192966633451616,1.4070333665483843,2,22.0,A11
M009,U06,B,BAT-B-03,5381.639831514265,5741.639831514265,S005,6897.814693485849,1.8345062099378917,1.3654937900621085,2,20.0,A11
M010,U03,A,BAT-A-04,3769.822583119857,4129.822583119857,S005,5462.018834737983,2.1213050740389403,1.4786949259610598,2,17.0,A11
M011,U02,A,BAT-A-06,1727.4353236736383,2087.4353236736383,S006,3040.9205902706212,1.3570321467642898,2.2429678532357102,2,22.0,A11
M012,U05,B,BAT-B-01,0.0,360.0,S006,1207.276912821857,1.1381343643981743,2.061865635601826,2,20.0,A11
M013,U01,A,BAT-A-01,0.0,360.0,S006,1313.485266596983,1.3115511002735658,2.2884488997264345,2,17.0,A11
M014,U04,A,BAT-A-02,2802.694089821674,3132.694089821674,S007,4470.129412495313,1.8725171200874788,1.7274828799125213,1,14.0,A11
M015,U02,A,BAT-A-03,0.0,360.0,S007,1727.4353226736384,1.9708885880958245,1.6291114119041756,2,22.0,A11
M016,U03,A,BAT-A-02,0.0,360.0,S007,1727.4353226736384,1.8274326219446961,1.772567378055304,2,9.0,A11
M017,U07,C,BAT-C-01,4760.921081514265,5210.921081514265,S008,6960.63316610644,5.836023632389955,0.5639763676100458,5,45.0,A11
M018,U06,B,BAT-B-02,3823.197583119857,4213.197583119857,S009,5381.639830514266,2.096210537071622,1.1037894629283782,3,25.0,A11
M019,U03,A,BAT-A-01,1863.8140280202308,2193.8140280202306,S010,3458.6734263418266,1.92131533083843,1.67868466916157,1,14.0,A11
M020,U01,A,BAT-A-05,1418.3765280202308,1778.3765280202308,S010,3073.2359263418266,1.892423901801982,1.7075760981980181,2,11.0,A11
M021,U05,B,BAT-B-01,3384.204834990314,3774.204834990314,S011,4572.6284851019145,1.0739337252089312,2.126066274791069,3,25.0,A11
M022,U05,B,BAT-B-03,1461.4702780202306,1851.4702780202306,S012,3384.204833990314,2.75235444190214,0.44764555809786,3,25.0,A11
M023,U06,B,BAT-B-02,74.375,464.375,S013,1584.8452802929446,1.8247182633032644,1.3752817366967358,3,25.0,A11
M024,U06,B,BAT-B-04,1584.8452812929445,1974.8452812929445,S014,3454.5974759119613,2.1403030047614893,1.059696995238511,3,25.0,A11
M025,U05,B,BAT-B-04,5161.202331514265,5551.202331514265,S015,6989.490915534715,2.3074247845590743,0.8925752154409259,3,25.0,A11
