sortie_id,uav_id,uav_type,battery_id,preparation_start_s,takeoff_s,service_sequence,return_s,energy_kwh,energy_margin_kwh,n_boxes,payload_kg,tag
M001,U07,C,BAT-C-01,0.0,480.0,S001,1494.170391878965,2.917555936277246,3.4824440637227543,6,76.0,A11
M002,U08,C,BAT-C-02,0.0,570.0,S001,1692.170391878965,2.995742764547403,3.4042572354525973,9,78.0,A11
M003,U02,A,BAT-A-06,2109.094050134566,2469.094050134566,S002,4112.831574348478,3.0186602033241243,0.5813397966758758,2,22.0,A11
M004,U08,C,BAT-C-04,2042.8753001345658,2522.875300134566,S002,4150.6873187732745,5.8530312852658195,0.5469687147341808,6,59.0,A11
M005,U01,A,BAT-A-03,4356.221452179596,4716.221452179596,S003,6618.875474357132,3.083579679483661,0.5164203205163389,2,22.0,A11
M006,U07,C,BAT-C-03,1853.9392851939658,2333.9392851939656,S003,4290.050429531046,5.897111425303905,0.5028885746960956,6,59.0,A11
M007,U08,C,BAT-C-01,4233.671883566902,4713.671883566902,S004,6534.732950160065,6.152897007997176,0.2471029920028247,6,59.0,A11
M008,U03,A,BAT-A-05,4436.204353481116,4796.204353481116,S005,6128.400605099241,2.192966633451616,1.4070333665483843,2,22.0,A11
M009,U06,B,BAT-B-01,6038.476200574005,6398.476200574005,S005,7554.6510625455885,1.8345062099378917,1.3654937900621085,2,20.0,A11
M010,U02,A,BAT-A-04,4426.658952179596,4786.658952179596,S005,6118.8552037977215,2.1213050740389403,1.4786949259610598,2,17.0,A11
M011,U04,A,BAT-A-04,1313.485267596983,1673.485267596983,S006,2626.970534193966,1.3570321467642898,2.2429678532357102,2,22.0,A11
M012,U06,B,BAT-B-03,8686.324594455677,9046.324594455677,S006,9893.601507277534,1.1381343643981743,2.061865635601826,2,20.0,A11
M013,U01,A,BAT-A-01,0.0,360.0,S006,1313.485266596983,1.3115511002735658,2.2884488997264345,2,17.0,A11
M014,U04,A,BAT-A-02,2626.970535193966,2956.970535193966,S007,4294.405857867605,1.8725171200874788,1.7274828799125213,1,14.0,A11
M015,U03,A,BAT-A-01,2458.642338663181,2818.642338663181,S007,4186.07766133682,1.9708885880958245,1.6291114119041756,2,22.0,A11
M016,U01,A,BAT-A-05,2040.8440501345658,2400.844050134566,S007,3768.2793728082042,1.8274326219446961,1.772567378055304,2,9.0,A11
M017,U07,C,BAT-C-02,4352.315202179596,4802.315202179596,S008,6552.02728677177,5.836023632389955,0.5639763676100458,5,45.0,A11
M018,U06,B,BAT-B-04,4480.033952179596,4870.033952179596,S009,6038.476199574005,2.096210537071622,1.1037894629283782,3,25.0,A11
M019,U03,A,BAT-A-03,402.46875,732.4687499999998,S010,1997.3281483215958,1.92131533083843,1.67868466916157,1,14.0,A11
M020,U02,A,BAT-A-02,117.08270104323515,477.08270104323515,S010,1771.942099364831,1.892423901801982,1.7075760981980181,2,11.0,A11
M021,U05,B,BAT-B-04,9893.601508277534,10283.601508277534,S011,11082.025158389133,1.0739337252089312,2.126066274791069,3,25.0,A11
M022,U05,B,BAT-B-01,0.0,390.0,S012,1922.7345559700832,2.75235444190214,0.44764555809786,3,25.0,A11
M023,U05,B,BAT-B-03,2115.219050134566,2505.219050134566,S013,3625.6893304275104,1.8247182633032644,1.3752817366967358,3,25.0,A11
M024,U06,B,BAT-B-02,123.37499999999955,513.3749999999995,S014,1993.127194619016,2.1403030047614893,1.059696995238511,3,25.0,A11
M025,U05,B,BAT-B-02,5818.038700574005,6208.038700574005,S015,7646.327284594455,2.3074247845590743,0.8925752154409259,3,25.0,A11
