uav_id,sortie_id,busy_start_s,busy_end_s
U07,M001,0.0,1494.170391878965
U08,M002,0.0,1692.170391878965
U02,M003,2109.094050134566,4112.831574348478
U08,M004,2042.8753001345658,4150.6873187732745
U01,M005,4356.221452179596,6618.875474357132
U07,M006,1853.9392851939658,4290.050429531046
U08,M007,4233.671883566902,6534.732950160065
U03,M008,4436.204353481116,6128.400605099241
U06,M009,6038.476200574005,7554.6510625455885
U02,M010,4426.658952179596,6118.8552037977215
U04,M011,1313.485267596983,2626.970534193966
U06,M012,8686.324594455677,9893.601507277534
U01,M013,0.0,1313.485266596983
U04,M014,2626.970535193966,4294.405857867605
U03,M015,2458.642338663181,4186.07766133682
U01,M016,2040.8440501345658,3768.2793728082042
U07,M017,4352.315202179596,6552.02728677177
U06,M018,4480.033952179596,6038.476199574005
U03,M019,402.46875,1997.3281483215958
U02,M020,117.08270104323515,1771.942099364831
U05,M021,9893.601508277534,11082.025158389133
U05,M022,0.0,1922.7345559700832
U05,M023,2115.219050134566,3625.6893304275104
U06,M024,123.37499999999955,1993.127194619016
U05,M025,5818.038700574005,7646.327284594455
