uav_id,sortie_id,busy_start_s,busy_end_s
U08,M001,2436.1111453370804,3930.2815372160453
U07,M002,0.0,1692.170391878965
U03,M003,2109.094050134566,4112.831574348478
U07,M004,2042.8753001345658,4150.6873187732745
U01,M005,4420.48506975082,6683.139091928356
U08,M006,0.0,2436.11114433708
U08,M007,3930.281538216045,6231.342604809209
U03,M008,4496.110073023555,6188.3063246416805
U06,M009,6102.739821417963,7618.914683389547
U02,M010,4490.92256975082,6183.118821368946
U01,M011,1313.485267596983,2626.970534193966
U05,M012,1922.734556970083,3130.01146979194
U01,M013,0.0,1313.485266596983
U04,M014,773.0312500000002,2440.4665726736384
U04,M015,2440.466573673639,4167.901896347277
U02,M016,2040.8440501345658,3768.2793728082042
U07,M017,4416.578823023555,6616.290907615729
U06,M018,4544.297573023555,6102.7398204179635
U03,M019,168.75,1763.6093983215958
U02,M020,0.0,1654.8593983215958
U05,M021,3197.2584976823277,4385.682147793928
U05,M022,0.0,1922.7345559700832
U06,M023,2115.219050134566,3625.6893304275104
U06,M024,123.37499999999955,1993.127194619016
U05,M025,5882.302321417963,7710.590905438413
