uav_id,sortie_id,busy_start_s,busy_end_s
U07,M001,1692.170392878965,3186.34078475793
U07,M002,0.0,1692.170391878965
U04,M003,0.0,2003.7375242139126
U08,M004,0.0,2107.812018638708
U06,M005,4948.086600640172,6968.629698916055
U08,M006,2107.812019638708,4543.923163975788
U08,M007,4897.69571772373,7198.756784316893
U06,M008,8029.3314237513,9545.506285722884
U06,M009,3431.911737668588,4948.086599640172
U01,M010,4680.72559033644,6372.921841954566
U03,M011,1832.3778076760134,3145.8630742729965
U05,M012,0.0,1207.276912821857
U01,M013,0.0,1313.485266596983
U04,M014,2425.36030334655,4092.7956260201886
U02,M015,0.0,1727.4353226736384
U03,M016,0.0,1727.4353226736384
U07,M017,4606.38184033644,6806.093924928615
U05,M018,6470.8891753568905,8029.331422751299
U02,M019,1727.4353236736385,3322.294721995234
U01,M020,1313.485267596983,2968.3446659185784
U05,M021,3130.01147079194,4318.435120903541
U05,M022,1207.276913821857,3130.01146979194
U06,M023,0.0,1510.4702802929446
U06,M024,1510.4702812929447,3380.222475911961
U05,M025,4642.60059033644,6470.88917435689
