atomic_task_id,parent_gap_id,transport_sortie_id,service_start_s,service_end_s,relay_sortie_id,relay_id,site_id,topology,provider_count,min_access_margin_db,backhaul_margin_db,min_twohop_margin_db
B01_M005_G00,B01_M005_G00,M005,741.6875,1140.6875,B01_Q3_001_R002,R02,E52_214ce9a3b3bd3fa9c582335a,TRANSPORT_RELAY_G01,1,0.3126060525719936,15.138353346483314,0.3126060525719936
B01_M009_G00,B01_M009_G00,M009,717.8125,1543.84375,B01_Q3_001_R002,R02,E52_214ce9a3b3bd3fa9c582335a,TRANSPORT_RELAY_G01,1,0.14955749359387482,15.138353346483314,0.14955749359387482
B01_M010_G00,B01_M010_G00,M010,816.0625,1245.75,B01_Q3_001_R002,R02,E52_214ce9a3b3bd3fa9c582335a,TRANSPORT_RELAY_G01,1,9.466834534918547,15.138353346483314,9.466834534918547
B01_M016_G00,B01_M016_G00,M016,786.0625,1185.75,B01_Q3_001_R002,R02,E52_214ce9a3b3bd3fa9c582335a,TRANSPORT_RELAY_G01,1,9.466834534918547,15.138353346483314,9.466834534918547
B01_M011_G00,B01_M011_G00,M011,746.34375,1547.34375,B01_Q3_001_R001,R01,E52_060143e4033ea7dfc142ce26,TRANSPORT_RELAY_G01,1,6.23446973686174,13.051384290227645,6.23446973686174
B01_M006_G00,B01_M006_G00,M006,2889.2147910120443,3508.3710410120443,B01_Q3_001_R003,R02,E52_575c4f100493de938643a13d,TRANSPORT_RELAY_G01,1,8.748145591440831,2.099203328999508,2.099203328999508
B01_M013_G00,B01_M013_G00,M013,2889.2147910120443,3866.8397910120443,B01_Q3_001_R003,R02,E52_575c4f100493de938643a13d,TRANSPORT_RELAY_G01,1,1.2735129256524829,2.099203328999508,1.2735129256524829
B01_M014_G00,B01_M014_G00,M014,2889.2147910120443,3306.6835410120443,B01_Q3_001_R003,R02,E52_575c4f100493de938643a13d,TRANSPORT_RELAY_G01,1,14.97253526452974,2.099203328999508,2.099203328999508
B01_M003_G00,B01_M003_G00,M003,3145.194778460409,3574.882278460409,B01_Q3_001_R004,R01,E52_47db2d0d55c92154c779a4c9,TRANSPORT_RELAY_G01,1,11.176286595238821,16.45726286038159,11.176286595238821
B01_M012_G00,B01_M012_G00,M012,2792.947144391027,3837.790894391027,B01_Q3_001_R004,R01,E52_47db2d0d55c92154c779a4c9,TRANSPORT_RELAY_G01,1,3.0205906267075733,16.45726286038159,3.0205906267075733
B01_M017_G00,B01_M017_G00,M017,5407.787587273519,6340.381337273519,B01_Q3_001_R006,R02,E52_82c821a5773d0bfbe554f10a,TRANSPORT_RELAY_G01,1,3.9055423871373875,11.397135806608844,3.9055423871373875
B01_M018_G00,B01_M018_G00,M018,5407.787587273519,6292.162587273519,B01_Q3_001_R006,R02,E52_82c821a5773d0bfbe554f10a,TRANSPORT_RELAY_G01,1,5.523919136465679,11.397135806608844,5.523919136465679
B01_M019_G00,B01_M019_G00,M019,5586.077845569985,6109.984095569985,B01_Q3_001_R006,R02,E52_82c821a5773d0bfbe554f10a,TRANSPORT_RELAY_G01,1,1.9898130596061634,11.397135806608844,1.9898130596061634
B01_M020_G00,B01_M020_G00,M020,5407.787587273519,5999.975087273519,B01_Q3_001_R006,R02,E52_82c821a5773d0bfbe554f10a,TRANSPORT_RELAY_G01,1,11.240343925362424,11.397135806608844,11.240343925362424
B01_M021_G00,B01_M021_G00,M021,5407.787587273519,5433.131337273519,B01_Q3_001_R006,R02,E52_82c821a5773d0bfbe554f10a,TRANSPORT_RELAY_G01,1,8.076658413675005,11.397135806608844,8.076658413675005
B01_M021_G01,B01_M021_G01,M021,5440.631337273519,5954.943837273519,B01_Q3_001_R006,R02,E52_82c821a5773d0bfbe554f10a,TRANSPORT_RELAY_G01,1,8.226809702901718,11.397135806608844,8.226809702901718
B01_M021_G02,B01_M021_G02,M021,5983.506337273519,6819.193837273519,B01_Q3_001_R006,R02,E52_82c821a5773d0bfbe554f10a,TRANSPORT_RELAY_G01,1,5.523919136465679,11.397135806608844,5.523919136465679
B01_M023_G00,B01_M023_G00,M023,7130.707593964394,7156.051343964394,B01_Q3_001_R006,R02,E52_82c821a5773d0bfbe554f10a,TRANSPORT_RELAY_G01,1,8.076615513440018,11.397135806608844,8.076615513440018
B01_M023_G01,B01_M023_G01,M023,7163.551343964394,7574.895093964394,B01_Q3_001_R006,R02,E52_82c821a5773d0bfbe554f10a,TRANSPORT_RELAY_G01,1,8.226809702901718,11.397135806608844,8.226809702901718
B01_M023_G02,B01_M023_G02,M023,7582.426343964394,7607.770093964394,B01_Q3_001_R006,R02,E52_82c821a5773d0bfbe554f10a,TRANSPORT_RELAY_G01,1,8.076450462346799,11.397135806608844,8.076450462346799
B01_M022_G00,B01_M022_G00,M022,5213.523492763962,6057.992242763962,B01_Q3_001_R005,R01,E52_30110e5b3ae38ecfab28ace2,TRANSPORT_RELAY_G01,1,5.268987734543231,10.05954008012911,5.268987734543231
