battery_id,sortie_id,takeoff_s,return_s,return_soc,energy_ready_s,charge_duration_s
BAT-A-03,M001,360.0,1250.901145264559,0.7150389759477327,2121.3504765325065,870.4493312679475
BAT-A-06,M002,2027.4353236736383,2918.3364689381974,0.7150389759477327,3788.785800206145,870.4493312679475
BAT-A-01,M003,2689.132278460409,4056.5676011340474,0.5620247582009279,5125.935415472841,1069.3678143387936
BAT-A-05,M004,1610.901146264559,2501.802291529118,0.7150389759477327,3372.2516227970655,870.4493312679475
BAT-B-01,M005,390.0,1510.4702802929446,0.5438204341741839,2967.8481943910256,1457.3779140980812
BAT-B-03,M006,2474.4022910120443,3954.1544856310607,0.4649242488096277,5548.285787694373,1594.131302063312
BAT-C-02,M007,540.0,1626.170391878965,0.6442343837717246,3230.329227040228,1604.1588351612634
BAT-C-01,M008,480.0,1561.5595259403467,0.6752529517883454,3098.511463732265,1536.9519377919182
BAT-A-02,M009,330.0,1943.7375242139126,0.3619102255501119,3273.2542309987675,1329.5167067848547
BAT-A-04,M010,360.0,1727.4353226736384,0.5765975960294276,2777.8584478353823,1050.423125161744
BAT-B-02,M011,390.0,1922.734555970083,0.31191138952446495,3782.0881474610105,1859.3535914909273
BAT-C-03,M012,2359.009644391027,4315.120788728107,0.22430439151792558,6829.127940439268,2514.007151711161
BAT-C-04,M013,2555.1835410120443,4218.9955596507525,0.21490222160615335,6753.374079504087,2534.3785198533346
BAT-B-04,M014,2525.5272910120443,3690.9041934583834,0.5442135670880817,5147.600677172375,1456.696483713992
BAT-A-03,M015,2121.3504775325064,2982.2516227970655,0.7289987530744948,3834.5532438002224,852.3016210031568
BAT-A-01,M016,330.0,1667.4353226736384,0.5986946501640227,2689.132277460409,1021.6969547867706
BAT-A-04,M017,4937.22508727352,6839.879109451055,0.341258851317484,8196.242602738326,1356.3634932872708
BAT-A-02,M018,4967.56883727352,6748.714966064682,0.30078634766869505,8157.6927140953785,1408.9777480306964
BAT-B-04,M019,5269.327845569985,6437.770092964393,0.4759473657320945,8012.794659028763,1575.0245660643693
BAT-B-02,M020,4999.537587273519,6437.826171293969,0.4231438038602314,8104.376911269568,1666.5507399755988
BAT-C-02,M021,5061.600087273519,7228.1873263499465,0.20986927910313402,9773.470554959822,2545.283228609876
BAT-C-01,M022,4738.742242763962,6559.803309357126,0.23088787400035304,9059.546249023027,2499.7429396659018
BAT-B-03,M023,6797.770093964394,7953.944955935977,0.4784713247988265,9524.594659618011,1570.6497036820342
BAT-B-01,M024,4080.9041944583832,4879.327844569984,0.7315165686977672,6011.365792160521,1132.037947590537
