atomic_task_id,parent_gap_id,pareto_id,transport_sortie_id,service_start_s,service_end_s,service_duration_s,Gamma_C_db,construction_guard_s
B01_M003_G00,B01_M003_G00,B01,M003,2759.8000342139258,3189.4875342139258,429.6875,0.0,2.0
B01_M005_G00,B01_M005_G00,B01,M005,741.6875,1140.6875,399.0,0.0,2.0
B01_M006_G00,B01_M006_G00,B01,M006,2315.2827902929275,2934.4390402929275,619.15625,0.0,2.0
B01_M009_G00,B01_M009_G00,B01,M009,717.8125,1543.84375,826.03125,0.0,2.0
B01_M010_G00,B01_M010_G00,B01,M010,816.0625,1245.75,429.6875,0.0,2.0
B01_M011_G00,B01_M011_G00,B01,M011,746.34375,1547.34375,801.0,0.0,2.0
B01_M012_G00,B01_M012_G00,B01,M012,2540.107901878946,3584.951651878946,1044.84375,0.0,2.0
B01_M013_G00,B01_M013_G00,B01,M013,2405.5907859403233,3383.2157859403233,977.625,0.0,2.0
B01_M014_G00,B01_M014_G00,B01,M014,2676.4220659700804,3093.8908159700804,417.46875,0.0,2.0
B01_M016_G00,B01_M016_G00,B01,M016,786.0625,1185.75,399.6875,0.0,2.0
B01_M017_G00,B01_M017_G00,B01,M017,4410.595942724971,5343.189692724971,932.59375,0.0,2.0
B01_M018_G00,B01_M018_G00,B01,M018,4441.391616887557,5325.766616887557,884.375,0.0,2.0
B01_M019_G00,B01_M019_G00,B01,M019,4086.9724949119263,4610.878744911926,523.90625,0.0,2.0
B01_M020_G00,B01_M020_G00,B01,M020,5464.785138527994,6056.972638527994,592.1875,0.0,2.0
B01_M021_G00,B01_M021_G00,B01,M021,4621.559064579022,4646.902814579022,25.34375,0.0,2.0
B01_M021_G01,B01_M021_G01,B01,M021,4654.402814579022,5168.715314579022,514.3125,0.0,2.0
B01_M021_G02,B01_M021_G02,B01,M021,5197.277814579022,6032.965314579022,835.6875,0.0,2.0
B01_M022_G00,B01_M022_G00,B01,M022,5017.06280621601,5861.53155621601,844.46875,0.0,2.0
B01_M023_G00,B01_M023_G00,B01,M023,5631.602252306329,5656.946002306329,25.34375,0.0,2.0
B01_M023_G01,B01_M023_G01,B01,M023,5664.446002306329,6075.789752306329,411.34375,0.0,2.0
B01_M023_G02,B01_M023_G02,B01,M023,6083.321002306329,6108.664752306329,25.34375,0.0,2.0
