uav_id,sortie_id,busy_start_s,busy_end_s
U03,M001,1761.3504775325068,3012.251622797066
U01,M002,0.0,1250.901145264559
U04,M003,4393.514733165043,6120.950055838682
U01,M004,1250.9011462645592,2501.8022915291185
U05,M005,0.0,1510.4702802929446
U05,M006,2084.4022910120443,3954.1544856310607
U08,M007,0.0,1626.170391878965
U07,M008,0.0,1561.5595259403467
U04,M009,0.0,1943.7375242139126
U03,M010,0.0,1727.4353226736384
U06,M011,0.0,1922.734555970083
U08,M012,4295.639733165043,6731.750877502123
U08,M013,2045.1835410120443,4218.9955596507525
U06,M014,2135.5272910120443,3690.9041934583834
U02,M015,1667.4353236736385,2858.3364689381974
U02,M016,0.0,1667.4353226736384
U01,M017,5640.979835667929,7903.633857845464
U02,M018,5749.542335667929,7860.688464459091
U05,M019,4701.037587273519,6259.479834667928
U06,M020,5795.542263667581,7623.830847688031
U07,M021,5131.886013667581,7838.473252744008
U07,M022,2039.9494842895856,4341.010550882749
U05,M023,6259.4798356679285,7775.654697639512
U06,M024,3690.9041944583832,4879.327844569984
