uav_id,sortie_id,busy_start_s,busy_end_s
U01,M001,0.0,1250.9011452645589
U02,M002,0.0,1250.9011452645589
U03,M003,0.0,1250.9011452645589
U06,M004,1922.7345569700828,3478.111459416422
U06,M005,0.0,1922.734555970083
U07,M006,0.0,1560.170391878965
U08,M007,0.0,2107.812018638708
U05,M008,0.0,1510.4702802929446
U08,M009,2126.0620262377756,4737.347778751164
U05,M010,1510.4702812929445,3380.222475911961
U07,M011,1560.1703928789648,3121.7299188193115
U06,M012,5788.638971994105,7690.481279161149
U07,M013,6980.475690368643,8857.670848564185
U05,M014,6331.501879052325,8292.044977328209
U07,M015,3640.984163827061,6143.095308164141
U05,M016,4574.807944130414,6331.501878052326
U08,M017,4737.347779751164,7038.408846344328
U06,M018,3826.796663827061,5788.638970994105
U05,M019,3380.222476911961,4568.646127023562
U06,M020,7690.481280161149,9248.923527555558
U05,M021,8292.04497832821,9441.146500171366
