partition_id,k,labels,groups,total_resource_units,total_shortage_units,inventory_feasible,workload_cv,required_TUAV_A,required_TUAV_B,required_TUAV_C,required_TBAT_A,required_TBAT_B,required_TBAT_C,required_RUAV,required_REC,shortage_TUAV_A,shortage_TUAV_B,shortage_TUAV_C,shortage_TBAT_A,shortage_TBAT_B,shortage_TBAT_C,shortage_RUAV,shortage_REC,redundancy_TUAV_A,redundancy_TUAV_B,redundancy_TUAV_C,redundancy_TBAT_A,redundancy_TBAT_B,redundancy_TBAT_C,redundancy_RUAV,redundancy_REC
Q4_K3_001,3,"[0, 0, 0, 0, 1, 2]","[[""S001"", ""S002"", ""S003"", ""S004"", ""S005"", ""S006"", ""S007"", ""S008"", ""S009"", ""S013"", ""S015""], [""S010"", ""S012"", ""S014""], [""S011""]]",37,9,False,1.0312116121637027,6,5,2,7,6,4,3,4,2,3,0,1,2,0,1,0,2,3,0,1,2,0,1,1
Q4_K3_002,3,"[0, 0, 0, 1, 0, 2]","[[""S001"", ""S002"", ""S003"", ""S004"", ""S005"", ""S007"", ""S008"", ""S009"", ""S010"", ""S012"", ""S013"", ""S014"", ""S015""], [""S006""], [""S011""]]",31,4,False,1.2270292308306405,5,4,2,6,5,4,2,3,1,2,0,0,1,0,0,0,1,2,0,0,1,0,0,0
Q4_K3_003,3,"[0, 0, 0, 1, 1, 2]","[[""S001"", ""S002"", ""S003"", ""S004"", ""S005"", ""S007"", ""S008"", ""S009"", ""S013"", ""S015""], [""S006"", ""S010"", ""S012"", ""S014""], [""S011""]]",39,11,False,0.910145252601708,7,5,2,7,7,4,3,4,3,3,0,1,3,0,1,0,3,3,0,1,3,0,1,1
Q4_K3_004,3,"[0, 0, 0, 1, 2, 0]","[[""S001"", ""S002"", ""S003"", ""S004"", ""S005"", ""S007"", ""S008"", ""S009"", ""S011"", ""S013"", ""S015""], [""S006""], [""S010"", ""S012"", ""S014""]]",38,10,False,0.9243055267034599,7,5,2,7,6,4,3,4,3,3,0,1,2,0,1,0,3,3,0,1,2,0,1,1
Q4_K3_005,3,"[0, 0, 0, 1, 2, 1]","[[""S001"", ""S002"", ""S003"", ""S004"", ""S005"", ""S007"", ""S008"", ""S009"", ""S013"", ""S015""], [""S006"", ""S011""], [""S010"", ""S012"", ""S014""]]",38,10,False,0.8769255782882781,7,5,2,7,6,4,3,4,3,3,0,1,2,0,1,0,3,3,0,1,2,0,1,1
Q4_K3_006,3,"[0, 0, 0, 1, 2, 2]","[[""S001"", ""S002"", ""S003"", ""S004"", ""S005"", ""S007"", ""S008"", ""S009"", ""S013"", ""S015""], [""S006""], [""S010"", ""S011"", ""S012"", ""S014""]]",39,11,False,0.8840205361237294,7,5,2,7,7,4,3,4,3,3,0,1,3,0,1,0,3,3,0,1,3,0,1,1
Q4_K3_007,3,"[0, 0, 1, 0, 0, 2]","[[""S001"", ""S002"", ""S003"", ""S005"", ""S006"", ""S007"", ""S008"", ""S009"", ""S010"", ""S012"", ""S013"", ""S014"", ""S015""], [""S004""], [""S011""]]",33,5,False,1.1949790620383232,4,3,3,6,5,5,3,4,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1
Q4_K3_008,3,"[0, 0, 1, 0, 1, 2]","[[""S001"", ""S002"", ""S003"", ""S005"", ""S006"", ""S007"", ""S008"", ""S009"", ""S013"", ""S015""], [""S004"", ""S010"", ""S012"", ""S014""], [""S011""]]",38,11,False,0.8843301915390733,6,5,3,7,6,5,3,3,2,3,1,1,2,1,1,0,2,3,1,1,2,1,1,0
Q4_K3_009,3,"[0, 0, 1, 0, 2, 0]","[[""S001"", ""S002"", ""S003"", ""S005"", ""S006"", ""S007"", ""S008"", ""S009"", ""S011"", ""S013"", ""S015""], [""S004""], [""S010"", ""S012"", ""S014""]]",38,10,False,0.8890406911025845,6,4,3,7,5,5,4,4,2,2,1,1,1,1,2,0,2,2,1,1,1,1,2,1
Q4_K3_010,3,"[0, 0, 1, 0, 2, 1]","[[""S001"", ""S002"", ""S003"", ""S005"", ""S006"", ""S007"", ""S008"", ""S009"", ""S013"", ""S015""], [""S004"", ""S011""], [""S010"", ""S012"", ""S014""]]",40,12,False,0.8420187399018477,6,5,3,7,6,5,4,4,2,3,1,1,2,1,2,0,2,3,1,1,2,1,2,1
