box_id,sortie_id,service_id,delivery_time_s,expected_deadline_s,first_deadline_s,hard_deadline_s,hard_deadline_ok,normalized_delivery_time,tag,group_id
S001-HYG-01,M001,S001,2874.4405888184474,10800.0,,,True,0.2661519063720785,A11,G1
S001-WAT-02,M001,S001,2874.4405888184474,3600.0,,,True,0.7984557191162354,A11,G1
S001-WAT-03,M001,S001,2874.4405888184474,3600.0,,,True,0.7984557191162354,A11,G1
S001-WAT-04,M001,S001,2874.4405888184474,3600.0,,,True,0.7984557191162354,A11,G1
S001-WAT-05,M001,S001,2874.4405888184474,3600.0,,,True,0.7984557191162354,A11,G1
S001-WAT-06,M001,S001,2874.4405888184474,3600.0,,,True,0.7984557191162354,A11,G1
S001-MED-01,M002,S001,1380.2701959394826,3600.0,3600.0,3600.0,True,0.3834083877609674,A11,G1
S001-MED-02,M002,S001,1380.2701959394826,3600.0,,3600.0,True,0.3834083877609674,A11,G1
S001-HYG-02,M002,S001,1380.2701959394826,10800.0,,,True,0.12780279592032245,A11,G1
S001-FOD-01,M002,S001,1380.2701959394826,7200.0,,,True,0.1917041938804837,A11,G1
S001-FOD-02,M002,S001,1380.2701959394826,7200.0,,,True,0.1917041938804837,A11,G1
S001-FOD-03,M002,S001,1380.2701959394826,7200.0,,,True,0.1917041938804837,A11,G1
S001-WAT-07,M002,S001,1380.2701959394826,3600.0,,,True,0.3834083877609674,A11,G1
S001-WAT-08,M002,S001,1380.2701959394826,3600.0,,,True,0.3834083877609674,A11,G1
S001-WAT-01,M002,S001,1380.2701959394826,3600.0,3600.0,3600.0,True,0.3834083877609674,A11,G1
S002-FOD-01,M003,S002,1283.8087621069562,7200.0,,,True,0.17830677251485502,A11,G1
S002-WAT-02,M003,S002,1283.8087621069562,3600.0,,,True,0.35661354502971004,A11,G1
S002-MED-01,M004,S002,1487.3160093193542,3600.0,3600.0,3600.0,True,0.41314333592204283,A11,G1
S002-HYG-01,M004,S002,1487.3160093193542,10800.0,,,True,0.1377144453073476,A11,G1
S002-FOD-02,M004,S002,1487.3160093193542,7200.0,,,True,0.20657166796102142,A11,G1
S002-WAT-03,M004,S002,1487.3160093193542,3600.0,,,True,0.41314333592204283,A11,G1
S002-WAT-04,M004,S002,1487.3160093193542,3600.0,,,True,0.41314333592204283,A11,G1
S002-WAT-01,M004,S002,1487.3160093193542,3600.0,3600.0,3600.0,True,0.41314333592204283,A11,G1
S003-FOD-01,M005,S003,5004.207732572025,10800.0,,,True,0.463352567830743,A11,G1
S003-WAT-01,M005,S003,5004.207732572025,7200.0,7200.0,7200.0,True,0.6950288517461145,A11,G1
S003-MED-01,M006,S003,3753.327591807248,7200.0,7200.0,7200.0,True,0.5212954988621178,A11,G1
S003-HYG-01,M006,S003,3753.327591807248,14400.0,,,True,0.2606477494310589,A11,G1
S003-FOD-02,M006,S003,3753.327591807248,10800.0,,,True,0.3475303325747452,A11,G1
S003-WAT-02,M006,S003,3753.327591807248,7200.0,,,True,0.5212954988621178,A11,G1
S003-WAT-03,M006,S003,3753.327591807248,7200.0,,,True,0.5212954988621178,A11,G1
S003-WAT-04,M006,S003,3753.327591807248,7200.0,,,True,0.5212954988621178,A11,G1
S004-MED-01,M007,S004,6127.42369827237,7200.0,7200.0,7200.0,True,0.8510310692044958,A11,G1
S004-HYG-01,M007,S004,6127.42369827237,14400.0,,,True,0.4255155346022479,A11,G1
S004-FOD-01,M007,S004,6127.42369827237,10800.0,,,True,0.5673540461363306,A11,G1
S004-WAT-02,M007,S004,6127.42369827237,7200.0,,,True,0.8510310692044958,A11,G1
S004-WAT-03,M007,S004,6127.42369827237,7200.0,,,True,0.8510310692044958,A11,G1
S004-WAT-01,M007,S004,6127.42369827237,7200.0,7200.0,7200.0,True,0.8510310692044958,A11,G1
S005-FOD-01,M008,S005,4794.199680625653,14400.0,,,True,0.33293053337678147,A11,G1
S005-WAT-01,M008,S005,4794.199680625653,10800.0,10800.0,10800.0,True,0.4439073778357086,A11,G1
S005-HYG-01,M009,S005,6496.352570822832,18000.0,,,True,0.360908476156824,A11,G1
S005-WAT-02,M009,S005,6496.352570822832,10800.0,,,True,0.60151412692804,A11,G1
S005-MED-01,M010,S005,4794.199680625653,10800.0,10800.0,10800.0,True,0.4439073778357086,A11,G1
S005-WAT-03,M010,S005,4794.199680625653,10800.0,,,True,0.4439073778357086,A11,G1
S006-FOD-01,M011,S006,2767.883774307838,7200.0,,,True,0.38442830198719974,A11,G2
S006-WAT-01,M011,S006,2767.883774307838,3600.0,3600.0,3600.0,True,0.7688566039743995,A11,G2
S006-HYG-01,M012,S006,882.4017897442618,10800.0,,,True,0.08170386942076498,A11,G2
S006-WAT-02,M012,S006,882.4017897442618,3600.0,,,True,0.24511160826229494,A11,G2
S006-MED-01,M013,S006,935.5059666318248,3600.0,3600.0,3600.0,True,0.2598627685088402,A11,G2
S006-WAT-03,M013,S006,935.5059666318248,3600.0,,,True,0.2598627685088402,A11,G2
