sortie_id,uav_id,uav_type,battery_id,preparation_start_s,takeoff_s,service_sequence,return_s,energy_kwh,energy_margin_kwh,n_boxes,payload_kg,tag,source_uav_id,source_battery_id,group_id
M001,G1-TUAV_C-01,C,G1-TBAT_C-03,1692.1703928789648,2172.170392878965,S001,3186.3407847579297,2.917555936277246,3.4824440637227543,6,76.0,A11,U07,BAT-C-03,G1
M002,G1-TUAV_C-01,C,G1-TBAT_C-02,0.0,570.0,S001,1692.170391878965,2.995742764547403,3.4042572354525973,9,78.0,A11,U07,BAT-C-02,G1
M003,G1-TUAV_A-03,A,G1-TBAT_A-03,0.0,360.0,S002,2003.7375242139126,3.0186602033241243,0.5813397966758758,2,22.0,A11,U04,BAT-A-04,G1
M004,G1-TUAV_C-02,C,G1-TBAT_C-01,0.0,480.0,S002,2107.812018638708,5.8530312852658195,0.5469687147341808,6,59.0,A11,U08,BAT-C-01,G1
M005,G1-TUAV_A-01,A,G1-TBAT_A-02,3594.9073881499235,3954.9073881499235,S003,5857.561410327459,3.083579679483661,0.5164203205163389,2,22.0,A11,U01,BAT-A-03,G1
M006,G1-TUAV_C-02,C,G1-TBAT_C-04,2107.812019638708,2587.812019638708,S003,4543.923163975788,5.897111425303905,0.5028885746960956,6,59.0,A11,U08,BAT-C-04,G1
M007,G1-TUAV_C-02,C,G1-TBAT_C-01,4543.9231649757885,5023.9231649757885,S004,6844.984231568952,6.152897007997176,0.2471029920028247,6,59.0,A11,U08,BAT-C-01,G1
M008,G1-TUAV_A-03,A,G1-TBAT_A-04,3665.3448881499235,4025.3448881499235,S005,5357.541139768049,2.192966633451616,1.4070333665483843,2,22.0,A11,U03,BAT-A-05,G1
M009,G1-TUAV_B-01,B,G1-TBAT_B-02,5455.508473170374,5815.508473170374,S005,6971.683335141957,1.8345062099378917,1.3654937900621085,2,20.0,A11,U06,BAT-B-03,G1
M010,G1-TUAV_A-04,A,G1-TBAT_A-03,3665.3448881499235,4025.3448881499235,S005,5357.541139768049,2.1213050740389403,1.4786949259610598,2,17.0,A11,U02,BAT-A-04,G1
M011,G2-TUAV_A-01,A,G2-TBAT_A-01,1832.3778076760132,2192.377807676013,S006,3145.863074272996,1.3570321467642898,2.2429678532357102,2,22.0,A11,U03,BAT-A-01,G2
M012,G2-TUAV_B-01,B,G2-TBAT_B-01,0.0,360.0,S006,1207.276912821857,1.1381343643981743,2.061865635601826,2,20.0,A11,U05,BAT-B-01,G2
M013,G2-TUAV_A-01,A,G2-TBAT_A-01,0.0,360.0,S006,1313.485266596983,1.3115511002735658,2.2884488997264345,2,17.0,A11,U01,BAT-A-01,G2
M014,G1-TUAV_A-02,A,G1-TBAT_A-01,2425.36030334655,2755.36030334655,S007,4092.7956260201886,1.8725171200874788,1.7274828799125213,1,14.0,A11,U04,BAT-A-02,G1
M015,G1-TUAV_A-01,A,G1-TBAT_A-02,0.0,360.0,S007,1727.4353226736384,1.9708885880958245,1.6291114119041756,2,22.0,A11,U02,BAT-A-03,G1
M016,G1-TUAV_A-02,A,G1-TBAT_A-01,0.0,360.0,S007,1727.4353226736384,1.8274326219446961,1.772567378055304,2,9.0,A11,U03,BAT-A-02,G1
M017,G1-TUAV_C-01,C,G1-TBAT_C-02,3591.0011381499235,4041.0011381499235,S008,5790.713222742098,5.836023632389955,0.5639763676100458,5,45.0,A11,U07,BAT-C-02,G1
M018,G1-TUAV_B-02,B,G1-TBAT_B-03,4584.353778975273,4974.353778975273,S009,6142.796026369681,2.096210537071622,1.1037894629283782,3,25.0,A11,U05,BAT-B-04,G1
M019,G1-TUAV_A-01,A,G1-TBAT_A-05,1727.4353236736385,2057.4353236736383,S010,3322.2947219952343,1.92131533083843,1.67868466916157,1,14.0,A11,U02,BAT-A-06,G1
M020,G1-TUAV_A-04,A,G1-TBAT_A-04,1313.485267596983,1673.485267596983,S010,2968.344665918579,1.892423901801982,1.7075760981980181,2,11.0,A11,U01,BAT-A-05,G1
M021,G2-TUAV_B-01,B,G2-TBAT_B-01,3130.01147079194,3520.01147079194,S011,4318.435120903541,1.0739337252089312,2.126066274791069,3,25.0,A11,U05,BAT-B-01,G2
M022,G1-TUAV_B-02,B,G1-TBAT_B-02,1207.276913821857,1597.276913821857,S012,3130.0114697919403,2.75235444190214,0.44764555809786,3,25.0,A11,U05,BAT-B-03,G1
M023,G1-TUAV_B-01,B,G1-TBAT_B-01,0.0,390.0,S013,1510.4702802929446,1.8247182633032644,1.3752817366967358,3,25.0,A11,U06,BAT-B-02,G1
M024,G1-TUAV_B-01,B,G1-TBAT_B-03,1510.4702812929447,1900.4702812929447,S014,3380.2224759119613,2.1403030047614893,1.059696995238511,3,25.0,A11,U06,BAT-B-04,G1
M025,G1-TUAV_B-01,B,G1-TBAT_B-01,3627.2198881499235,4017.2198881499235,S015,5455.508472170373,2.3074247845590743,0.8925752154409259,3,25.0,A11,U06,BAT-B-02,G1
