service,distance_m,terrain_max_m,cruise_m,origin_m,dest_m,up_m,down_m
S001,3053.9887026420406,223.05661010742188,273.0566101074219,127.7,184.0,145.3566101074219,89.05661010742188
S002,7411.3077087600395,258.9542541503906,308.9542541503906,127.7,219.5,181.25425415039064,89.45425415039062
S003,7263.327717049588,501.4280090332031,551.4280090332031,127.7,338.5,423.72800903320314,212.92800903320312
S004,7714.729254941889,348.2391662597656,398.2391662597656,127.7,228.3,270.53916625976564,169.9391662597656
S005,5280.641689396252,276.410888671875,326.410888671875,127.7,195.0,198.710888671875,131.410888671875
S006,3186.250613253772,316.09783935546875,366.09783935546875,127.7,314.8,238.39783935546876,51.29783935546874
S007,4534.527995612143,451.8304748535156,501.8304748535156,127.7,348.5,374.13047485351564,153.33047485351562
S008,8079.114648723534,322.9093322753906,372.9093322753906,127.7,270.9,245.20933227539064,102.00933227539065
S009,5705.148819569393,243.22891235351562,293.2289123535156,127.7,230.0,165.52891235351564,63.228912353515625
S010,4784.474876257699,385.63653564453125,435.63653564453125,127.7,351.6,307.93653564453126,84.03653564453123
S011,2808.0980667549748,243.34902954101562,293.3490295410156,127.7,212.1,165.64902954101564,81.24902954101563
S012,7390.448226172106,362.35931396484375,412.35931396484375,127.7,279.8,284.65931396484376,132.55931396484374
S013,4849.227041161927,347.3786926269531,397.3786926269531,127.7,351.7,269.67869262695314,45.678692626953136
S014,5419.570194994184,541.9473876953125,591.9473876953125,127.7,351.0,464.2473876953125,240.9473876953125
S015,6009.472571071346,520.8697509765625,570.8697509765625,127.7,474.5,443.1697509765625,96.3697509765625
