box_id,service_id,sortie_id,delivery_time_s,expected_deadline_s,hard_deadline_s,priority
S001-WAT-08,S001,R001,2159.4750512301716,3600.0,,12.0
S001-FOD-03,S001,R001,2159.4750512301716,7200.0,,10.0
S001-WAT-07,S001,R002,2657.785199962156,3600.0,,12.0
S001-FOD-02,S001,R002,2657.785199962156,7200.0,,10.0
S001-WAT-06,S001,R003,1248.2701959394824,3600.0,,12.0
S001-WAT-05,S001,R003,1248.2701959394824,3600.0,,12.0
S001-WAT-04,S001,R003,1248.2701959394824,3600.0,,12.0
S001-WAT-03,S001,R003,1248.2701959394824,3600.0,,12.0
S001-FOD-01,S001,R003,1248.2701959394824,7200.0,,10.0
S001-HYG-02,S001,R003,1248.2701959394824,10800.0,,8.0
S001-HYG-01,S001,R003,1248.2701959394824,10800.0,,8.0
S001-MED-02,S001,R004,908.5739059656128,3600.0,3600.0,24.0
S001-WAT-02,S001,R004,908.5739059656128,3600.0,,12.0
S001-MED-01,S001,R005,908.5739059656128,3600.0,3600.0,24.0
S001-WAT-01,S001,R005,908.5739059656128,3600.0,3600.0,12.0
S002-WAT-04,S002,R006,2534.7099073715153,3600.0,,12.0
S002-FOD-02,S002,R006,2534.7099073715153,7200.0,,10.0
S002-MED-01,S002,R007,1487.3160093193542,3600.0,3600.0,24.0
S002-WAT-03,S002,R007,1487.3160093193542,3600.0,,12.0
S002-WAT-02,S002,R007,1487.3160093193542,3600.0,,12.0
S002-WAT-01,S002,R007,1487.3160093193542,3600.0,3600.0,12.0
S002-FOD-01,S002,R007,1487.3160093193542,7200.0,,10.0
S002-HYG-01,S002,R007,1487.3160093193542,10800.0,,8.0
S003-WAT-04,S003,R008,3903.4934735742654,7200.0,,10.0
S003-FOD-02,S003,R008,3903.4934735742654,10800.0,,8.0
S003-MED-01,S003,R009,3743.9890745718967,7200.0,7200.0,20.0
S003-WAT-03,S003,R009,3743.9890745718967,7200.0,,10.0
S003-WAT-02,S003,R009,3743.9890745718967,7200.0,,10.0
S003-WAT-01,S003,R009,3743.9890745718967,7200.0,7200.0,10.0
S003-FOD-01,S003,R009,3743.9890745718967,10800.0,,8.0
S003-HYG-01,S003,R009,3743.9890745718967,14400.0,,6.0
S004-MED-01,S004,R010,6108.746663801668,7200.0,7200.0,20.0
S004-WAT-03,S004,R010,6108.746663801668,7200.0,,10.0
S004-WAT-02,S004,R010,6108.746663801668,7200.0,,10.0
S004-WAT-01,S004,R010,6108.746663801668,7200.0,7200.0,10.0
S004-FOD-01,S004,R010,6108.746663801668,10800.0,,8.0
S004-HYG-01,S004,R010,6108.746663801668,14400.0,,6.0
S005-MED-01,S005,R011,6139.53104842933,10800.0,10800.0,16.0
S005-WAT-03,S005,R011,6139.53104842933,10800.0,,8.0
S005-WAT-02,S005,R011,6139.53104842933,10800.0,,8.0
S005-WAT-01,S005,R011,6139.53104842933,10800.0,10800.0,8.0
S005-FOD-01,S005,R011,6139.53104842933,14400.0,,6.0
S005-HYG-01,S005,R011,6139.53104842933,18000.0,,4.0
S006-MED-01,S006,R012,2769.5951548491385,3600.0,3600.0,24.0
S006-WAT-03,S006,R012,2769.5951548491385,3600.0,,12.0
S006-WAT-02,S006,R012,2769.5951548491385,3600.0,,12.0
S006-WAT-01,S006,R012,2769.5951548491385,3600.0,3600.0,12.0
S006-FOD-01,S006,R012,2769.5951548491385,7200.0,,10.0
S006-HYG-01,S006,R012,2769.5951548491385,10800.0,,8.0
S007-WAT-02,S007,R013,1073.91968119359,3600.0,,12.0
S007-WAT-01,S007,R014,2883.1309751901335,3600.0,3600.0,12.0
S007-FOD-01,S007,R014,2883.1309751901335,7200.0,,10.0
S007-MED-01,S007,R015,1133.91968119359,3600.0,3600.0,24.0
S007-HYG-01,S007,R015,1133.91968119359,10800.0,,8.0
S008-WAT-02,S008,R016,6207.725091068076,7200.0,,10.0
S008-HYG-01,S008,R016,6207.725091068076,14400.0,,6.0
S008-MED-01,S008,R017,4354.350410704316,7200.0,7200.0,20.0
S008-WAT-01,S008,R017,4354.350410704316,7200.0,7200.0,10.0
S008-FOD-01,S008,R017,4354.350410704316,10800.0,,8.0
S009-MED-01,S009,R018,4277.899193575435,10800.0,10800.0,16.0
S009-WAT-01,S009,R018,4277.899193575435,10800.0,10800.0,8.0
S009-FOD-01,S009,R018,4277.899193575435,14400.0,,6.0
S010-MED-01,S010,R019,2593.0508058976247,3600.0,3600.0,24.0
S010-WAT-01,S010,R019,2593.0508058976247,3600.0,3600.0,12.0
S010-FOD-01,S010,R019,2593.0508058976247,7200.0,,10.0
S011-MED-01,S011,R020,4696.0281113708115,10800.0,10800.0,16.0
S011-WAT-01,S011,R020,4696.0281113708115,10800.0,10800.0,8.0
S011-FOD-01,S011,R020,4696.0281113708115,14400.0,,6.0
S012-MED-01,S012,R021,1270.6067119856925,7200.0,3600.0,22.0
S012-WAT-01,S012,R021,1270.6067119856925,3600.0,3600.0,12.0
S012-FOD-01,S012,R021,1270.6067119856925,7200.0,,10.0
S013-MED-01,S013,R022,1061.4461773372275,3600.0,3600.0,24.0
S013-WAT-01,S013,R022,1061.4461773372275,3600.0,3600.0,12.0
S013-FOD-01,S013,R022,1061.4461773372275,7200.0,,10.0
S014-MED-01,S014,R023,3163.7861879475595,7200.0,3600.0,22.0
S014-WAT-01,S014,R023,3163.7861879475595,3600.0,3600.0,12.0
S014-FOD-01,S014,R023,3163.7861879475595,7200.0,,10.0
S015-MED-01,S015,R024,6241.947553075408,7200.0,7200.0,18.0
S015-WAT-01,S015,R024,6241.947553075408,10800.0,10800.0,8.0
S015-FOD-01,S015,R024,6241.947553075408,14400.0,,6.0
