sortie_id,uav_type,uav_id,battery_id,service_sequence,box_ids,mass_kg,volume_m3,preparation_start_s,takeoff_s,delivery_s,return_s,energy_kwh,return_soc,battery_ready_s
R001,A,U01,BAT-A-05,O01>S001>O01,S001-WAT-08;S001-FOD-03,22.0,0.055,1250.9011452645589,1610.9011452645589,2159.4750512301716,2501.8022905291177,1.2823246082352031,0.7150389759477327,3372.251621797065
R002,A,U04,BAT-A-02,O01>S001>O01,S001-WAT-07;S001-FOD-02,22.0,0.055,1749.2112939965436,2109.2112939965436,2657.785199962156,3000.1124392611023,1.2823246082352031,0.7150389759477327,3870.5617705290497
R003,C,U07,BAT-C-02,O01>S001>O01,S001-WAT-06;S001-WAT-05;S001-WAT-04;S001-WAT-03;S001-FOD-01;S001-HYG-02;S001-HYG-01,76.0,0.20600000000000002,0.0,510.0,1248.2701959394824,1560.170391878965,2.917555936277246,0.6353055079653442,3183.6751246207186
R004,A,U01,BAT-A-01,O01>S001>O01,S001-MED-02;S001-WAT-02,17.0,0.039,0.0,360.0,908.5739059656128,1250.9011452645589,1.2403043609953324,0.7243768086677039,2109.2112939965436
R005,A,U02,BAT-A-02,O01>S001>O01,S001-MED-01;S001-WAT-01,17.0,0.039,0.0,360.0,908.5739059656128,1250.9011452645589,1.2403043609953324,0.7243768086677039,2109.2112939965436
R006,A,U02,BAT-A-06,O01>S002>O01,S002-WAT-04;S002-FOD-02,22.0,0.055,1250.9011452645589,1610.9011452645589,2534.7099073715153,3254.638669478472,3.0186602033241243,0.32918662148352795,4626.696061549886
R007,C,U08,BAT-C-01,O01>S002>O01,S002-MED-01;S002-WAT-03;S002-WAT-02;S002-WAT-01;S002-FOD-01;S002-HYG-01,59.0,0.156,0.0,480.0,1487.3160093193542,2107.812018638708,5.8530312852658195,0.26837108934177256,4526.341325064867
R008,A,U01,BAT-A-03,O01>S003>O01,S003-WAT-04;S003-FOD-02,22.0,0.055,2501.8022905291177,2861.8022905291177,3903.4934735742654,4749.237989952747,3.077219987800369,0.3161733360443625,6138.212653095075
R009,C,U08,BAT-C-04,O01>S003>O01,S003-MED-01;S003-WAT-03;S003-WAT-02;S003-WAT-01;S003-FOD-01;S003-HYG-01,59.0,0.156,2107.812018638708,2587.812018638708,3743.9890745718967,4525.246130505086,5.889307062917247,0.2638366171353441,6953.60012671184
R010,C,U08,BAT-C-01,O01>S004>O01,S004-MED-01;S004-WAT-03;S004-WAT-02;S004-WAT-01;S004-FOD-01;S004-HYG-01,59.0,0.156,4525.246130505086,5005.246130505086,6108.746663801668,6826.307197098249,6.152897007997176,0.23088787400035304,9326.05013676415
R011,C,U07,BAT-C-03,O01>S005>O01,S005-MED-01;S005-WAT-03;S005-WAT-02;S005-WAT-01;S005-FOD-01;S005-HYG-01,59.0,0.156,4766.298469331559,5246.298469331559,6139.53104842933,6643.493627527101,4.2221748035098585,0.4722281495612677,8620.332636811021
R012,C,U07,BAT-C-03,O01>S006>O01,S006-MED-01;S006-WAT-03;S006-WAT-02;S006-WAT-01;S006-FOD-01;S006-HYG-01,59.0,0.156,1560.170391878965,2040.170391878965,2769.5951548491385,3121.7299178193116,2.5979763856932365,0.6752529517883454,4658.681855611229
R013,A,U03,BAT-A-03,O01>S007>O01,S007-WAT-02,14.0,0.027,0.0,330.0,1073.91968119359,1652.55936238718,1.8666074942101503,0.5851983346199666,2691.8015273812234
R014,A,U03,BAT-A-01,O01>S007>O01,S007-WAT-01;S007-FOD-01,22.0,0.055,1749.2112939965436,2109.2112939965436,2883.1309751901335,3461.7706563837237,1.9646719686664271,0.5634062291852384,4529.342558442913
R015,A,U04,BAT-A-04,O01>S007>O01,S007-MED-01;S007-HYG-01,9.0,0.047,0.0,360.0,1133.91968119359,1712.55936238718,1.8217148670374108,0.5951744739916864,2738.8325461979875
R016,B,U05,BAT-B-03,O01>S008>O01,S008-WAT-02;S008-HYG-01,20.0,0.062,4976.577270817887,5336.577270817887,6207.725091068076,6878.4195779849315,2.763432587771086,0.3091418530572285,8742.573699352402
R017,B,U06,BAT-B-02,O01>S008>O01,S008-MED-01;S008-WAT-01;S008-FOD-01,25.0,0.067,3063.2025904541274,3453.2025904541274,4354.350410704316,5025.044897621172,2.9752083647603644,0.2561979088099089,6980.968522350663
R018,C,U07,BAT-C-02,O01>S009>O01,S009-MED-01;S009-WAT-01;S009-FOD-01,25.0,0.067,3121.7299178193116,3511.7299178193116,4277.899193575435,4766.298469331558,3.769285716229155,0.5288392854713556,6620.480017476954
R019,B,U06,BAT-B-03,O01>S010>O01,S010-MED-01;S010-WAT-01;S010-FOD-01,25.0,0.067,1507.8256880077884,1897.8256880077884,2593.0508058976247,3063.2025904541274,1.8231457316476736,0.5442135670880817,4519.899074168119
R020,B,U05,BAT-B-01,O01>S011>O01,S011-MED-01;S011-WAT-01;S011-FOD-01,25.0,0.067,3791.1056185904013,4181.105618590402,4696.0281113708115,4976.577270817888,1.0727533991468021,0.7318116502132994,6108.103743781503
R021,B,U05,BAT-B-01,O01>S012>O01,S012-MED-01;S012-WAT-01;S012-FOD-01,25.0,0.067,0.0,390.0,1270.6067119856925,1921.353423971385,2.751802210444904,0.31204944738877405,3780.4677151641763
R022,B,U06,BAT-B-02,O01>S013>O01,S013-MED-01;S013-WAT-01;S013-FOD-01,25.0,0.067,0.0,390.0,1061.4461773372275,1507.8256880077884,1.8236608502154463,0.5440847874461384,2964.7453897678147
R023,B,U05,BAT-B-04,O01>S014>O01,S014-MED-01;S014-WAT-01;S014-FOD-01,25.0,0.067,1921.353423971385,2311.353423971385,3163.7861879475595,3791.105618590401,2.1403030047614893,0.4649242488096277,5385.236920653713
R024,B,U06,BAT-B-04,O01>S015>O01,S015-MED-01;S015-WAT-01;S015-FOD-01,25.0,0.067,5025.044897621172,5415.044897621172,6241.947553075408,6851.970208529643,2.3068796937944342,0.42328007655139144,8518.28474250723
