sortie_id,uav_type,uav_id,preparation_start_s,return_s
R001,A,U01,1250.9011452645589,2501.8022905291177
R002,A,U04,1749.2112939965436,3000.1124392611023
R003,C,U07,0.0,1560.170391878965
R004,A,U01,0.0,1250.9011452645589
R005,A,U02,0.0,1250.9011452645589
R006,A,U02,1250.9011452645589,3254.638669478472
R007,C,U08,0.0,2107.812018638708
R008,A,U01,2501.8022905291177,4749.237989952747
R009,C,U08,2107.812018638708,4525.246130505086
R010,C,U08,4525.246130505086,6826.307197098249
R011,C,U07,4766.298469331559,6643.493627527101
R012,C,U07,1560.170391878965,3121.7299178193116
R013,A,U03,0.0,1652.55936238718
R014,A,U03,1749.2112939965436,3461.7706563837237
R015,A,U04,0.0,1712.55936238718
R016,B,U05,4976.577270817887,6878.4195779849315
R017,B,U06,3063.2025904541274,5025.044897621172
R018,C,U07,3121.7299178193116,4766.298469331558
R019,B,U06,1507.8256880077884,3063.2025904541274
R020,B,U05,3791.1056185904013,4976.577270817888
R021,B,U05,0.0,1921.353423971385
R022,B,U06,0.0,1507.8256880077884
R023,B,U05,1921.353423971385,3791.105618590401
R024,B,U06,5025.044897621172,6851.970208529643
