sortie_id,uav_type,uav_id,battery_id,service_sequence,box_ids,mass_kg,volume_m3,preparation_start_s,takeoff_s,delivery_s,return_s,energy_kwh,return_soc,battery_ready_s
R001,A,U01,BAT-A-01,O01>S001>O01,S001-WAT-08;S001-FOD-03,22.0,0.055,0.0,360.0,908.5739059656128,1250.9011452645589,1.2823246082352031,0.7150389759477327,2121.350476532506
R002,A,U02,BAT-A-02,O01>S001>O01,S001-WAT-07;S001-FOD-02,22.0,0.055,0.0,360.0,908.5739059656128,1250.9011452645589,1.2823246082352031,0.7150389759477327,2121.350476532506
R003,C,U07,BAT-C-01,O01>S001>O01,S001-WAT-06;S001-WAT-05;S001-WAT-04;S001-WAT-03;S001-FOD-01;S001-HYG-02;S001-HYG-01,76.0,0.20600000000000002,0.0,510.0,1248.2701959394824,1560.170391878965,2.917555936277246,0.6353055079653442,3183.6751246207186
R004,A,U04,BAT-A-04,O01>S001>O01,S001-MED-02;S001-WAT-02,17.0,0.039,0.0,360.0,908.5739059656128,1250.9011452645589,1.2403043609953324,0.7243768086677039,2109.2112939965436
R005,A,U01,BAT-A-05,O01>S001>O01,S001-MED-01;S001-WAT-01,17.0,0.039,1250.9011452645589,1610.9011452645589,2159.4750512301716,2501.8022905291177,1.2403043609953324,0.7243768086677039,3360.1124392611023
R006,A,U03,BAT-A-03,O01>S002>O01,S002-WAT-04;S002-FOD-02,22.0,0.055,0.0,360.0,1283.8087621069565,2003.7375242139128,3.0186602033241243,0.32918662148352795,3375.7949162853265
R007,C,U08,BAT-C-02,O01>S002>O01,S002-MED-01;S002-WAT-03;S002-WAT-02;S002-WAT-01;S002-FOD-01;S002-HYG-01,59.0,0.156,0.0,480.0,1487.3160093193542,2107.812018638708,5.8530312852658195,0.26837108934177256,4526.341325064867
R008,C,U08,BAT-C-02,O01>S003>O01,S003-WAT-04;S003-WAT-03;S003-WAT-02;S003-FOD-02;S003-HYG-01,56.0,0.14400000000000002,4076.341325064868,4526.341325064868,5646.518380998057,6427.775436931246,5.7573001159396835,0.28033748550753956,8820.37755166491
R009,B,U05,BAT-B-01,O01>S003>O01,S003-MED-01;S003-WAT-01;S003-FOD-01,25.0,0.067,3425.1290970653554,3815.1290970653554,4765.764818159677,5490.453872587332,2.7738160002385204,0.3065459999403699,7359.10747269069
R010,C,U07,BAT-C-01,O01>S004>O01,S004-MED-01;S004-WAT-03;S004-WAT-02;S004-WAT-01;S004-FOD-01;S004-HYG-01,59.0,0.156,3449.488979363579,3929.488979363579,5032.9895126601605,5750.550045956742,6.152897007997176,0.23088787400035304,8250.292985622644
R011,C,U07,BAT-C-04,O01>S005>O01,S005-MED-01;S005-WAT-03;S005-WAT-02;S005-WAT-01;S005-FOD-01;S005-HYG-01,59.0,0.156,5750.550045956742,6230.550045956742,7123.782625054513,7627.745204152284,4.2221748035098585,0.4722281495612677,9604.584213436203
R012,C,U08,BAT-C-04,O01>S006>O01,S006-MED-01;S006-WAT-03;S006-WAT-02;S006-WAT-01;S006-FOD-01;S006-HYG-01,59.0,0.156,2107.812018638708,2587.812018638708,3317.2367816088818,3669.371544579055,2.5979763856932365,0.6752529517883454,5206.323482370973
R013,C,U07,BAT-C-03,O01>S007>O01,S007-MED-01;S007-WAT-02;S007-WAT-01;S007-FOD-01;S007-HYG-01,45.0,0.129,1560.170391878965,2010.170391878965,2898.789685621272,3449.488979363579,3.403778588539912,0.574527676432511,5204.679013759805
R014,B,U06,BAT-B-02,O01>S008>O01,S008-WAT-02;S008-HYG-01,20.0,0.062,3429.1791119791733,3789.1791119791733,4660.326932229362,5331.021419146217,2.763432587771086,0.3091418530572285,7195.175540513687
R015,B,U05,BAT-B-03,O01>S008>O01,S008-MED-01;S008-WAT-01;S008-FOD-01,25.0,0.067,5490.453872587332,5880.453872587332,6781.60169283752,7452.296179754376,2.9752083647603644,0.2561979088099089,9408.219804483866
R016,B,U05,BAT-B-01,O01>S009>O01,S009-MED-01;S009-WAT-01;S009-FOD-01,25.0,0.067,7452.296179754376,7842.296179754376,8543.10730345158,9010.738427148784,2.096210537071622,0.4759473657320945,10585.762993213153
R017,B,U05,BAT-B-01,O01>S010>O01,S010-MED-01;S010-WAT-01;S010-FOD-01,25.0,0.067,0.0,390.0,1085.2251178898362,1555.376902446339,1.8231457316476736,0.5442135670880817,3012.0733861603303
R018,B,U06,BAT-B-02,O01>S011>O01,S011-MED-01;S011-WAT-01;S011-FOD-01,25.0,0.067,7157.9467300546885,7547.9467300546885,8062.869222835098,8343.418382282174,1.0727533991468021,0.7318116502132994,9474.944855245789
R019,B,U06,BAT-B-04,O01>S012>O01,S012-MED-01;S012-WAT-01;S012-FOD-01,25.0,0.067,1507.8256880077884,1897.8256880077884,2778.432399993481,3429.1791119791733,2.751802210444904,0.31204944738877405,5288.293403171965
R020,B,U06,BAT-B-02,O01>S013>O01,S013-MED-01;S013-WAT-01;S013-FOD-01,25.0,0.067,0.0,390.0,1061.4461773372275,1507.8256880077884,1.8236608502154463,0.5440847874461384,2964.7453897678147
R021,B,U05,BAT-B-03,O01>S014>O01,S014-MED-01;S014-WAT-01;S014-FOD-01,25.0,0.067,1555.376902446339,1945.376902446339,2797.809666422514,3425.1290970653554,2.1403030047614893,0.4649242488096277,5019.260399128667
R022,B,U06,BAT-B-04,O01>S015>O01,S015-MED-01;S015-WAT-01;S015-FOD-01,25.0,0.067,5331.021419146217,5721.021419146217,6547.9240746004525,7157.946730054688,2.3068796937944342,0.42328007655139144,8824.261264032275
