box_id,sortie_id,service_id,delivery_time_s,expected_deadline_s,first_deadline_s,hard_deadline_s,hard_deadline_ok,normalized_delivery_time,tag
S001-WAT-08,M001,S001,2159.4750512301716,3600.0,,,True,0.5998541808972699,R_BALANCED
S001-FOD-03,M001,S001,2159.4750512301716,7200.0,,,True,0.29992709044863497,R_BALANCED
S001-WAT-07,M002,S001,2657.785199962156,3600.0,,,True,0.7382736666561545,R_BALANCED
S001-FOD-02,M002,S001,2657.785199962156,7200.0,,,True,0.36913683332807723,R_BALANCED
S001-WAT-06,M003,S001,1248.2701959394824,3600.0,,,True,0.3467417210943007,R_BALANCED
S001-WAT-05,M003,S001,1248.2701959394824,3600.0,,,True,0.3467417210943007,R_BALANCED
S001-WAT-04,M003,S001,1248.2701959394824,3600.0,,,True,0.3467417210943007,R_BALANCED
S001-WAT-03,M003,S001,1248.2701959394824,3600.0,,,True,0.3467417210943007,R_BALANCED
S001-FOD-01,M003,S001,1248.2701959394824,7200.0,,,True,0.17337086054715034,R_BALANCED
S001-HYG-02,M003,S001,1248.2701959394824,10800.0,,,True,0.11558057369810022,R_BALANCED
S001-HYG-01,M003,S001,1248.2701959394824,10800.0,,,True,0.11558057369810022,R_BALANCED
S001-MED-02,M004,S001,908.5739059656128,3600.0,,3600.0,True,0.25238164054600354,R_BALANCED
S001-WAT-02,M004,S001,908.5739059656128,3600.0,,,True,0.25238164054600354,R_BALANCED
S001-MED-01,M005,S001,908.5739059656128,3600.0,3600.0,3600.0,True,0.25238164054600354,R_BALANCED
S001-WAT-01,M005,S001,908.5739059656128,3600.0,3600.0,3600.0,True,0.25238164054600354,R_BALANCED
S002-WAT-04,M006,S002,2534.7099073715153,3600.0,,,True,0.7040860853809765,R_BALANCED
S002-FOD-02,M006,S002,2534.7099073715153,7200.0,,,True,0.35204304269048825,R_BALANCED
S002-MED-01,M007,S002,1487.3160093193542,3600.0,3600.0,3600.0,True,0.41314333592204283,R_BALANCED
S002-WAT-03,M007,S002,1487.3160093193542,3600.0,,,True,0.41314333592204283,R_BALANCED
S002-WAT-02,M007,S002,1487.3160093193542,3600.0,,,True,0.41314333592204283,R_BALANCED
S002-WAT-01,M007,S002,1487.3160093193542,3600.0,3600.0,3600.0,True,0.41314333592204283,R_BALANCED
S002-FOD-01,M007,S002,1487.3160093193542,7200.0,,,True,0.20657166796102142,R_BALANCED
S002-HYG-01,M007,S002,1487.3160093193542,10800.0,,,True,0.1377144453073476,R_BALANCED
S003-WAT-04,M008,S003,3903.4934735742654,7200.0,,,True,0.5421518713297591,R_BALANCED
S003-FOD-02,M008,S003,3903.4934735742654,10800.0,,,True,0.36143458088650604,R_BALANCED
S003-MED-01,M009,S003,3743.9890745718967,7200.0,7200.0,7200.0,True,0.51999848257943,R_BALANCED
S003-WAT-03,M009,S003,3743.9890745718967,7200.0,,,True,0.51999848257943,R_BALANCED
S003-WAT-02,M009,S003,3743.9890745718967,7200.0,,,True,0.51999848257943,R_BALANCED
S003-WAT-01,M009,S003,3743.9890745718967,7200.0,7200.0,7200.0,True,0.51999848257943,R_BALANCED
S003-FOD-01,M009,S003,3743.9890745718967,10800.0,,,True,0.3466656550529534,R_BALANCED
S003-HYG-01,M009,S003,3743.9890745718967,14400.0,,,True,0.259999241289715,R_BALANCED
S004-MED-01,M010,S004,6108.746663801667,7200.0,7200.0,7200.0,True,0.8484370366391204,R_BALANCED
S004-WAT-03,M010,S004,6108.746663801667,7200.0,,,True,0.8484370366391204,R_BALANCED
S004-WAT-02,M010,S004,6108.746663801667,7200.0,,,True,0.8484370366391204,R_BALANCED
S004-WAT-01,M010,S004,6108.746663801667,7200.0,7200.0,7200.0,True,0.8484370366391204,R_BALANCED
S004-FOD-01,M010,S004,6108.746663801667,10800.0,,,True,0.5656246910927469,R_BALANCED
S004-HYG-01,M010,S004,6108.746663801667,14400.0,,,True,0.4242185183195602,R_BALANCED
S005-MED-01,M011,S005,6139.53104842933,10800.0,10800.0,10800.0,True,0.5684750970767899,R_BALANCED
S005-WAT-03,M011,S005,6139.53104842933,10800.0,,,True,0.5684750970767899,R_BALANCED
S005-WAT-02,M011,S005,6139.53104842933,10800.0,,,True,0.5684750970767899,R_BALANCED
S005-WAT-01,M011,S005,6139.53104842933,10800.0,10800.0,10800.0,True,0.5684750970767899,R_BALANCED
S005-FOD-01,M011,S005,6139.53104842933,14400.0,,,True,0.4263563228075924,R_BALANCED
S005-HYG-01,M011,S005,6139.53104842933,18000.0,,,True,0.34108505824607394,R_BALANCED
S006-MED-01,M012,S006,2769.5951548491385,3600.0,3600.0,3600.0,True,0.7693319874580941,R_BALANCED
S006-WAT-03,M012,S006,2769.5951548491385,3600.0,,,True,0.7693319874580941,R_BALANCED
S006-WAT-02,M012,S006,2769.5951548491385,3600.0,,,True,0.7693319874580941,R_BALANCED
S006-WAT-01,M012,S006,2769.5951548491385,3600.0,3600.0,3600.0,True,0.7693319874580941,R_BALANCED
S006-FOD-01,M012,S006,2769.5951548491385,7200.0,,,True,0.38466599372904703,R_BALANCED
S006-HYG-01,M012,S006,2769.5951548491385,10800.0,,,True,0.25644399581936467,R_BALANCED
S007-WAT-02,M013,S007,1073.91968119359,3600.0,,,True,0.29831102255377495,R_BALANCED
S007-WAT-01,M014,S007,2883.1309751901335,3600.0,3600.0,3600.0,True,0.8008697153305927,R_BALANCED
S007-FOD-01,M014,S007,2883.1309751901335,7200.0,,,True,0.40043485766529635,R_BALANCED
S007-MED-01,M015,S007,1133.91968119359,3600.0,3600.0,3600.0,True,0.3149776892204416,R_BALANCED
S007-HYG-01,M015,S007,1133.91968119359,10800.0,,,True,0.10499256307348055,R_BALANCED
S008-WAT-02,M016,S008,6207.725091068076,7200.0,,,True,0.8621840404261216,R_BALANCED
S008-HYG-01,M016,S008,6207.725091068076,14400.0,,,True,0.4310920202130608,R_BALANCED
S008-MED-01,M017,S008,4354.350410704316,7200.0,7200.0,7200.0,True,0.6047708903755995,R_BALANCED
S008-WAT-01,M017,S008,4354.350410704316,7200.0,7200.0,7200.0,True,0.6047708903755995,R_BALANCED
S008-FOD-01,M017,S008,4354.350410704316,10800.0,,,True,0.403180593583733,R_BALANCED
S009-MED-01,M018,S009,4277.899193575435,10800.0,10800.0,10800.0,True,0.3961017771829106,R_BALANCED
S009-WAT-01,M018,S009,4277.899193575435,10800.0,10800.0,10800.0,True,0.3961017771829106,R_BALANCED
S009-FOD-01,M018,S009,4277.899193575435,14400.0,,,True,0.297076332887183,R_BALANCED
S010-MED-01,M019,S010,2593.0508058976247,3600.0,3600.0,3600.0,True,0.720291890527118,R_BALANCED
S010-WAT-01,M019,S010,2593.0508058976247,3600.0,3600.0,3600.0,True,0.720291890527118,R_BALANCED
S010-FOD-01,M019,S010,2593.0508058976247,7200.0,,,True,0.360145945263559,R_BALANCED
S011-MED-01,M020,S011,4696.0281113708115,10800.0,10800.0,10800.0,True,0.4348174177195196,R_BALANCED
S011-WAT-01,M020,S011,4696.0281113708115,10800.0,10800.0,10800.0,True,0.4348174177195196,R_BALANCED
S011-FOD-01,M020,S011,4696.0281113708115,14400.0,,,True,0.3261130632896397,R_BALANCED
S012-MED-01,M021,S012,1270.6067119856925,7200.0,3600.0,3600.0,True,0.1764731544424573,R_BALANCED
S012-WAT-01,M021,S012,1270.6067119856925,3600.0,3600.0,3600.0,True,0.3529463088849146,R_BALANCED
S012-FOD-01,M021,S012,1270.6067119856925,7200.0,,,True,0.1764731544424573,R_BALANCED
S013-MED-01,M022,S013,1061.4461773372275,3600.0,3600.0,3600.0,True,0.29484616037145206,R_BALANCED
S013-WAT-01,M022,S013,1061.4461773372275,3600.0,3600.0,3600.0,True,0.29484616037145206,R_BALANCED
S013-FOD-01,M022,S013,1061.4461773372275,7200.0,,,True,0.14742308018572603,R_BALANCED
S014-MED-01,M023,S014,3163.7861879475595,7200.0,3600.0,3600.0,True,0.43941474832604993,R_BALANCED
S014-WAT-01,M023,S014,3163.7861879475595,3600.0,3600.0,3600.0,True,0.8788294966520999,R_BALANCED
S014-FOD-01,M023,S014,3163.7861879475595,7200.0,,,True,0.43941474832604993,R_BALANCED
S015-MED-01,M024,S015,6241.947553075408,7200.0,7200.0,7200.0,True,0.8669371601493622,R_BALANCED
S015-WAT-01,M024,S015,6241.947553075408,10800.0,10800.0,10800.0,True,0.5779581067662415,R_BALANCED
S015-FOD-01,M024,S015,6241.947553075408,14400.0,,,True,0.4334685800746811,R_BALANCED
