sortie_id,uav_id,uav_type,battery_id,preparation_start_s,takeoff_s,service_sequence,return_s,energy_kwh,energy_margin_kwh,n_boxes,payload_kg,tag
M001,U01,A,BAT-A-05,1250.9011452645589,1610.9011452645589,S001,2501.8022905291177,1.2823246082352031,2.317675391764797,2,22.0,R_BALANCED
M002,U04,A,BAT-A-02,1749.2112939965436,2109.2112939965436,S001,3000.1124392611027,1.2823246082352031,2.317675391764797,2,22.0,R_BALANCED
M003,U07,C,BAT-C-02,0.0,510.0,S001,1560.170391878965,2.917555936277246,3.4824440637227543,7,76.0,R_BALANCED
M004,U01,A,BAT-A-01,0.0,360.0,S001,1250.9011452645589,1.2403043609953324,2.3596956390046677,2,17.0,R_BALANCED
M005,U02,A,BAT-A-02,0.0,360.0,S001,1250.9011452645589,1.2403043609953324,2.3596956390046677,2,17.0,R_BALANCED
M006,U02,A,BAT-A-06,1250.9011452645589,1610.9011452645589,S002,3254.6386694784715,3.0186602033241243,0.5813397966758758,2,22.0,R_BALANCED
M007,U08,C,BAT-C-01,0.0,480.0,S002,2107.812018638708,5.8530312852658195,0.5469687147341808,6,59.0,R_BALANCED
M008,U01,A,BAT-A-03,2501.8022905291177,2861.8022905291177,S003,4749.237989952747,3.077219987800369,0.5227800121996311,2,22.0,R_BALANCED
M009,U08,C,BAT-C-04,2107.812018638708,2587.812018638708,S003,4525.246130505086,5.889307062917247,0.5106929370827533,6,59.0,R_BALANCED
M010,U08,C,BAT-C-01,4525.246130505086,5005.246130505086,S004,6826.307197098249,6.152897007997176,0.2471029920028247,6,59.0,R_BALANCED
M011,U07,C,BAT-C-03,4766.298469331559,5246.298469331559,S005,6643.493627527101,4.2221748035098585,2.177825196490142,6,59.0,R_BALANCED
M012,U07,C,BAT-C-03,1560.170391878965,2040.170391878965,S006,3121.7299178193116,2.5979763856932365,3.802023614306764,6,59.0,R_BALANCED
M013,U03,A,BAT-A-03,0.0,330.0,S007,1652.55936238718,1.8666074942101503,1.7333925057898498,1,14.0,R_BALANCED
M014,U03,A,BAT-A-01,1749.2112939965436,2109.2112939965436,S007,3461.7706563837237,1.964671968666427,1.6353280313335732,2,22.0,R_BALANCED
M015,U04,A,BAT-A-04,0.0,360.0,S007,1712.55936238718,1.8217148670374108,1.7782851329625893,2,9.0,R_BALANCED
M016,U05,B,BAT-B-03,4976.577270817887,5336.577270817887,S008,6878.4195779849315,2.763432587771086,0.43656741222891426,2,20.0,R_BALANCED
M017,U06,B,BAT-B-02,3063.2025904541274,3453.2025904541274,S008,5025.044897621172,2.9752083647603644,0.22479163523963575,3,25.0,R_BALANCED
M018,U07,C,BAT-C-02,3121.7299178193116,3511.7299178193116,S009,4766.298469331559,3.769285716229155,2.6307142837708453,3,25.0,R_BALANCED
M019,U06,B,BAT-B-03,1507.8256880077884,1897.8256880077884,S010,3063.2025904541274,1.8231457316476736,1.3768542683523266,3,25.0,R_BALANCED
M020,U05,B,BAT-B-01,3791.1056185904013,4181.105618590402,S011,4976.577270817887,1.0727533991468021,2.127246600853198,3,25.0,R_BALANCED
M021,U05,B,BAT-B-01,0.0,390.0,S012,1921.353423971385,2.751802210444904,0.44819778955509637,3,25.0,R_BALANCED
M022,U06,B,BAT-B-02,0.0,390.0,S013,1507.8256880077884,1.8236608502154463,1.3763391497845539,3,25.0,R_BALANCED
M023,U05,B,BAT-B-04,1921.353423971385,2311.353423971385,S014,3791.1056185904013,2.1403030047614893,1.059696995238511,3,25.0,R_BALANCED
M024,U06,B,BAT-B-04,5025.044897621172,5415.044897621172,S015,6851.970208529643,2.3068796937944342,0.8931203062055659,3,25.0,R_BALANCED
