sortie_id,uav_id,uav_type,battery_id,preparation_start_s,takeoff_s,service_sequence,return_s,energy_kwh,energy_margin_kwh,n_boxes,payload_kg,tag
M001,U01,A,BAT-A-01,0.0,360.0,S001,1250.9011452645589,1.2823246082352031,2.317675391764797,2,22.0,R_ENERGY
M002,U02,A,BAT-A-02,0.0,360.0,S001,1250.9011452645589,1.2823246082352031,2.317675391764797,2,22.0,R_ENERGY
M003,U07,C,BAT-C-01,0.0,510.0,S001,1560.170391878965,2.917555936277246,3.4824440637227543,7,76.0,R_ENERGY
M004,U04,A,BAT-A-04,0.0,360.0,S001,1250.9011452645589,1.2403043609953324,2.3596956390046677,2,17.0,R_ENERGY
M005,U01,A,BAT-A-05,1250.9011452645589,1610.9011452645589,S001,2501.8022905291177,1.2403043609953324,2.3596956390046677,2,17.0,R_ENERGY
M006,U03,A,BAT-A-03,0.0,360.0,S002,2003.7375242139126,3.0186602033241243,0.5813397966758758,2,22.0,R_ENERGY
M007,U08,C,BAT-C-02,0.0,480.0,S002,2107.812018638708,5.8530312852658195,0.5469687147341808,6,59.0,R_ENERGY
M008,U08,C,BAT-C-02,4076.341325064868,4526.341325064868,S003,6427.775436931245,5.7573001159396835,0.6426998840603169,5,56.0,R_ENERGY
M009,U05,B,BAT-B-01,3425.1290970653554,3815.1290970653554,S003,5490.453872587332,2.7738160002385204,0.4261839997614798,3,25.0,R_ENERGY
M010,U07,C,BAT-C-01,3449.488979363579,3929.488979363579,S004,5750.550045956742,6.152897007997176,0.2471029920028247,6,59.0,R_ENERGY
M011,U07,C,BAT-C-04,5750.550045956742,6230.550045956742,S005,7627.745204152285,4.2221748035098585,2.177825196490142,6,59.0,R_ENERGY
M012,U08,C,BAT-C-04,2107.812018638708,2587.812018638708,S006,3669.371544579055,2.5979763856932365,3.802023614306764,6,59.0,R_ENERGY
M013,U07,C,BAT-C-03,1560.170391878965,2010.170391878965,S007,3449.488979363579,3.403778588539912,2.9962214114600885,5,45.0,R_ENERGY
M014,U06,B,BAT-B-02,3429.1791119791733,3789.1791119791733,S008,5331.021419146217,2.763432587771086,0.43656741222891426,2,20.0,R_ENERGY
M015,U05,B,BAT-B-03,5490.453872587332,5880.453872587332,S008,7452.296179754376,2.9752083647603644,0.22479163523963575,3,25.0,R_ENERGY
M016,U05,B,BAT-B-01,7452.296179754376,7842.296179754376,S009,9010.738427148784,2.096210537071622,1.1037894629283782,3,25.0,R_ENERGY
M017,U05,B,BAT-B-01,0.0,390.0,S010,1555.376902446339,1.8231457316476736,1.3768542683523266,3,25.0,R_ENERGY
M018,U06,B,BAT-B-02,7157.9467300546885,7547.9467300546885,S011,8343.418382282174,1.0727533991468021,2.127246600853198,3,25.0,R_ENERGY
M019,U06,B,BAT-B-04,1507.8256880077884,1897.8256880077884,S012,3429.1791119791733,2.751802210444904,0.44819778955509637,3,25.0,R_ENERGY
M020,U06,B,BAT-B-02,0.0,390.0,S013,1507.8256880077884,1.8236608502154463,1.3763391497845539,3,25.0,R_ENERGY
M021,U05,B,BAT-B-03,1555.376902446339,1945.376902446339,S014,3425.1290970653554,2.1403030047614893,1.059696995238511,3,25.0,R_ENERGY
M022,U06,B,BAT-B-04,5331.021419146217,5721.021419146217,S015,7157.9467300546885,2.3068796937944342,0.8931203062055659,3,25.0,R_ENERGY
