sortie_id,uav_id,uav_type,battery_id,preparation_start_s,takeoff_s,service_sequence,return_s,energy_kwh,energy_margin_kwh,n_boxes,payload_kg,tag
M001,U03,A,BAT-A-05,1159.0749211193188,1519.0749211193188,S001,2409.976066383878,1.2823246082352031,2.317675391764797,2,22.0,R_FAST
M002,U03,A,BAT-A-03,2409.976066383878,2769.976066383878,S001,3660.877211648437,1.2823246082352031,2.317675391764797,2,22.0,R_FAST
M003,U08,C,BAT-C-02,0.0,510.0,S001,1560.170391878965,2.917555936277246,3.4824440637227543,7,76.0,R_FAST
M004,U01,A,BAT-A-02,0.0,360.0,S001,1250.9011452645589,1.2403043609953324,2.3596956390046677,2,17.0,R_FAST
M005,U02,A,BAT-A-01,1712.55936238718,2072.55936238718,S001,2963.460507651739,1.2403043609953324,2.3596956390046677,2,17.0,R_FAST
M006,U01,A,BAT-A-06,1250.9011452645589,1610.9011452645589,S002,3254.6386694784715,3.0186602033241243,0.5813397966758758,2,22.0,R_FAST
M007,U07,C,BAT-C-01,0.0,480.0,S002,2107.812018638708,5.8530312852658195,0.5469687147341808,6,59.0,R_FAST
M008,U03,A,BAT-A-01,3660.877211648437,4020.877211648437,S003,5908.312911072066,3.077219987800369,0.5227800121996311,2,22.0,R_FAST
M009,U08,C,BAT-C-02,3121.7299178193116,3601.7299178193116,S003,5539.164029685689,5.889307062917247,0.5106929370827533,6,59.0,R_FAST
M010,U07,C,BAT-C-04,2107.812018638708,2587.812018638708,S004,4408.873085231871,6.152897007997176,0.2471029920028247,6,59.0,R_FAST
M011,U07,C,BAT-C-01,4408.873085231871,4888.873085231871,S005,6286.068243427413,4.2221748035098585,2.177825196490142,6,59.0,R_FAST
M012,U08,C,BAT-C-03,1560.170391878965,2040.170391878965,S006,3121.7299178193116,2.5979763856932365,3.802023614306764,6,59.0,R_FAST
M013,U04,A,BAT-A-04,0.0,330.0,S007,1652.55936238718,1.8666074942101503,1.7333925057898498,1,14.0,R_FAST
M014,U04,A,BAT-A-02,1749.2112939965436,2109.2112939965436,S007,3461.7706563837237,1.964671968666427,1.6353280313335732,2,22.0,R_FAST
M015,U02,A,BAT-A-03,0.0,360.0,S007,1712.55936238718,1.8217148670374108,1.7782851329625893,2,9.0,R_FAST
M016,U05,B,BAT-B-03,4621.644837848537,4981.644837848537,S008,6523.487145015581,2.763432587771086,0.43656741222891426,2,20.0,R_FAST
M017,U06,B,BAT-B-02,3791.1056185904013,4181.105618590402,S008,5752.947925757446,2.9752083647603644,0.22479163523963575,3,25.0,R_FAST
M018,U05,B,BAT-B-01,3063.2025904541274,3453.2025904541274,S009,4621.644837848537,2.096210537071622,1.1037894629283782,3,25.0,R_FAST
M019,U05,B,BAT-B-01,0.0,390.0,S010,1555.376902446339,1.8231457316476736,1.3768542683523266,3,25.0,R_FAST
M020,U03,A,BAT-A-01,0.0,330.0,S011,1159.0749211193188,1.1313173667639496,2.4686826332360505,1,14.0,R_FAST
M021,U02,A,BAT-A-04,2963.460507651739,3323.460507651739,S011,4182.535428771058,1.1145316607431426,2.4854683392568573,2,11.0,R_FAST
M022,U06,B,BAT-B-02,0.0,390.0,S012,1921.353423971385,2.751802210444904,0.44819778955509637,3,25.0,R_FAST
M023,U05,B,BAT-B-03,1555.376902446339,1945.376902446339,S013,3063.2025904541274,1.8236608502154463,1.3763391497845539,3,25.0,R_FAST
M024,U06,B,BAT-B-04,1921.353423971385,2311.353423971385,S014,3791.1056185904013,2.1403030047614893,1.059696995238511,3,25.0,R_FAST
M025,U01,A,BAT-A-05,3254.6386694784715,3584.6386694784715,S015,5161.879732755988,2.4287304285589935,1.1712695714410066,1,14.0,R_FAST
M026,U04,A,BAT-A-03,4171.326542916384,4531.326542916384,S015,6138.567606193899,2.3918017071162514,1.2081982928837487,2,11.0,R_FAST
