box_id,sortie_id,service_id,delivery_time_s,expected_deadline_s,first_deadline_s,hard_deadline_s,hard_deadline_ok,normalized_delivery_time,tag
S006-MED-01,M001,S006,1751.160732340146,3600.0,3600.0,3600.0,True,0.4864335367611517,P02_exact_cells
S007-MED-01,M001,S007,1171.357661336819,3600.0,3600.0,3600.0,True,0.3253771281491164,P02_exact_cells
S007-WAT-01,M001,S007,1171.357661336819,3600.0,3600.0,3600.0,True,0.3253771281491164,P02_exact_cells
S012-MED-01,M002,S012,1622.486326869678,7200.0,3600.0,3600.0,True,0.22534532317634415,P02_exact_cells
S012-WAT-01,M002,S012,1622.486326869678,3600.0,3600.0,3600.0,True,0.4506906463526883,P02_exact_cells
S013-MED-01,M002,S013,1083.5889241658379,3600.0,3600.0,3600.0,True,0.30099692337939943,P02_exact_cells
S014-WAT-01,M003,S014,1242.4327639761748,3600.0,3600.0,3600.0,True,0.3451202122156041,P02_exact_cells
S014-MED-01,M003,S014,1242.4327639761748,7200.0,3600.0,3600.0,True,0.17256010610780206,P02_exact_cells
S014-FOD-01,M003,S014,1242.4327639761748,7200.0,,,True,0.17256010610780206,P02_exact_cells
S002-WAT-01,M004,S002,1220.2869669609559,3600.0,3600.0,3600.0,True,0.33896860193359885,P02_exact_cells
S002-MED-01,M004,S002,1220.2869669609559,3600.0,3600.0,3600.0,True,0.33896860193359885,P02_exact_cells
S002-FOD-01,M004,S002,1220.2869669609559,7200.0,,,True,0.16948430096679942,P02_exact_cells
S006-WAT-02,M005,S006,1143.4247629701733,3600.0,,,True,0.317617989713937,P02_exact_cells
S006-WAT-03,M005,S006,1143.4247629701733,3600.0,,,True,0.317617989713937,P02_exact_cells
S006-FOD-01,M005,S006,1143.4247629701733,7200.0,,,True,0.1588089948569685,P02_exact_cells
S006-HYG-01,M005,S006,1143.4247629701733,10800.0,,,True,0.10587266323797902,P02_exact_cells
S006-WAT-01,M005,S006,1143.4247629701733,3600.0,3600.0,3600.0,True,0.317617989713937,P02_exact_cells
S010-WAT-01,M006,S010,1104.9663658274644,3600.0,3600.0,3600.0,True,0.3069351016187401,P02_exact_cells
S010-MED-01,M006,S010,1104.9663658274644,3600.0,3600.0,3600.0,True,0.3069351016187401,P02_exact_cells
S013-FOD-01,M007,S013,2819.462417401717,7200.0,,,True,0.39159200241690517,P02_exact_cells
S013-WAT-01,M007,S013,2819.462417401717,3600.0,3600.0,3600.0,True,0.7831840048338103,P02_exact_cells
S001-WAT-01,M008,S001,2787.4262988739283,3600.0,3600.0,3600.0,True,0.7742850830205357,P02_exact_cells
S001-MED-01,M008,S001,2787.4262988739283,3600.0,3600.0,3600.0,True,0.7742850830205357,P02_exact_cells
S001-MED-02,M008,S001,2787.4262988739283,3600.0,,3600.0,True,0.7742850830205357,P02_exact_cells
S008-WAT-01,M009,S008,1497.6960422960872,7200.0,7200.0,7200.0,True,0.2080133392077899,P02_exact_cells
S008-WAT-02,M009,S008,1497.6960422960872,7200.0,,,True,0.2080133392077899,P02_exact_cells
S008-FOD-01,M009,S008,1497.6960422960872,10800.0,,,True,0.13867555947185992,P02_exact_cells
S008-HYG-01,M009,S008,1497.6960422960872,14400.0,,,True,0.10400666960389494,P02_exact_cells
S008-MED-01,M009,S008,1497.6960422960872,7200.0,7200.0,7200.0,True,0.2080133392077899,P02_exact_cells
S003-WAT-01,M010,S003,4427.098618933449,7200.0,7200.0,7200.0,True,0.6148748081852012,P02_exact_cells
S003-MED-01,M010,S003,4427.098618933449,7200.0,7200.0,7200.0,True,0.6148748081852012,P02_exact_cells
S003-FOD-01,M010,S003,4427.098618933449,10800.0,,,True,0.4099165387901342,P02_exact_cells
S004-WAT-01,M011,S004,4541.63479253578,7200.0,7200.0,7200.0,True,0.6307826100744139,P02_exact_cells
S004-MED-01,M011,S004,4541.63479253578,7200.0,7200.0,7200.0,True,0.6307826100744139,P02_exact_cells
S015-MED-01,M012,S015,6376.981136748282,7200.0,7200.0,7200.0,True,0.8856918245483725,P02_exact_cells
S015-WAT-01,M012,S015,6376.981136748282,10800.0,10800.0,10800.0,True,0.5904612163655817,P02_exact_cells
S015-FOD-01,M012,S015,6376.981136748282,14400.0,,,True,0.44284591227418624,P02_exact_cells
S009-WAT-01,M013,S009,1125.8969373566943,10800.0,10800.0,10800.0,True,0.10424971642191613,P02_exact_cells
S009-MED-01,M013,S009,1125.8969373566943,10800.0,10800.0,10800.0,True,0.10424971642191613,P02_exact_cells
S005-MED-01,M014,S005,6261.656239108193,10800.0,10800.0,10800.0,True,0.5797829851026105,P02_exact_cells
S005-WAT-01,M014,S005,6261.656239108193,10800.0,10800.0,10800.0,True,0.5797829851026105,P02_exact_cells
S011-WAT-01,M015,S011,2548.059534489979,10800.0,10800.0,10800.0,True,0.23593143837870176,P02_exact_cells
