uav_id,sortie_id,busy_start_s,busy_end_s
U02,M001,0.0,1250.9011452645589
U01,M002,1250.9011552645534,2501.8023005291125
U04,M003,2466.08031880641,4193.5156414800485
U01,M004,2501.8023105291068,3752.703455793666
U06,M005,1869.7522046190134,3380.222484911958
U06,M006,0.0,1869.7521946190163
U08,M007,0.0,1626.170391878965
U07,M008,0.0,1561.5595259403467
U03,M009,2111.146138791169,4054.883663005082
U02,M010,1761.3504865324949,3488.7858092061333
U05,M011,1555.3769124463436,3478.1114684164268
U08,M012,1626.170401878946,4062.281546216026
U07,M013,1561.5595359403237,3735.371554579032
U05,M014,0.0,1555.376902446339
U01,M015,0.0,1190.9011452645589
U03,M016,0.0,1667.4353226736384
U02,M017,4162.59250119314,6425.246523370675
U04,M018,0.0,2111.146128791162
U06,M019,3380.222494911958,4938.664742306367
U05,M020,3478.1114784164265,5306.400062436876
U07,M021,3735.3715645790217,6441.958803655449
U08,M022,4062.2815562160263,6363.342622809189
U06,M023,4938.664752306367,6454.83961427795
U05,M024,5306.400072436876,6494.823722548477
